window_id,game_id,base_game_id,competition,tracking_path,tracking_sha256,tracking_bytes,ball_path,ball_sha256,ball_bytes,source_height,source_fps,start_frame,end_frame,max_frame_tracking,max_frame_ball
fiba-jFUMvm_epUE_s5410,fiba-jFUMvm_epUE_s5410,fiba-jFUMvm_epUE,fiba,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s5410/tracking_data.csv,cce972b01e8be30974eaaf17dd21fc138a783d5ceb0180ff2ff41005ce35ad5f,1232089,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s5410/ball_tracking.csv,aa0b56348eb1f8cfb93fb658b4e9de4b8ef754e519a254333d96e835a9811e33,31217,1080,30.0,600,659,3267,3267
fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE,fiba,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s6740/tracking_data.csv,4e16f4f437e92a0d7a013f8dde4134e7b53acc7ccd8c1f6314f4ed29cc2e89f5,499642,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s6740/ball_tracking.csv,596f91602cd60f7dfeda73854b76090610398f51e6fecb972aef4a96fc48324a,13937,1080,30.0,600,659,3777,3777
eurocup-Y6POC6V1Y5E_s90,eurocup-Y6POC6V1Y5E_s90,eurocup-Y6POC6V1Y5E,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s90/tracking_data.csv,9205023bc4d9bf3bde2fc5e4160d6d1442f25c7c176facc94a43e2485ccbd0d9,1972848,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s90/ball_tracking.csv,32a125b1ec668771e76b89914456b8eef92f8687499b7adf3e805079368aabe9,28925,1080,30.0,600,659,2997,2997
eurocup-Y6POC6V1Y5E_s2352,eurocup-Y6POC6V1Y5E_s2352,eurocup-Y6POC6V1Y5E,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s2352/tracking_data.csv,5ceaa6c03960045702ac11336d63e930289cd7cfc401be21f50c7fd9ca3b4980,1884585,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s2352/ball_tracking.csv,67b43b70608110827e54761d9de2c589a59c172ada010c101d7dd1d009d47f28,30592,1080,30.0,600,659,3357,3357
lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA,lnb,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s6525/tracking_data.csv,e7c285cb79d1bfb54281cb01d3c6484ebcc0baf27950e0509edd469610270463,2092979,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s6525/ball_tracking.csv,072d8675e85388d58f3f40cbf170d90b5fb661329e8142734d208687525c7f4d,30771,1080,30.0,600,659,2997,2997
ncaaw-lFZWLVzvCEs_s1161,ncaaw-lFZWLVzvCEs_s1161,ncaaw-lFZWLVzvCEs,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s1161/tracking_data.csv,e60ad1ac07f0733b276938fac4a1f1c7dde39428f989896cfad29bb477e48908,1605333,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s1161/ball_tracking.csv,3fb7a33217c2d7f1d395e0bbae60ae66d11f39901c66d6776731c27e043455dd,34238,1080,29.97002997002997,600,659,2997,2997
lnb-1CBY-LXG8VA_s90,lnb-1CBY-LXG8VA_s90,lnb-1CBY-LXG8VA,lnb,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s90/tracking_data.csv,822a2238ce73c2623f3f4dd5bba5ab96de93635f48bd7de4521a14aa3a908da9,1911133,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s90/ball_tracking.csv,8fae9189286df838d29bfc1e3a2a7d673582fa10306ebd4966b2c7dcd8402743,29229,1080,30.0,600,659,2997,2997
ncaaw-lFZWLVzvCEs_s3303,ncaaw-lFZWLVzvCEs_s3303,ncaaw-lFZWLVzvCEs,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s3303/tracking_data.csv,62a79fea3435e6cb924927184e5650e248884cfc9bac7e0557b4c88fd7d7447e,2049111,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s3303/ball_tracking.csv,b3c5c9d5db19784c9ac9e34259985ceb95060a83a958d9b799b1d8f6c1dccc3a,34953,1080,29.97002997002997,600,659,3357,3357
ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s4374/tracking_data.csv,b6f056816b6023d26e02e16b9f770afa0094685421f3a27e183c8138ce88fd16,1128335,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s4374/ball_tracking.csv,5db998d6d10b19a547bf4dde2f788d01e9e3a06c67899e2d4297a6edc4a87f43,31887,1080,29.97002997002997,600,659,3447,3447
ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s90/tracking_data.csv,85fa05c44451f6fb320452501bdf19fd0a98667cf6186bebfbe2e0fa6722df36,1582720,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s90/ball_tracking.csv,eba088e7fe21f49534b61f51135c91d4c5ff13c4a627fcdb50e672235ed1af6e,37116,1080,29.97002997002997,600,659,3087,3087
