section_name,game_id,pool,present,total_rows,unique_frames,eligible_150,ball_header_px,finished_at
0022500081_s357,0022500081,G346_LIVE,PRESENT,000002,000001,False,False,1788845805
1zPhldjbJnU_s1196,1zPhldjbJnU,POST_EPOCH,PRESENT,004017,000995,True,True,1788913678
1zPhldjbJnU_s2302,1zPhldjbJnU,POST_EPOCH,PRESENT,002834,000994,True,True,1788913821
1zPhldjbJnU_s3408,1zPhldjbJnU,POST_EPOCH,PRESENT,004316,000996,True,True,1788913984
1zPhldjbJnU_s4514,1zPhldjbJnU,POST_EPOCH,PRESENT,003768,001000,True,True,1788914045
1zPhldjbJnU_s5620,1zPhldjbJnU,POST_EPOCH,PRESENT,005636,001000,True,True,1788914045
1zPhldjbJnU_s90,1zPhldjbJnU,POST_EPOCH,PRESENT,003450,000756,True,True,1788914005
3fT6aYz2N9w_s1339,3fT6aYz2N9w,POST_EPOCH,PRESENT,005158,000980,True,True,1788911836
3fT6aYz2N9w_s2588,3fT6aYz2N9w,POST_EPOCH,PRESENT,004256,000987,True,True,1788911919
3fT6aYz2N9w_s5086,3fT6aYz2N9w,POST_EPOCH,PRESENT,000632,000481,True,True,1788912307
3fT6aYz2N9w_s90,3fT6aYz2N9w,POST_EPOCH,PRESENT,005217,000992,True,True,1788912226
50pp-OqYVok_s2750,50pp-OqYVok,POST_EPOCH,PRESENT,004508,000999,True,True,1788912900
50pp-OqYVok_s4080,50pp-OqYVok,POST_EPOCH,PRESENT,006016,001000,True,True,1788913186
50pp-OqYVok_s5410,50pp-OqYVok,POST_EPOCH,PRESENT,004194,000991,True,True,1788913267
50pp-OqYVok_s90,50pp-OqYVok,POST_EPOCH,PRESENT,003929,000930,True,True,1788913431
7Ci3zQ5Vm4M_s2312,7Ci3zQ5Vm4M,POST_EPOCH,PRESENT,004257,000965,True,True,1788913370
UPco-jzOoEg_s1443,UPco-jzOoEg,POST_EPOCH,PRESENT,001975,000497,True,True,1788910946
UPco-jzOoEg_s2796,UPco-jzOoEg,POST_EPOCH,PRESENT,001517,000445,True,True,1788910860
acb-8Oh7-GrvKvE_s1360,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,001882,000500,True,True,1788909881
acb-8Oh7-GrvKvE_s2630,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,002578,000470,True,True,1788910180
acb-8Oh7-GrvKvE_s3900,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,000055,000053,False,True,1788910286
acb-8Oh7-GrvKvE_s5170,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,001289,000456,True,True,1788910327
acb-8Oh7-GrvKvE_s6440,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,002530,000470,True,True,1788910410
acb-DCA1PAsKVJs_s2840,acb-DCA1PAsKVJs,G346_LIVE,PRESENT,000001,000001,False,False,1788882847
cba-FaMCJR6tFm0_s5062,cba-FaMCJR6tFm0,G346_LIVE,PRESENT,002652,000600,True,False,1788896386
eurocup-Y6POC6V1Y5E_s1221,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,003927,000963,True,True,1788907315
eurocup-Y6POC6V1Y5E_s2352,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,005002,000970,True,True,1788908713
eurocup-Y6POC6V1Y5E_s3483,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,003983,000892,True,True,1788909288
eurocup-Y6POC6V1Y5E_s4614,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,001855,000783,True,True,1788908030
eurocup-Y6POC6V1Y5E_s5745,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,004170,001000,True,True,1788908651
eurocup-Y6POC6V1Y5E_s90,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,005288,001000,True,True,1788908566
euroleague-AIPW_g_VZN0_s1153,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,001952,000433,True,True,1788911562
euroleague-AIPW_g_VZN0_s2216,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,003799,000998,True,True,1788911628
euroleague-AIPW_g_VZN0_s3279,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,004144,000888,True,True,1788911733
euroleague-AIPW_g_VZN0_s4342,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,002807,000992,True,True,1788911733
euroleague-AIPW_g_VZN0_s5405,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,004160,000974,True,True,1788911733
euroleague-AIPW_g_VZN0_s90,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,003838,000995,True,True,1788911918
fiba-1DKl1QOo_b8_s1289,fiba-1DKl1QOo_b8,POST_EPOCH,PRESENT,001650,000609,True,True,1788914334
fiba-1DKl1QOo_b8_s3687,fiba-1DKl1QOo_b8,POST_EPOCH,PRESENT,002496,000845,True,True,1788914417
fiba-1DKl1QOo_b8_s4886,fiba-1DKl1QOo_b8,POST_EPOCH,PRESENT,004103,000901,True,True,1788914478
fiba-1DKl1QOo_b8_s90,fiba-1DKl1QOo_b8,POST_EPOCH,PRESENT,005050,000957,True,True,1788914728
fiba-UG_eQNRDHiI_s1385,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,004593,000994,True,True,1788910966
fiba-UG_eQNRDHiI_s2680,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,003733,000998,True,True,1788911050
fiba-UG_eQNRDHiI_s3975,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,005984,000967,True,True,1788910860
fiba-UG_eQNRDHiI_s5270,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,005125,000974,True,True,1788911008
fiba-UG_eQNRDHiI_s90,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,005003,000970,True,True,1788911113
fiba-jFUMvm_epUE_s5410,fiba-jFUMvm_epUE,POST_EPOCH,PRESENT,003320,000936,True,True,1788906587
fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE,POST_EPOCH,PRESENT,001314,000422,True,True,1788908030
fiba-jFUMvm_epUE_s90,fiba-jFUMvm_epUE,POST_EPOCH,PRESENT,001399,000642,True,True,1788908882
lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA,POST_EPOCH,PRESENT,005498,000990,True,True,1788909245
lnb-1CBY-LXG8VA_s90,lnb-1CBY-LXG8VA,POST_EPOCH,PRESENT,005310,001000,True,True,1788909561
lnb-ouDVA0vM20g_s1379,lnb-ouDVA0vM20g,G346_LIVE,PRESENT,004361,001000,True,False,1788896450
nbl-U6Ng-QmKKzk_s90,nbl-U6Ng-QmKKzk,POST_EPOCH,PRESENT,002118,000578,True,True,1788909456
nbl-kRQtUZmPm0E_s363,nbl-kRQtUZmPm0E,POST_EPOCH,PRESENT,001719,000530,True,True,1788914666
nbl-kRQtUZmPm0E_s636,nbl-kRQtUZmPm0E,POST_EPOCH,PRESENT,002117,000598,True,True,1788914728
nbl-kRQtUZmPm0E_s90,nbl-kRQtUZmPm0E,POST_EPOCH,PRESENT,002466,000600,True,True,1788914480
ncaaw-lFZWLVzvCEs_s1161,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,004107,000995,True,True,1788909309
ncaaw-lFZWLVzvCEs_s2232,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,003600,000990,True,True,1788909711
ncaaw-lFZWLVzvCEs_s3303,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,005140,000986,True,True,1788909753
ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,002970,000936,True,True,1788910053
ncaaw-lFZWLVzvCEs_s5445,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,004458,001000,True,True,1788910307
ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,004110,001000,True,True,1788910265
tDpmV777-IQ_s2676,tDpmV777-IQ,POST_EPOCH,PRESENT,002999,000500,True,True,1788912328
tDpmV777-IQ_s5262,tDpmV777-IQ,POST_EPOCH,PRESENT,002863,000446,True,True,1788912513
tDpmV777-IQ_s90,tDpmV777-IQ,POST_EPOCH,PRESENT,002283,000500,True,True,1788912595
wHs1OssEcAw_s1183,wHs1OssEcAw,POST_EPOCH,PRESENT,003248,000494,True,True,1788912697
wHs1OssEcAw_s2276,wHs1OssEcAw,POST_EPOCH,PRESENT,001704,000480,True,True,1788912921
wHs1OssEcAw_s3369,wHs1OssEcAw,POST_EPOCH,PRESENT,001649,000500,True,True,1788913637
wHs1OssEcAw_s4462,wHs1OssEcAw,POST_EPOCH,PRESENT,002360,000485,True,True,1788913616
wHs1OssEcAw_s5555,wHs1OssEcAw,POST_EPOCH,PRESENT,000818,000392,True,True,1788913063
wHs1OssEcAw_s90,wHs1OssEcAw,POST_EPOCH,PRESENT,001749,000500,True,True,1788913431
