source_path,basename,competition,video_id,frame_index,n_frames,families,surface,score,prediction
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,000306,003981,000003,0.000839603,0.503498344,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,000612,003981,000002,0.237282986,1.000000000,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,000918,003981,000002,0.018342978,0.576429077,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,001224,003981,000004,0.144744888,1.000000000,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,001531,003981,000002,0.002261767,0.509424029,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,001837,003981,000003,0.001462191,0.506092464,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,002143,003981,000002,0.001423129,0.505929704,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,002449,003981,000003,0.272474923,1.000000000,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,002756,003981,000004,0.006630015,0.527625064,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,003062,003981,000000,0.000571470,0.002381125,NON_COURT
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,003368,003981,000002,0.011398052,0.547491882,ABSTAIN
/workspace/g360_scratch/basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball__acb-DCA1PAsKVJs_s2840.mp4,basketball/acb,acb-DCA1PAsKVJs,003674,003981,000006,0.034619502,0.644247926,ABSTAIN
/workspace/g360_scratch/basketball__eurocup-mhi_fuXUPRE_s90.mp4,basketball__eurocup-mhi_fuXUPRE_s90.mp4,basketball/eurocup,eurocup-mhi_fuXUPRE,000310,004041,000000,0.138370467,0.500000000,NON_COURT
