frame_key,rater,label,cx,cy,box_w,box_h,reason
16c583e45b3936aa65d2dce0135ff0a6bd95f0fb9cd5725e34c56abbfae258b7,ADJUDICATOR,VISIBLE,492,186,14,14,orange ball in air above shooter
4c78585af542a3077aeb640d0159be8fb86d97fab80133675cad55515042d2be,ADJUDICATOR,ABSENT,,,,,transition play with ball out of frame
9d795f66257bb251ae7871cfd99a996d3d7ffc1b6b75f088bc3212b3910cb0df,ADJUDICATOR,VISIBLE,654,338,18,18,blurred loose ball on fast break
c07853b2493f6ad8ccb12aa1119702270ed4eb485df1fceae0daf56095757b16,ADJUDICATOR,ABSENT,,,,,dead ball walkup no ball in frame
66cea5293a7f7eb181ae2ebead07218e4e883e2748d49632dc96bbb11013c1de,ADJUDICATOR,ABSENT,,,,,overhead rim cam yellow object is not the ball
1eeefb37ee64be56ca106e5c964e27a6a27b0e51c5ee4e8fad095bbfd712e140,ADJUDICATOR,VISIBLE,858,298,24,24,referee holding the ball at right
299468af20c51dbf3e2090310433847fecdb8dbc1138dae74f3314da344bebf7,ADJUDICATOR,VISIBLE,392,266,11,11,ball at dribbler hand near the elbow
7d2ca3793b10f5ca3fb222f63eb90d2b5f188e5f3396aa66d8d42ec05bc821f5,ADJUDICATOR,ABSENT,,,,,pregame player introductions no ball
1b52ab7e5d34a109084c217412ed79683aa3bfaaa85bb7936bcd28ae13f333c4,ADJUDICATOR,VISIBLE,502,284,12,12,orange ball loose near the sideline
4fecde40157eb2e3864127bbf27a6c1cba754ddb60b39e6c0de0d08e0efd7d2a,ADJUDICATOR,VISIBLE,271,342,18,18,ball held at hip by ball handler
877154041e4d137235a64bf2cfc886112b9d7acf53745c34d65266eb8dc09bd5,ADJUDICATOR,VISIBLE,735,261,14,14,ball held by dark jersey player at right
7cb042e3cc028e947cd3c380ff55dc052a1e49a285c49cc2a5818cba561b8727,ADJUDICATOR,ABSENT,,,,,no ball on court; white object is a shoe
819977e602ed9df85caaa41a05a719d9f8f7677bcca1dbf7ca1478358abfc327,ADJUDICATOR,VISIBLE,563,367,25,25,ball gripped in traffic at the elbow
296bcac9920829e44e07e65abc78d00136d9c7a02ac7c408fd07f86a6ab69571,ADJUDICATOR,VISIBLE,757,192,15,15,ball held overhead by inbounder at baseline
