section,split,game,offset_s,competition,fetch_utc,format_id,bytes,sha256,codec,width,height,avg_frame_rate,nb_frames,first_pts,status
Ze8frxZxNyk_s3924,heldout,Ze8frxZxNyk,3924,ncaa_basketball,2026-09-09T19:00:00Z,270,68966895,7b05fb994bad146bd70cc7de6e4653a0f4e2e569998f57dc95e38a6eb3b3b5fa,h264,1920,1080,30000/1001,4050,-0.100100,OK
4PH6yOSvcs4_s90,heldout,4PH6yOSvcs4,90,nba,2026-09-09T19:00:18Z,,0,,,,,,,,ABSENT: ERROR: [youtube] 4PH6yOSvcs4: Video unavailable
myAuD3DmJMY_s6535,heldout,myAuD3DmJMY,6535,nba,2026-09-09T19:00:20Z,270,69789957,82c293ea14fea2aec0aa1e6a8cce2979e540f72b6626b2dc95b37b7d2d91e9ee,h264,1920,1080,30000/1001,4007,-3.670333,OK
uZkAbRqeGrc_s3124,heldout,uZkAbRqeGrc,3124,nba,2026-09-09T19:01:26Z,270,59537011,540fdd1bb1f7799853465f0d01334169c4ad449d211e7dceccc7b0afbdaec4b4,h264,1920,1080,30/1,3953,-1.733333,OK
LPDnemFoqVk_s3306,heldout,LPDnemFoqVk,3306,nba,2026-09-09T19:02:00Z,270,71336200,70b78f9ce9995fdd123e206d039db78f4f93a1cd094e6142af0cc360a41db03a,h264,1920,1080,30000/1001,4057,-5.305300,OK
7WBKNCu3NLU_s90,heldout,7WBKNCu3NLU,90,wnba,2026-09-09T19:02:16Z,270,69570143,5e890317435650b205767b01f40f0176e4436ef3a74246aed2038bd9814567e0,h264,1920,1080,30000/1001,4110,-0.100100,OK
5TiTjV1JPW8_s401,heldout,5TiTjV1JPW8,401,nba,2026-09-09T19:02:41Z,,0,,,,,,,,ABSENT: ERROR: [youtube] 5TiTjV1JPW8: Video unavailable
s4xx-bV7D8I_s479,heldout,s4xx-bV7D8I,479,wnba,2026-09-09T19:02:45Z,270,64005447,9988f199a571d98e48a6530c96d76346ab3b95f4d962c38f40c5d229abf52006,h264,1920,1080,30000/1001,4036,-4.637967,OK
8kHt2bFTK6g_s90,heldout,8kHt2bFTK6g,90,wnba,2026-09-09T19:05:12Z,270,50126551,5cf67c138606781d3f61e6a1943b039e7dbc8c78f909647c8894f19d6fc331ec,h264,1920,1080,30/1,3939,-1.266667,OK
wd08fix8q3Q_s5830,heldout,wd08fix8q3Q,5830,wnba,2026-09-09T19:07:07Z,270,47629330,9ee5f170266520a016f127721931f74dc0d67da2efda248af89620a409b867f4,h264,1920,1080,30/1,3909,-0.266667,OK
UHJ90jJmCYw_s90,heldout,UHJ90jJmCYw,90,ncaa_basketball,2026-09-09T19:07:41Z,270,71913731,7caa91bc17915cf925a0c3a8a925b02f3c8b84417501b1694989af8963fd4fe2,h264,1920,1080,30000/1001,4030,-4.437767,OK
RIrGQJ_jsGQ_s90,heldout,RIrGQJ_jsGQ,90,nba,2026-09-09T19:08:02Z,270,56831062,6cefac26ee11313a10c345c812075beedc46bcd14f21008a7f0ebe85497de11f,h264,1920,1080,30/1,4041,-4.666667,OK
b00bP6hM95Q_s3972,heldout,b00bP6hM95Q,3972,wnba,2026-09-09T19:08:23Z,270,57558576,2130935eecd807cbefba9e3a11298dda7124ace4a2ebecabb27f52d93b5e7b8b,h264,1920,1080,30/1,4056,-3.333333,OK
0KIBu1jQBL8_s5665,heldout,0KIBu1jQBL8,5665,ncaa_basketball,2026-09-09T19:08:47Z,270,64013020,8a8b64d75a9aa5aaf67f760ddc73e2030e83b7355fec2097669acd6fa6f42c01,h264,1920,1080,30000/1001,3918,-0.700700,OK
bzahHiNvCUE_s60,heldout,bzahHiNvCUE,60,nba,2026-09-09T19:12:19Z,,0,,,,,,,,ABSENT: ERROR: [youtube] bzahHiNvCUE: Video unavailable
G8bPOW37Sp0_s90,heldout,G8bPOW37Sp0,90,wnba,2026-09-09T19:12:22Z,270,68458003,fe4409aaa85f2afc82b7046d2e351f3d06cb82c175a628456cd7a953a0d3a4b6,h264,1920,1080,30000/1001,3960,-2.102100,OK
UzaYBYy3GZg_s5242,heldout,UzaYBYy3GZg,5242,ncaa_basketball,2026-09-09T19:13:02Z,270,59042568,b5d0dab3b84ab7598670d4a90413ed23367e1df2f458afe90509362b286a24b4,h264,1920,1080,30000/1001,3951,-1.768433,OK
Vm0FqeGo-8g_s4998,heldout,Vm0FqeGo-8g,4998,ncaa_basketball,2026-09-09T19:14:17Z,270,72808052,f6618daf44d3c8fadad17d03be0e50981d152bb1069811f9e9b2ec2610f492b6,h264,1920,1080,30000/1001,3988,-3.036367,OK
WeheQidCPXI_s1389,heldout,WeheQidCPXI,1389,ncaa_basketball,2026-09-09T19:14:55Z,270,67627117,c8ca806dc520979302c1adf5d4bd77f35897e4decf6f56d79ec294608b5661de,h264,1920,1080,30000/1001,3976,-2.635967,OK
gkwmu8Hf364_s4450,heldout,gkwmu8Hf364,4450,ncaa_basketball,2026-09-09T19:15:25Z,270,67522875,354df0dcb88a84b6d63bb63dc92ddde63c6454713f2bb6e14b57283c2cd5b648,h264,1920,1080,30000/1001,3918,-0.700700,OK
6cNq5d_NOXs_s60,heldout,6cNq5d_NOXs,60,nba,2026-09-09T19:16:07Z,,0,,,,,,,,ABSENT: ERROR: [youtube] 6cNq5d_NOXs: Video unavailable
5U9k1U6nN-g_s1207,heldout,5U9k1U6nN-g,1207,nba,2026-09-09T19:16:09Z,270,71640445,252c93f19a773e2797f026f14b2c3ce590bf1fcefd60919b07a28737b58b9faa,h264,1920,1080,30000/1001,4046,-4.971633,OK
1E5Rw89keTg_s312,heldout,1E5Rw89keTg,312,wnba,2026-09-09T19:19:42Z,270,73515293,5949163825131bc67d6862ca630cf6fdbc4d470bfe84ebe2dd43721a2949c3af,h264,1920,1080,30000/1001,4018,-4.037367,OK
N-eE7ZwTuno_s2365,heldout,N-eE7ZwTuno,2365,ncaa_basketball,2026-09-09T19:20:19Z,270,69757514,9fda67e1d77f0a4418d9d161ef314987698d4d1d85c75dc87e3e74be05c15c74,h264,1920,1080,30000/1001,4043,-4.871533,OK
50pp-OqYVok_s1500,heldout,50pp-OqYVok,1500,nba,2026-09-09T19:21:35Z,270,69734980,16d8d6298823d2a5c8823538ba5d5c2415098cd16a192e0f9fa389033bde4121,h264,1920,1080,30/1,3941,-1.333333,OK
AIMOY6CoQKI_s4438,heldout,AIMOY6CoQKI,4438,ncaa_basketball,2026-09-09T19:23:34Z,270,66315371,f3af84fccf9d40fdfabf543ce6cce0ffaa863a9bb69eccec89de7e7e112f899c,h264,1920,1080,30000/1001,3960,-2.068733,OK
NNJTTtwp7KE_s90,heldout,NNJTTtwp7KE,90,nba,2026-09-09T19:25:40Z,,0,,,,,,,,ABSENT: ERROR: [youtube] NNJTTtwp7KE: Video unavailable
Ze8frxZxNyk_s2646,heldout,Ze8frxZxNyk,2646,ncaa_basketball,2026-09-09T19:25:43Z,270,65212927,83b074e28f4585eb418a82c63e241b68431e8d46207447a01fca5f3a3a2783ce,h264,1920,1080,30000/1001,3998,-3.370033,OK
myAuD3DmJMY_s3957,heldout,myAuD3DmJMY,3957,nba,2026-09-09T19:26:15Z,270,64539863,10bdc665985e598cfb367f13c3898883c4f989a71a57297f79c637ad1023dc33,h264,1920,1080,30000/1001,4012,-3.837167,OK
uZkAbRqeGrc_s1607,heldout,uZkAbRqeGrc,1607,nba,2026-09-09T19:26:43Z,270,64460609,e858c810539be8f0ebf459505b400f05fa93882d138f9dd785c279d0be94d509,h264,1920,1080,30/1,3939,-1.266667,OK
1zPhldjbJnU_s5620,development,1zPhldjbJnU,5620,wnba,2026-09-09T19:31:01Z,270,61303904,58cbaf875f0896ed576e4a245744017b60c8d869476d8912b50ba8f708fba305,h264,1920,1080,30/1,4054,-5.100000,OK
jKoEJNdiRyI_s3429,development,jKoEJNdiRyI,3429,wnba,2026-09-09T19:31:26Z,270,45972261,39378ea535ccbaf2e503821bf6bbc0a9f4f23bdb5dbc8137fc6a378fce688f9d,h264,1920,1080,30/1,3912,-0.366667,OK
m7K0J4wzDn4_s90,development,m7K0J4wzDn4,90,nba,2026-09-09T19:31:58Z,,0,,,,,,,,ABSENT: ERROR: [youtube] m7K0J4wzDn4: Video unavailable
5PNHcMafoX8_s4128,development,5PNHcMafoX8,4128,nba,2026-09-09T19:32:01Z,270,67011898,09916f9a40860bb0415cca57752ed12442db9dc329472259f4a825c7a2f1d3d6,h264,1920,1080,30000/1001,3958,-2.035367,OK
9sq-YMlIo9Q_s3474,development,9sq-YMlIo9Q,3474,ncaa_basketball,2026-09-09T19:32:25Z,270,66252989,3c5106b9ad9fdecab69bdb37eb9cb084f64011e5395a1291097296e5dab472ce,h264,1920,1080,30000/1001,3959,-2.068733,OK
3fT6aYz2N9w_s5086,development,3fT6aYz2N9w,5086,nba,2026-09-09T19:33:02Z,270,68110046,7da7132bac019e4694cbb020bcafc42a53516d9d16de80f02592568677635118,h264,1920,1080,30000/1001,4084,-6.239567,OK
gLdwA_gHN8Y_s90,development,gLdwA_gHN8Y,90,wnba,2026-09-09T19:33:31Z,270,63578308,f01ee052320bbf6da8a0361e19179bcc2e5e49b63739a2db75e70f929512ded0,h264,1920,1080,30/1,3908,-0.233333,OK
wJSOHbeQcg4_s5540,development,wJSOHbeQcg4,5540,ncaa_basketball,2026-09-09T19:34:10Z,270,68167940,e4d6e6b74b3b1e460e8dff559bb746b69f73019e740f1920de738ea92776005c,h264,1920,1080,30/1,4003,-3.400000,OK
QXFM3hlaDAk_s5230,development,QXFM3hlaDAk,5230,ncaa_basketball,2026-09-09T19:34:44Z,270,54563939,e9f0e7ae85d8d37e2968821781897c65aea4762e289a9243ebe612306f8ceec0,h264,1920,1080,30/1,4001,-3.333333,OK
hLv8cwl0asQ_s3705,development,hLv8cwl0asQ,3705,ncaa_basketball,2026-09-09T19:35:14Z,270,60542713,74a8f2a6d68b206532e8e657e5d73ef351f6adb5bbce32316af6841d48e70d30,h264,1920,1080,30000/1001,3937,-1.301300,OK
X5w3V6rh26s_s5234,development,X5w3V6rh26s,5234,ncaa_basketball,2026-09-09T19:41:51Z,270,62187319,dbb2a933569c9cec8a5bbccc29da895b2d41e2eafbc4d74183c6ea908945a15d,h264,1920,1080,30000/1001,4011,-3.803800,OK
