geometry,sigma_px,draw,seed,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,n_supports,n_kept,rounds_run,n_fev,status
G1_SYNTH_QUAD,0.00,0,1010324952,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,1,2520636255,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,2,1451874376,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,3,3258726196,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,4,207284379,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,5,1844978419,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,6,2596647074,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,7,3337423931,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,8,749837419,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,9,2520407555,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,10,3414347926,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,11,3782649489,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,12,2035071573,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,13,4253267433,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,14,699614685,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,15,906024637,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,16,2376783657,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,17,2549950179,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,18,2824097549,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,19,2953331559,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,20,866108962,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,21,1794705458,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,22,3181264297,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,23,374888848,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,24,3754881337,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,25,1726369981,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,26,2967116964,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,27,4145530452,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,28,163802591,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,29,4272596914,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,30,1934691955,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,31,2645978913,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,32,693706717,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,33,2712465484,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,34,309407471,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,35,2172494822,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,36,2733655308,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
G1_SYNTH_QUAD,0.00,37,1920890512,0.000000,0.000000,0.000000,0.000000,0.000000,546,546,1,2,ok
