gate,mode,n,pass_n,reject_n,not_applicable_n,other_n,share_reachable,causes
coordinate_contract,M0,000059,000000,000000,000059,000000,0.000000,court_space_required
insufficient_data,M0,000059,000059,000000,000000,000000,1.000000,
duplicate_frame_identity,M0,000059,000059,000000,000000,000000,1.000000,
coverage_attempted_frames,M0,000059,000000,000000,000000,000059,0.000000,emitted-frame density; attempted-frame denominator unavailable
median_track_len,M0,000059,000059,000000,000000,000000,1.000000,
oob,M0,000059,000000,000000,000059,000000,0.000000,court_space_required
jump_max,M0,000059,000000,000000,000000,000059,0.000000,G48 has no landed pixel-rate threshold
attempted_frames,M0,000059,000000,000000,000000,000059,0.000000,attempted-frame metadata is outside image-space inputs
ball_valid_attempted_frames,M0,000059,000059,000000,000000,000000,1.000000,
liveness_frozen,M0,000059,000059,000000,000000,000000,1.000000,
zero_step_share,M0,000059,000035,000024,000000,000000,1.000000,
median_step_distance,M0,000059,000059,000000,000000,000000,1.000000,
distinct_position_ratio,M0,000059,000037,000022,000000,000000,1.000000,
stationary_track_share,M0,000059,000047,000012,000000,000000,1.000000,
jump_p95,M0,000059,000000,000000,000000,000059,0.000000,G48 has no landed pixel-rate threshold
ball_detected_share,M0,000059,000059,000000,000000,000000,1.000000,
g325_wholly_off_frame,M0,000059,000000,000000,000059,000000,0.000000,frame_size_absent
any_gate,M0,000059,000032,000027,000000,000000,1.000000,
coordinate_contract,M1,000059,000000,000000,000059,000000,0.000000,court_space_required
insufficient_data,M1,000059,000059,000000,000000,000000,1.000000,
duplicate_frame_identity,M1,000059,000059,000000,000000,000000,1.000000,
coverage_attempted_frames,M1,000059,000000,000000,000000,000059,0.000000,emitted-frame density; attempted-frame denominator unavailable
median_track_len,M1,000059,000059,000000,000000,000000,1.000000,
oob,M1,000059,000000,000000,000059,000000,0.000000,court_space_required
jump_max,M1,000059,000000,000000,000000,000059,0.000000,G48 has no landed pixel-rate threshold
attempted_frames,M1,000059,000000,000000,000000,000059,0.000000,attempted-frame metadata is outside image-space inputs
ball_valid_attempted_frames,M1,000059,000032,000027,000000,000000,1.000000,
liveness_frozen,M1,000059,000059,000000,000000,000000,1.000000,
zero_step_share,M1,000059,000059,000000,000000,000000,1.000000,
median_step_distance,M1,000059,000003,000056,000000,000000,1.000000,
distinct_position_ratio,M1,000059,000059,000000,000000,000000,1.000000,
stationary_track_share,M1,000059,000047,000012,000000,000000,1.000000,
jump_p95,M1,000059,000000,000000,000000,000059,0.000000,G48 has no landed pixel-rate threshold
ball_detected_share,M1,000059,000032,000027,000000,000000,1.000000,
g325_wholly_off_frame,M1,000059,000000,000000,000059,000000,0.000000,frame_size_absent
any_gate,M1,000059,000001,000058,000000,000000,1.000000,
