section_name,corpus,status,motion_share,motion_share_no_coast,coast_row_share,m1_rows_dropped,UNATTRIBUTED_KEPT,UNATTRIBUTED_REMOVED_TAIL,UNATTRIBUTED_SPLIT,COAST_LOST_KEPT,COAST_LOST_REMOVED_TAIL,COAST_LOST_SPLIT,BBOX_FROZEN_KEPT,BBOX_FROZEN_REMOVED_TAIL,BBOX_FROZEN_SPLIT,CLAMP_OR_SUBPIXEL_KEPT,CLAMP_OR_SUBPIXEL_REMOVED_TAIL,CLAMP_OR_SUBPIXEL_SPLIT
0KIBu1jQBL8_s1205,FRESH_REPL,PRESENT,0.682836,0.563433,0.229003,001416,000000,000000,000000,000000,000007,000000,000000,000000,000000,000000,000034,000000
0KIBu1jQBL8_s2320,FRESH_REPL,PRESENT,0.130045,0.122727,0.299258,001086,000000,000000,000000,000000,000004,000000,000000,000000,000000,000000,000011,000000
0KIBu1jQBL8_s3435,FRESH_REPL,PRESENT,0.045169,0.025926,0.701325,002913,000000,000000,000000,000000,000016,000000,000000,000000,000000,000000,000000,000000
0KIBu1jQBL8_s4550,FRESH_REPL,PRESENT,0.843373,0.748441,0.254418,001084,000000,000000,000000,000000,000034,000000,000000,000004,000000,000000,000069,000000
0KIBu1jQBL8_s5665,FRESH_REPL,PRESENT,0.832640,0.698429,0.319250,003176,000000,000000,000000,000000,000058,000000,000000,000004,000000,000000,000119,000000
0KIBu1jQBL8_s90,FRESH_REPL,PRESENT,0.126087,0.013514,0.815951,000442,000000,000000,000000,000000,000025,000000,000000,000000,000000,000000,000003,000000
6FlZaoWSfFw_s337,FRESH_REPL,PRESENT,0.110110,0.085832,0.286177,003844,000000,000000,000000,000000,000002,000000,000000,000000,000000,000000,000017,000000
6FlZaoWSfFw_s584,FRESH_REPL,PRESENT,0.570000,0.428944,0.315618,003469,000000,000000,000000,000000,000021,000000,000000,000001,000000,000000,000047,000000
6FlZaoWSfFw_s90,FRESH_REPL,PRESENT,0.028028,0.020213,0.399522,004104,000000,000000,000000,000000,000002,000000,000000,000000,000000,000000,000012,000000
G8bPOW37Sp0_s320,FRESH_REPL,PRESENT,0.273273,0.051440,0.401945,002837,000000,000000,000000,000000,000026,000000,000000,000000,000000,000000,000018,000000
G8bPOW37Sp0_s550,FRESH_REPL,PRESENT,0.212212,0.100000,0.471438,004313,000000,000000,000000,000000,000011,000000,000000,000000,000000,000000,000014,000000
G8bPOW37Sp0_s90,FRESH_REPL,PRESENT,0.539362,0.418854,0.434402,002516,000000,000000,000000,000000,000063,000000,000000,000000,000000,000000,000080,000000
N-eE7ZwTuno_s1308,FRESH_REPL,PRESENT,0.513514,0.481370,0.136208,005534,000000,000000,000000,000000,000007,000000,000000,000000,000000,000000,000029,000000
N-eE7ZwTuno_s2526,FRESH_REPL,PRESENT,0.584807,0.237624,0.683605,001655,000000,000000,000000,000000,000138,000000,000000,000000,000000,000000,000018,000000
N-eE7ZwTuno_s3744,FRESH_REPL,PRESENT,0.917933,0.838812,0.284535,002489,000000,000000,000000,000000,000079,000000,000000,000002,000000,000000,000182,000000
N-eE7ZwTuno_s4962,FRESH_REPL,PRESENT,0.721722,0.666667,0.143108,002758,000000,000000,000000,000000,000010,000000,000000,000004,000000,000000,000097,000000
N-eE7ZwTuno_s90,FRESH_REPL,PRESENT,0.016145,0.004405,0.689099,003985,000000,000000,000000,000000,000017,000000,000000,000000,000000,000000,000000,000000
RIrGQJ_jsGQ_s1410,FRESH_REPL,PRESENT,0.671672,0.503525,0.241963,004336,000000,000000,000000,000000,000030,000000,000000,000001,000000,000000,000095,000000
RIrGQJ_jsGQ_s2730,FRESH_REPL,PRESENT,0.402831,0.152318,0.635017,002811,000000,000000,000000,000000,000061,000000,000000,000000,000000,000000,000013,000000
RIrGQJ_jsGQ_s4050,FRESH_REPL,PRESENT,0.250250,0.164718,0.382881,003518,000000,000000,000000,000000,000016,000000,000000,000000,000000,000000,000030,000000
RIrGQJ_jsGQ_s5370,FRESH_REPL,PRESENT,0.800601,0.714431,0.181287,001250,000000,000000,000000,000000,000068,000000,000000,000003,000000,000000,000256,000000
RIrGQJ_jsGQ_s90,FRESH_REPL,PRESENT,0.463277,0.611765,0.593490,000835,000000,000000,000000,000000,000045,000000,000000,000002,000000,000000,000031,000000
XCaGht2GmPg_s1416,FRESH_REPL,PRESENT,0.126016,0.033784,0.496383,002098,000000,000000,000000,000000,000018,000000,000000,000001,000000,000000,000005,000000
XCaGht2GmPg_s2742,FRESH_REPL,PRESENT,0.871743,0.643863,0.366616,001862,000000,000000,000000,000000,000029,000000,000000,000003,000000,000000,000029,000000
XCaGht2GmPg_s4068,FRESH_REPL,PRESENT,0.054656,0.015291,0.712815,001682,000000,000000,000000,000000,000025,000000,000000,000000,000000,000000,000000,000000
XCaGht2GmPg_s5394,FRESH_REPL,PRESENT,0.036145,0.002183,0.331487,002310,000000,000000,000000,000000,000005,000000,000000,000000,000000,000000,000008,000000
