section_id,scheduled_frames,represented_frames,missing_frames
0KIBu1jQBL8_s1205,1299,1299,0
0KIBu1jQBL8_s2320,1299,1299,0
0KIBu1jQBL8_s3435,1299,1299,0
0KIBu1jQBL8_s4550,1299,1299,0
0KIBu1jQBL8_s5665,1299,1299,0
0KIBu1jQBL8_s90,1299,1299,0
1E5Rw89keTg_s312,1299,1299,0
1E5Rw89keTg_s534,1300,1300,0
1E5Rw89keTg_s90,1299,1299,0
6FlZaoWSfFw_s337,1300,1300,0
6FlZaoWSfFw_s584,1299,1299,0
6FlZaoWSfFw_s90,1299,1299,0
9F5q5jCbrMI_s1270,1299,1299,0
9F5q5jCbrMI_s2450,1299,1299,0
9F5q5jCbrMI_s3630,1299,1299,0
9F5q5jCbrMI_s4810,1299,1299,0
9F5q5jCbrMI_s90,1291,1291,0
EqseleqhpTk_s1395,1299,1299,0
EqseleqhpTk_s2700,1299,1299,0
EqseleqhpTk_s4005,1300,1300,0
EqseleqhpTk_s5310,1299,1299,0
EqseleqhpTk_s90,1299,1299,0
G8bPOW37Sp0_s320,1299,1299,0
G8bPOW37Sp0_s550,1299,1299,0
G8bPOW37Sp0_s90,1299,1299,0
GNjSxoeDT-E_s1167,1299,1299,0
GNjSxoeDT-E_s2244,1299,1299,0
GNjSxoeDT-E_s3321,1299,1299,0
GNjSxoeDT-E_s4398,1299,1299,0
GNjSxoeDT-E_s5475,1300,1300,0
GNjSxoeDT-E_s90,1299,1299,0
HUSo3PzP7lo_s246,1299,1299,0
HUSo3PzP7lo_s402,1299,1299,0
HUSo3PzP7lo_s90,1299,1299,0
N-eE7ZwTuno_s1308,1299,1299,0
N-eE7ZwTuno_s2526,1299,1299,0
N-eE7ZwTuno_s3744,1299,1299,0
N-eE7ZwTuno_s4962,1299,1299,0
N-eE7ZwTuno_s90,1299,1299,0
RIrGQJ_jsGQ_s1410,1301,1301,0
RIrGQJ_jsGQ_s2730,1301,1301,0
RIrGQJ_jsGQ_s4050,1301,1301,0
RIrGQJ_jsGQ_s5370,1301,1301,0
RIrGQJ_jsGQ_s90,1301,1301,0
XCaGht2GmPg_s1416,1299,1299,0
XCaGht2GmPg_s2742,1299,1299,0
XCaGht2GmPg_s4068,1299,1299,0
XCaGht2GmPg_s5394,1299,1299,0
XCaGht2GmPg_s90,1299,1299,0
XzIzQZBrPBY_s244,1299,1299,0
XzIzQZBrPBY_s398,1299,1299,0
XzIzQZBrPBY_s90,1299,1299,0
eaKqXq9dfig_s259,1301,1301,0
eaKqXq9dfig_s428,1301,1301,0
eaKqXq9dfig_s90,1301,1301,0
fXLNra4sjjU_s5830,1299,1299,0
fXLNra4sjjU_s90,1299,1299,0
h6j_iLYRx8U_s1424,1299,1299,0
h6j_iLYRx8U_s2758,1299,1299,0
h6j_iLYRx8U_s4092,1299,1299,0
h6j_iLYRx8U_s5426,1299,1299,0
h6j_iLYRx8U_s6760,1299,1299,0
h6j_iLYRx8U_s90,1299,1299,0
wJSOHbeQcg4_s1180,1301,1301,0
wJSOHbeQcg4_s2270,1301,1301,0
wJSOHbeQcg4_s3360,1301,1301,0
wJSOHbeQcg4_s4450,1301,1301,0
wJSOHbeQcg4_s5540,1301,1301,0
wJSOHbeQcg4_s90,1301,1301,0
