card_id,section_id,game_id,sol,terra,agreed,verdict
card_0000,0KIBu1jQBL8_s1205,0KIBu1jQBL8,USABLE,USABLE,1,USABLE
card_0001,0KIBu1jQBL8_s2320,0KIBu1jQBL8,USABLE,USABLE,1,USABLE
card_0002,0KIBu1jQBL8_s3435,0KIBu1jQBL8,USABLE,USABLE,1,USABLE
card_0003,0KIBu1jQBL8_s4550,0KIBu1jQBL8,USABLE,USABLE,1,USABLE
card_0004,0KIBu1jQBL8_s5665,0KIBu1jQBL8,USABLE,USABLE,1,USABLE
card_0005,0KIBu1jQBL8_s90,0KIBu1jQBL8,NOT_USABLE,NOT_USABLE,1,NOT_USABLE
card_0006,1E5Rw89keTg_s312,1E5Rw89keTg,USABLE,USABLE,1,USABLE
card_0007,1E5Rw89keTg_s534,1E5Rw89keTg,USABLE,USABLE,1,USABLE
card_0008,1E5Rw89keTg_s90,1E5Rw89keTg,USABLE,USABLE,1,USABLE
card_0009,6FlZaoWSfFw_s337,6FlZaoWSfFw,USABLE,USABLE,1,USABLE
card_0010,6FlZaoWSfFw_s584,6FlZaoWSfFw,USABLE,USABLE,1,USABLE
card_0011,6FlZaoWSfFw_s90,6FlZaoWSfFw,USABLE,USABLE,1,USABLE
card_0012,9F5q5jCbrMI_s1270,9F5q5jCbrMI,USABLE,USABLE,1,USABLE
card_0013,9F5q5jCbrMI_s2450,9F5q5jCbrMI,UNSURE,UNSURE,1,UNSURE
card_0014,9F5q5jCbrMI_s3630,9F5q5jCbrMI,USABLE,USABLE,1,USABLE
card_0015,9F5q5jCbrMI_s4810,9F5q5jCbrMI,NOT_USABLE,NOT_USABLE,1,NOT_USABLE
card_0016,9F5q5jCbrMI_s90,9F5q5jCbrMI,USABLE,USABLE,1,USABLE
card_0017,EqseleqhpTk_s1395,EqseleqhpTk,USABLE,USABLE,1,USABLE
card_0018,EqseleqhpTk_s2700,EqseleqhpTk,USABLE,USABLE,1,USABLE
card_0019,EqseleqhpTk_s4005,EqseleqhpTk,USABLE,USABLE,1,USABLE
