geometry,sigma_px,draw,probe_index,err_m,err_modulo_m
G1_SYNTH_QUAD,0.00,0,0,0.021596,0.021596
G1_SYNTH_QUAD,0.00,0,1,0.021649,0.021649
G1_SYNTH_QUAD,0.00,0,2,0.021754,0.021754
G1_SYNTH_QUAD,0.00,0,3,0.021908,0.021908
G1_SYNTH_QUAD,0.00,0,4,0.022111,0.022111
G1_SYNTH_QUAD,0.00,0,5,0.022361,0.022361
G1_SYNTH_QUAD,0.00,0,6,0.022657,0.022657
G1_SYNTH_QUAD,0.00,0,7,0.022995,0.022995
G1_SYNTH_QUAD,0.00,0,8,0.023375,0.023375
G1_SYNTH_QUAD,0.00,0,9,0.023794,0.023794
G1_SYNTH_QUAD,0.00,0,10,0.024249,0.024249
G1_SYNTH_QUAD,0.00,0,11,0.006762,0.006762
G1_SYNTH_QUAD,0.00,0,12,0.006699,0.006699
G1_SYNTH_QUAD,0.00,0,13,0.007040,0.007040
G1_SYNTH_QUAD,0.00,0,14,0.007733,0.007733
G1_SYNTH_QUAD,0.00,0,15,0.008692,0.008692
G1_SYNTH_QUAD,0.00,0,16,0.009838,0.009838
G1_SYNTH_QUAD,0.00,0,17,0.011113,0.011113
G1_SYNTH_QUAD,0.00,0,18,0.012478,0.012478
G1_SYNTH_QUAD,0.00,0,19,0.013903,0.013903
G1_SYNTH_QUAD,0.00,0,20,0.015372,0.015372
G1_SYNTH_QUAD,0.00,0,21,0.016873,0.016873
G1_SYNTH_QUAD,0.00,0,22,0.007352,0.007352
G1_SYNTH_QUAD,0.00,0,23,0.006836,0.006836
G1_SYNTH_QUAD,0.00,0,24,0.007055,0.007055
G1_SYNTH_QUAD,0.00,0,25,0.007948,0.007948
G1_SYNTH_QUAD,0.00,0,26,0.009322,0.009322
G1_SYNTH_QUAD,0.00,0,27,0.010996,0.010996
G1_SYNTH_QUAD,0.00,0,28,0.012853,0.012853
G1_SYNTH_QUAD,0.00,0,29,0.014822,0.014822
G1_SYNTH_QUAD,0.00,0,30,0.016866,0.016866
G1_SYNTH_QUAD,0.00,0,31,0.018958,0.018958
G1_SYNTH_QUAD,0.00,0,32,0.021081,0.021081
G1_SYNTH_QUAD,0.00,0,33,0.019398,0.019398
G1_SYNTH_QUAD,0.00,0,34,0.018951,0.018951
G1_SYNTH_QUAD,0.00,0,35,0.018939,0.018939
G1_SYNTH_QUAD,0.00,0,36,0.019363,0.019363
G1_SYNTH_QUAD,0.00,0,37,0.020193,0.020193
G1_SYNTH_QUAD,0.00,0,38,0.021383,0.021383
G1_SYNTH_QUAD,0.00,0,39,0.022874,0.022874
G1_SYNTH_QUAD,0.00,0,40,0.024613,0.024613
G1_SYNTH_QUAD,0.00,0,41,0.026547,0.026547
G1_SYNTH_QUAD,0.00,0,42,0.028640,0.028640
G1_SYNTH_QUAD,0.00,0,43,0.030857,0.030857
G1_SYNTH_QUAD,0.00,0,44,0.030152,0.030152
G1_SYNTH_QUAD,0.00,0,45,0.029646,0.029646
G1_SYNTH_QUAD,0.00,0,46,0.029548,0.029548
G1_SYNTH_QUAD,0.00,0,47,0.029863,0.029863
G1_SYNTH_QUAD,0.00,0,48,0.030576,0.030576
G1_SYNTH_QUAD,0.00,0,49,0.031661,0.031661
G1_SYNTH_QUAD,0.00,0,50,0.033081,0.033081
G1_SYNTH_QUAD,0.00,0,51,0.034793,0.034793
G1_SYNTH_QUAD,0.00,0,52,0.036757,0.036757
G1_SYNTH_QUAD,0.00,0,53,0.038933,0.038933
G1_SYNTH_QUAD,0.00,0,54,0.041287,0.041287
G1_SYNTH_QUAD,0.00,0,55,0.039517,0.039517
G1_SYNTH_QUAD,0.00,0,56,0.038920,0.038920
G1_SYNTH_QUAD,0.00,0,57,0.038753,0.038753
G1_SYNTH_QUAD,0.00,0,58,0.039020,0.039020
G1_SYNTH_QUAD,0.00,0,59,0.039713,0.039713
G1_SYNTH_QUAD,0.00,0,60,0.040810,0.040810
G1_SYNTH_QUAD,0.00,0,61,0.042277,0.042277
G1_SYNTH_QUAD,0.00,0,62,0.044078,0.044078
G1_SYNTH_QUAD,0.00,0,63,0.046173,0.046173
G1_SYNTH_QUAD,0.00,0,64,0.048524,0.048524
G1_SYNTH_QUAD,0.00,0,65,0.051094,0.051094
G1_SYNTH_QUAD,0.00,0,66,0.047482,0.047482
G1_SYNTH_QUAD,0.00,0,67,0.046775,0.046775
G1_SYNTH_QUAD,0.00,0,68,0.046538,0.046538
G1_SYNTH_QUAD,0.00,0,69,0.046779,0.046779
G1_SYNTH_QUAD,0.00,0,70,0.047491,0.047491
G1_SYNTH_QUAD,0.00,0,71,0.048653,0.048653
G1_SYNTH_QUAD,0.00,0,72,0.050231,0.050231
G1_SYNTH_QUAD,0.00,0,73,0.052189,0.052189
G1_SYNTH_QUAD,0.00,0,74,0.054484,0.054484
G1_SYNTH_QUAD,0.00,0,75,0.057077,0.057077
G1_SYNTH_QUAD,0.00,0,76,0.059927,0.059927
G1_SYNTH_QUAD,0.00,0,77,0.054048,0.054048
G1_SYNTH_QUAD,0.00,0,78,0.053208,0.053208
G1_SYNTH_QUAD,0.00,0,79,0.052896,0.052896
G1_SYNTH_QUAD,0.00,0,80,0.053123,0.053123
G1_SYNTH_QUAD,0.00,0,81,0.053878,0.053878
G1_SYNTH_QUAD,0.00,0,82,0.055140,0.055140
G1_SYNTH_QUAD,0.00,0,83,0.056876,0.056876
G1_SYNTH_QUAD,0.00,0,84,0.059043,0.059043
G1_SYNTH_QUAD,0.00,0,85,0.061595,0.061595
G1_SYNTH_QUAD,0.00,0,86,0.064486,0.064486
G1_SYNTH_QUAD,0.00,0,87,0.067672,0.067672
G1_SYNTH_QUAD,0.00,0,88,0.059217,0.059217
G1_SYNTH_QUAD,0.00,0,89,0.058221,0.058221
G1_SYNTH_QUAD,0.00,0,90,0.057826,0.057826
G1_SYNTH_QUAD,0.00,0,91,0.058041,0.058041
G1_SYNTH_QUAD,0.00,0,92,0.058859,0.058859
G1_SYNTH_QUAD,0.00,0,93,0.060255,0.060255
G1_SYNTH_QUAD,0.00,0,94,0.062190,0.062190
G1_SYNTH_QUAD,0.00,0,95,0.064615,0.064615
G1_SYNTH_QUAD,0.00,0,96,0.067478,0.067478
G1_SYNTH_QUAD,0.00,0,97,0.070722,0.070722
G1_SYNTH_QUAD,0.00,0,98,0.074299,0.074299
G1_SYNTH_QUAD,0.00,0,99,0.062996,0.062996
G1_SYNTH_QUAD,0.00,0,100,0.061817,0.061817
G1_SYNTH_QUAD,0.00,0,101,0.061324,0.061324
G1_SYNTH_QUAD,0.00,0,102,0.061531,0.061531
G1_SYNTH_QUAD,0.00,0,103,0.062431,0.062431
G1_SYNTH_QUAD,0.00,0,104,0.063994,0.063994
G1_SYNTH_QUAD,0.00,0,105,0.066173,0.066173
G1_SYNTH_QUAD,0.00,0,106,0.068909,0.068909
G1_SYNTH_QUAD,0.00,0,107,0.072138,0.072138
G1_SYNTH_QUAD,0.00,0,108,0.075795,0.075795
G1_SYNTH_QUAD,0.00,0,109,0.079823,0.079823
G1_SYNTH_QUAD,0.00,0,110,0.065395,0.065395
G1_SYNTH_QUAD,0.00,0,111,0.063998,0.063998
G1_SYNTH_QUAD,0.00,0,112,0.063390,0.063390
G1_SYNTH_QUAD,0.00,0,113,0.063591,0.063591
G1_SYNTH_QUAD,0.00,0,114,0.064594,0.064594
G1_SYNTH_QUAD,0.00,0,115,0.066362,0.066362
G1_SYNTH_QUAD,0.00,0,116,0.068836,0.068836
G1_SYNTH_QUAD,0.00,0,117,0.071942,0.071942
G1_SYNTH_QUAD,0.00,0,118,0.075602,0.075602
G1_SYNTH_QUAD,0.00,0,119,0.079737,0.079737
G1_SYNTH_QUAD,0.00,0,120,0.084279,0.084279
G1_SYNTH_QUAD,0.00,0,121,0.066430,0.066430
G1_SYNTH_QUAD,0.00,0,122,0.064769,0.064769
G1_SYNTH_QUAD,0.00,0,123,0.064020,0.064020
G1_SYNTH_QUAD,0.00,0,124,0.064218,0.064218
G1_SYNTH_QUAD,0.00,0,125,0.065349,0.065349
G1_SYNTH_QUAD,0.00,0,126,0.067371,0.067371
G1_SYNTH_QUAD,0.00,0,127,0.070202,0.070202
G1_SYNTH_QUAD,0.00,0,128,0.073748,0.073748
G1_SYNTH_QUAD,0.00,0,129,0.077914,0.077914
G1_SYNTH_QUAD,0.00,0,130,0.082602,0.082602
G1_SYNTH_QUAD,0.00,0,131,0.087731,0.087731
G1_SYNTH_QUAD,0.00,0,132,0.066122,0.066122
G1_SYNTH_QUAD,0.00,0,133,0.064136,0.064136
G1_SYNTH_QUAD,0.00,0,134,0.063217,0.063217
G1_SYNTH_QUAD,0.00,0,135,0.063411,0.063411
G1_SYNTH_QUAD,0.00,0,136,0.064706,0.064706
G1_SYNTH_QUAD,0.00,0,137,0.067038,0.067038
G1_SYNTH_QUAD,0.00,0,138,0.070304,0.070304
G1_SYNTH_QUAD,0.00,0,139,0.074382,0.074382
G1_SYNTH_QUAD,0.00,0,140,0.079140,0.079140
G1_SYNTH_QUAD,0.00,0,141,0.084467,0.084467
G1_SYNTH_QUAD,0.00,0,142,0.090262,0.090262
G1_SYNTH_QUAD,0.00,0,143,0.064505,0.064505
G1_SYNTH_QUAD,0.00,0,144,0.062112,0.062112
G1_SYNTH_QUAD,0.00,0,145,0.060978,0.060978
G1_SYNTH_QUAD,0.00,0,146,0.061171,0.061171
G1_SYNTH_QUAD,0.00,0,147,0.062674,0.062674
G1_SYNTH_QUAD,0.00,0,148,0.065400,0.065400
G1_SYNTH_QUAD,0.00,0,149,0.069203,0.069203
G1_SYNTH_QUAD,0.00,0,150,0.073915,0.073915
G1_SYNTH_QUAD,0.00,0,151,0.079375,0.079375
G1_SYNTH_QUAD,0.00,0,152,0.085437,0.085437
G1_SYNTH_QUAD,0.00,0,153,0.091984,0.091984
G2_WIDE,0.00,0,0,15.222387,0.021422
G2_WIDE,0.00,0,1,12.175947,0.020346
G2_WIDE,0.00,0,2,9.129383,0.019437
G2_WIDE,0.00,0,3,6.082694,0.018688
G2_WIDE,0.00,0,4,3.035890,0.018092
G2_WIDE,0.00,0,5,0.017641,0.017641
G2_WIDE,0.00,0,6,3.058190,0.017321
G2_WIDE,0.00,0,7,6.105373,0.017120
G2_WIDE,0.00,0,8,9.152693,0.017024
G2_WIDE,0.00,0,9,12.200142,0.017020
G2_WIDE,0.00,0,10,15.247717,0.017096
G2_WIDE,0.00,0,11,15.220552,0.019743
G2_WIDE,0.00,0,12,12.174274,0.018094
G2_WIDE,0.00,0,13,9.127870,0.016586
G2_WIDE,0.00,0,14,6.081341,0.015222
G2_WIDE,0.00,0,15,3.034685,0.014003
G2_WIDE,0.00,0,16,0.012931,0.012931
G2_WIDE,0.00,0,17,3.059013,0.012007
G2_WIDE,0.00,0,18,6.106046,0.011230
G2_WIDE,0.00,0,19,9.153207,0.010600
G2_WIDE,0.00,0,20,12.200494,0.010112
G2_WIDE,0.00,0,21,15.247908,0.009761
G2_WIDE,0.00,0,22,15.218722,0.021861
G2_WIDE,0.00,0,23,12.172607,0.019992
