game_id,sport,gate_side,location,deleted_utc,deleted_bytes,deleted_path,deleter,reason
N-eE7ZwTuno_s1308,ncaa_basketball,BEFORE,GONE,17:00:41Z,73226085,/workspace/data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s1308.mp4,vol_guard.py,corpus_over_2500MB
N-eE7ZwTuno_s2526,ncaa_basketball,BEFORE,GONE,18:01:21Z,58398759,/workspace/data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s2526.mp4,vol_guard.py,probe2000_failed
N-eE7ZwTuno_s3744,ncaa_basketball,BEFORE,GONE,17:00:41Z,65819712,/workspace/data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s3744.mp4,vol_guard.py,corpus_over_2500MB
N-eE7ZwTuno_s90,ncaa_basketball,BEFORE,GONE,17:00:41Z,71637127,/workspace/data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s90.mp4,vol_guard.py,corpus_over_2500MB
N-eE7ZwTuno_s4962,ncaa_basketball,BEFORE,GONE,17:00:41Z,69503508,/workspace/data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s4962.mp4,vol_guard.py,corpus_over_2500MB
XzIzQZBrPBY_s244,nba,BEFORE,GONE,17:00:41Z,97423948,/workspace/data/footage_corpus/nba__XzIzQZBrPBY_s244.mp4,vol_guard.py,corpus_over_2500MB
XzIzQZBrPBY_s398,nba,BEFORE,GONE,17:00:41Z,94263529,/workspace/data/footage_corpus/nba__XzIzQZBrPBY_s398.mp4,vol_guard.py,corpus_over_2500MB
XzIzQZBrPBY_s90,nba,BEFORE,GONE,17:20:55Z,97411135,/workspace/data/footage_corpus/nba__XzIzQZBrPBY_s90.mp4,vol_guard.py,corpus_over_2500MB
6FlZaoWSfFw_s337,wnba,BEFORE,GONE,17:20:55Z,61848075,/workspace/data/footage_corpus/wnba__6FlZaoWSfFw_s337.mp4,vol_guard.py,corpus_over_2500MB
6FlZaoWSfFw_s90,wnba,BEFORE,GONE,17:20:55Z,61722788,/workspace/data/footage_corpus/wnba__6FlZaoWSfFw_s90.mp4,vol_guard.py,corpus_over_2500MB
6FlZaoWSfFw_s584,wnba,BEFORE,GONE,17:20:55Z,59564403,/workspace/data/footage_corpus/wnba__6FlZaoWSfFw_s584.mp4,vol_guard.py,corpus_over_2500MB
euroleague-8ue528gaVyY_s1228,basketball,BEFORE,GONE,18:01:21Z,57776429,/workspace/data/footage_corpus/basketball__euroleague-8ue528gaVyY_s1228.mp4,vol_guard.py,probe2000_failed
euroleague-8ue528gaVyY_s2366,basketball,BEFORE,GONE,17:20:55Z,68592425,/workspace/data/footage_corpus/basketball__euroleague-8ue528gaVyY_s2366.mp4,vol_guard.py,corpus_over_2500MB
euroleague-8ue528gaVyY_s3504,basketball,BEFORE,GONE,18:01:21Z,58190830,/workspace/data/footage_corpus/basketball__euroleague-8ue528gaVyY_s3504.mp4,vol_guard.py,probe2000_failed
