section_id,set,declared_ticks,producer_evaluated_ticks,schedule_reason,m1_observed_ticks_in_declared,m1_zero_ticks_over_declared,m1_zero_share_over_declared,m1_observed_ticks_in_producer_evaluated,m1_zero_ticks_over_producer_evaluated,m1_zero_share_over_producer_evaluated
1zPhldjbJnU_s1196,SEALED34,1301,1000,,31,1270,0.976172,31,969,0.969000
1zPhldjbJnU_s3408,SEALED34,1301,1000,,540,761,0.584935,540,460,0.460000
1zPhldjbJnU_s5620,SEALED34,1301,1000,,62,1239,0.952344,62,938,0.938000
3fT6aYz2N9w_s1339,SEALED34,1299,1000,,500,799,0.615089,500,500,0.500000
3fT6aYz2N9w_s5086,SEALED34,1299,1000,,357,942,0.725173,357,643,0.643000
50pp-OqYVok_s2750,SEALED34,1301,1000,,800,501,0.385088,800,200,0.200000
50pp-OqYVok_s5410,SEALED34,1301,1000,,718,583,0.448117,718,282,0.282000
7Ci3zQ5Vm4M_s2312,SEALED34,1301,1000,,707,594,0.456572,707,293,0.293000
UPco-jzOoEg_s2796,SEALED34,1301,500,,158,1143,0.878555,158,342,0.684000
acb-8Oh7-GrvKvE_s2630,SEALED34,1301,500,,468,833,0.640277,468,32,0.064000
acb-8Oh7-GrvKvE_s6440,SEALED34,1301,500,,453,848,0.651806,453,47,0.094000
eurocup-Y6POC6V1Y5E_s1221,SEALED34,1301,1000,,783,518,0.398155,783,217,0.217000
eurocup-Y6POC6V1Y5E_s3483,SEALED34,1301,1000,,500,801,0.615680,500,500,0.500000
eurocup-Y6POC6V1Y5E_s5745,SEALED34,1301,1000,,367,934,0.717909,367,633,0.633000
euroleague-AIPW_g_VZN0_s1153,SEALED34,1626,434,,171,1455,0.894834,347,87,0.200461
euroleague-AIPW_g_VZN0_s3279,SEALED34,1626,904,,98,1528,0.939729,187,717,0.793142
euroleague-AIPW_g_VZN0_s5405,SEALED34,1626,1000,,300,1326,0.815498,597,403,0.403000
fiba-1DKl1QOo_b8_s1289,SEALED34,1626,881,,236,1390,0.854859,485,396,0.449489
fiba-1DKl1QOo_b8_s4886,SEALED34,1626,904,,108,1518,0.933579,219,685,0.757743
fiba-UG_eQNRDHiI_s1385,SEALED34,1301,1000,,535,766,0.588778,535,465,0.465000
fiba-UG_eQNRDHiI_s3975,SEALED34,1301,1000,,886,415,0.318985,886,114,0.114000
fiba-UG_eQNRDHiI_s90,SEALED34,1301,1000,,912,389,0.299001,912,88,0.088000
fiba-jFUMvm_epUE_s6740,SEALED34,1301,453,,346,955,0.734051,346,107,0.236203
lnb-1CBY-LXG8VA_s6525,SEALED34,1301,1000,,640,661,0.508071,640,360,0.360000
lnb-ouDVA0vM20g_s1379,SEALED34,1301,1000,,31,1270,0.976172,31,969,0.969000
nbl-kRQtUZmPm0E_s363,SEALED34,1301,600,,458,843,0.647963,458,142,0.236667
nbl-kRQtUZmPm0E_s90,SEALED34,1301,600,,30,1271,0.976941,30,570,0.950000
ncaaw-lFZWLVzvCEs_s2232,SEALED34,1299,1000,,506,793,0.610470,506,494,0.494000
ncaaw-lFZWLVzvCEs_s4374,SEALED34,1300,1000,,265,1035,0.796154,265,735,0.735000
ncaaw-lFZWLVzvCEs_s90,SEALED34,1299,1000,,649,650,0.500385,649,351,0.351000
tDpmV777-IQ_s5262,SEALED34,1299,500,,394,905,0.696690,394,106,0.212000
wHs1OssEcAw_s1183,SEALED34,1299,500,,466,833,0.641263,466,34,0.068000
wHs1OssEcAw_s3369,SEALED34,1299,500,,27,1272,0.979215,27,473,0.946000
wHs1OssEcAw_s5555,SEALED34,1299,500,,182,1117,0.859892,182,318,0.636000
0KIBu1jQBL8_s1205,FRESH69,1299,269,,192,1107,0.852194,192,77,0.286245
0KIBu1jQBL8_s2320,FRESH69,1299,224,,30,1269,0.976905,30,194,0.866071
0KIBu1jQBL8_s3435,FRESH69,1299,804,,41,1258,0.968437,41,763,0.949005
0KIBu1jQBL8_s4550,FRESH69,1299,524,,429,870,0.669746,429,95,0.181298
0KIBu1jQBL8_s5665,FRESH69,1299,1000,,843,456,0.351039,843,157,0.157000
0KIBu1jQBL8_s90,FRESH69,1299,614,,45,1254,0.965358,45,569,0.926710
1E5Rw89keTg_s312,FRESH69,1299,1000,,30,1269,0.976905,30,970,0.970000
1E5Rw89keTg_s534,FRESH69,1300,1000,,122,1178,0.906154,122,878,0.878000
1E5Rw89keTg_s90,FRESH69,1299,1000,,346,953,0.733641,346,654,0.654000
6FlZaoWSfFw_s337,FRESH69,1300,1000,,483,817,0.628462,483,517,0.517000
6FlZaoWSfFw_s584,FRESH69,1299,824,,399,900,0.692841,399,425,0.515777
6FlZaoWSfFw_s90,FRESH69,1299,1000,,30,1269,0.976905,30,970,0.970000
9F5q5jCbrMI_s1270,FRESH69,1299,500,,454,845,0.650500,454,46,0.092000
9F5q5jCbrMI_s2450,FRESH69,1299,500,,159,1140,0.877598,159,341,0.682000
9F5q5jCbrMI_s3630,FRESH69,1299,500,,115,1184,0.911470,115,385,0.770000
9F5q5jCbrMI_s4810,FRESH69,1299,500,,381,918,0.706697,381,119,0.238000
9F5q5jCbrMI_s90,FRESH69,1291,500,,374,917,0.710302,374,126,0.252000
EqseleqhpTk_s1395,FRESH69,1299,1000,,541,758,0.583526,541,459,0.459000
EqseleqhpTk_s2700,FRESH69,1299,1000,,75,1224,0.942263,75,925,0.925000
EqseleqhpTk_s4005,FRESH69,1300,1000,,954,346,0.266154,954,46,0.046000
EqseleqhpTk_s5310,FRESH69,1299,939,,28,1271,0.978445,28,911,0.970181
EqseleqhpTk_s90,FRESH69,1299,1000,,742,557,0.428791,742,258,0.258000
G8bPOW37Sp0_s320,FRESH69,1299,1000,,314,985,0.758276,314,686,0.686000
G8bPOW37Sp0_s550,FRESH69,1299,1000,,250,1049,0.807544,250,750,0.750000
