section_id,set,declared_ticks,raw_observed_ticks,m1_observed_ticks,raw_zero_observation_ticks,m1_zero_observation_ticks,decoded_frames,ledger_evaluated_frames,non_integral_decoded_over_evaluated
1zPhldjbJnU_s1196,SEALED34,1301,995,31,306,1270,3901,1301,1
1zPhldjbJnU_s3408,SEALED34,1301,996,540,305,761,3901,1301,1
1zPhldjbJnU_s5620,SEALED34,1301,1000,62,301,1239,3901,1301,1
3fT6aYz2N9w_s1339,SEALED34,1299,980,500,319,799,3897,1299,0
3fT6aYz2N9w_s5086,SEALED34,1299,481,357,818,942,3897,1299,0
50pp-OqYVok_s2750,SEALED34,1301,999,800,302,501,3901,1301,1
50pp-OqYVok_s5410,SEALED34,1301,991,718,310,583,3901,1301,1
7Ci3zQ5Vm4M_s2312,SEALED34,1301,965,707,336,594,3901,1301,1
UPco-jzOoEg_s2796,SEALED34,1301,445,158,856,1143,7801,1301,1
acb-8Oh7-GrvKvE_s2630,SEALED34,1301,470,468,831,833,7801,1301,1
acb-8Oh7-GrvKvE_s6440,SEALED34,1301,470,453,831,848,7801,1301,1
eurocup-Y6POC6V1Y5E_s1221,SEALED34,1301,963,783,338,518,3901,1301,1
eurocup-Y6POC6V1Y5E_s3483,SEALED34,1301,892,500,409,801,3901,1301,1
eurocup-Y6POC6V1Y5E_s5745,SEALED34,1301,1000,367,301,934,3901,1301,1
euroleague-AIPW_g_VZN0_s1153,SEALED34,1626,216,171,1410,1455,3251,1626,1
euroleague-AIPW_g_VZN0_s3279,SEALED34,1626,443,98,1183,1528,3251,1626,1
euroleague-AIPW_g_VZN0_s5405,SEALED34,1626,486,300,1140,1326,3251,1626,1
fiba-1DKl1QOo_b8_s1289,SEALED34,1626,303,236,1323,1390,3251,1626,1
fiba-1DKl1QOo_b8_s4886,SEALED34,1626,451,108,1175,1518,3251,1626,1
fiba-UG_eQNRDHiI_s1385,SEALED34,1301,994,535,307,766,3901,1301,1
fiba-UG_eQNRDHiI_s3975,SEALED34,1301,967,886,334,415,3901,1301,1
fiba-UG_eQNRDHiI_s90,SEALED34,1301,970,912,331,389,3901,1301,1
fiba-jFUMvm_epUE_s6740,SEALED34,1301,422,346,879,955,3901,1301,1
lnb-1CBY-LXG8VA_s6525,SEALED34,1301,990,640,311,661,3901,1301,1
lnb-ouDVA0vM20g_s1379,SEALED34,1301,1000,31,301,1270,3901,1301,1
nbl-kRQtUZmPm0E_s363,SEALED34,1301,530,458,771,843,6501,1301,1
nbl-kRQtUZmPm0E_s90,SEALED34,1301,600,30,701,1271,6501,1301,1
ncaaw-lFZWLVzvCEs_s2232,SEALED34,1299,990,506,309,793,3897,1299,0
ncaaw-lFZWLVzvCEs_s4374,SEALED34,1300,936,265,364,1035,3898,1300,1
ncaaw-lFZWLVzvCEs_s90,SEALED34,1299,1000,649,299,650,3897,1299,0
tDpmV777-IQ_s5262,SEALED34,1299,446,394,853,905,7793,1299,1
wHs1OssEcAw_s1183,SEALED34,1299,494,466,805,833,7793,1299,1
wHs1OssEcAw_s3369,SEALED34,1299,500,27,799,1272,7793,1299,1
wHs1OssEcAw_s5555,SEALED34,1299,392,182,907,1117,7793,1299,1
0KIBu1jQBL8_s1205,FRESH69,1299,269,192,1030,1107,3897,1299,0
0KIBu1jQBL8_s2320,FRESH69,1299,224,30,1075,1269,3897,1299,0
0KIBu1jQBL8_s3435,FRESH69,1299,798,41,501,1258,3897,1299,0
0KIBu1jQBL8_s4550,FRESH69,1299,499,429,800,870,3897,1299,0
0KIBu1jQBL8_s5665,FRESH69,1299,963,843,336,456,3897,1299,0
0KIBu1jQBL8_s90,FRESH69,1299,231,45,1068,1254,3897,1299,0
1E5Rw89keTg_s312,FRESH69,1299,1000,30,299,1269,3897,1299,0
1E5Rw89keTg_s534,FRESH69,1300,989,122,311,1178,3898,1300,1
1E5Rw89keTg_s90,FRESH69,1299,1000,346,299,953,3897,1299,0
6FlZaoWSfFw_s337,FRESH69,1300,1000,483,300,817,3898,1300,1
6FlZaoWSfFw_s584,FRESH69,1299,800,399,499,900,3897,1299,0
6FlZaoWSfFw_s90,FRESH69,1299,995,30,304,1269,3897,1299,0
9F5q5jCbrMI_s1270,FRESH69,1299,470,454,829,845,7794,1299,0
9F5q5jCbrMI_s2450,FRESH69,1299,437,159,862,1140,7793,1299,1
9F5q5jCbrMI_s3630,FRESH69,1299,500,115,799,1184,7793,1299,1
9F5q5jCbrMI_s4810,FRESH69,1299,500,381,799,918,7793,1299,1
9F5q5jCbrMI_s90,FRESH69,1291,500,374,791,917,7742,1291,1
EqseleqhpTk_s1395,FRESH69,1299,999,541,300,758,3897,1299,0
EqseleqhpTk_s2700,FRESH69,1299,961,75,338,1224,3897,1299,0
EqseleqhpTk_s4005,FRESH69,1300,968,954,332,346,3898,1300,1
EqseleqhpTk_s5310,FRESH69,1299,914,28,385,1271,3897,1299,0
EqseleqhpTk_s90,FRESH69,1299,995,742,304,557,3897,1299,0
G8bPOW37Sp0_s320,FRESH69,1299,1000,314,299,985,3897,1299,0
G8bPOW37Sp0_s550,FRESH69,1299,1000,250,299,1049,3897,1299,0
G8bPOW37Sp0_s90,FRESH69,1299,941,557,358,742,3897,1299,0
GNjSxoeDT-E_s1167,FRESH69,1299,1000,566,299,733,3897,1299,0
GNjSxoeDT-E_s2244,FRESH69,1299,988,504,311,795,3897,1299,0
GNjSxoeDT-E_s3321,FRESH69,1299,736,167,563,1132,3897,1299,0
GNjSxoeDT-E_s4398,FRESH69,1299,1000,16,299,1283,3897,1299,0
GNjSxoeDT-E_s5475,FRESH69,1300,1000,92,300,1208,3898,1300,1
GNjSxoeDT-E_s90,FRESH69,1299,655,110,644,1189,3897,1299,0
HUSo3PzP7lo_s246,FRESH69,1299,499,60,800,1239,7793,1299,1
HUSo3PzP7lo_s402,FRESH69,1299,418,173,881,1126,7794,1299,0
HUSo3PzP7lo_s90,FRESH69,1299,493,436,806,863,7793,1299,1
N-eE7ZwTuno_s1308,FRESH69,1299,1000,757,299,542,3897,1299,0
N-eE7ZwTuno_s2526,FRESH69,1299,962,674,337,625,3897,1299,0
N-eE7ZwTuno_s3744,FRESH69,1299,988,834,311,465,3897,1299,0
N-eE7ZwTuno_s4962,FRESH69,1299,1000,601,299,698,3897,1299,0
N-eE7ZwTuno_s90,FRESH69,1299,989,25,310,1274,3897,1299,0
RIrGQJ_jsGQ_s1410,FRESH69,1301,1000,717,301,584,3901,1301,1
RIrGQJ_jsGQ_s2730,FRESH69,1301,778,373,523,928,3901,1301,1
RIrGQJ_jsGQ_s4050,FRESH69,1301,1000,292,301,1009,3901,1301,1
RIrGQJ_jsGQ_s5370,FRESH69,1301,999,923,302,378,3901,1301,1
RIrGQJ_jsGQ_s90,FRESH69,1301,532,283,769,1018,3901,1301,1
XCaGht2GmPg_s1416,FRESH69,1299,493,78,806,1221,7793,1299,1
XCaGht2GmPg_s2742,FRESH69,1299,500,453,799,846,7793,1299,1
XCaGht2GmPg_s4068,FRESH69,1299,495,37,804,1262,7793,1299,1
XCaGht2GmPg_s5394,FRESH69,1299,499,23,800,1276,7793,1299,1
XCaGht2GmPg_s90,FRESH69,1299,497,49,802,1250,7793,1299,1
XzIzQZBrPBY_s244,FRESH69,1299,498,28,801,1271,7793,1299,1
XzIzQZBrPBY_s398,FRESH69,1299,493,215,806,1084,7793,1299,1
XzIzQZBrPBY_s90,FRESH69,1299,499,427,800,872,7793,1299,1
eaKqXq9dfig_s259,FRESH69,1301,500,34,801,1267,7801,1301,1
eaKqXq9dfig_s428,FRESH69,1301,495,146,806,1155,7801,1301,1
eaKqXq9dfig_s90,FRESH69,1301,496,176,805,1125,7801,1301,1
fXLNra4sjjU_s5830,FRESH69,1299,949,16,350,1283,3897,1299,0
fXLNra4sjjU_s90,FRESH69,1299,999,30,300,1269,3897,1299,0
h6j_iLYRx8U_s1424,FRESH69,1299,500,108,799,1191,7793,1299,1
h6j_iLYRx8U_s2758,FRESH69,1299,500,254,799,1045,7793,1299,1
h6j_iLYRx8U_s4092,FRESH69,1299,500,106,799,1193,7793,1299,1
h6j_iLYRx8U_s5426,FRESH69,1299,500,20,799,1279,7793,1299,1
h6j_iLYRx8U_s6760,FRESH69,1299,494,162,805,1137,7794,1299,0
h6j_iLYRx8U_s90,FRESH69,1299,499,24,800,1275,7793,1299,1
wJSOHbeQcg4_s1180,FRESH69,1301,1000,746,301,555,3901,1301,1
wJSOHbeQcg4_s2270,FRESH69,1301,999,604,302,697,3901,1301,1
wJSOHbeQcg4_s3360,FRESH69,1301,983,465,318,836,3901,1301,1
wJSOHbeQcg4_s4450,FRESH69,1301,921,681,380,620,3901,1301,1
wJSOHbeQcg4_s5540,FRESH69,1301,1000,49,301,1252,3901,1301,1
wJSOHbeQcg4_s90,FRESH69,1301,977,653,324,648,3901,1301,1
