G376 strip 9 of 10 -- declared ticks 108392..108471 of 135497
O observed  D scheduled_no_detection (evaluated, no track row)  N not_scheduled (declaration over-counts)  U unknown

XCaGht2GmPg_s90          FRESH69   frame=1152     O 
XCaGht2GmPg_s90          FRESH69   frame=1158     O 
XCaGht2GmPg_s90          FRESH69   frame=1164     O 
XCaGht2GmPg_s90          FRESH69   frame=1170     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1176     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1182     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1188     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1194     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1200     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1206     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1212     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1218     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1224     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1230     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1236     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1242     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1248     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1254     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1260     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1266     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1272     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1278     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1284     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1290     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1296     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1302     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1308     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1314     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1320     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1326     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1332     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1338     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1344     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1350     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1356     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1362     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1368     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1374     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1380     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1386     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1392     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1398     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1404     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1410     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1416     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1422     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1428     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1434     N GATED_OR_UNREACHED
XCaGht2GmPg_s90          FRESH69   frame=1440     O 
XCaGht2GmPg_s90          FRESH69   frame=1446     O 
XCaGht2GmPg_s90          FRESH69   frame=1452     O 
XCaGht2GmPg_s90          FRESH69   frame=1458     O 
XCaGht2GmPg_s90          FRESH69   frame=1464     O 
XCaGht2GmPg_s90          FRESH69   frame=1470     O 
XCaGht2GmPg_s90          FRESH69   frame=1476     O 
XCaGht2GmPg_s90          FRESH69   frame=1482     O 
XCaGht2GmPg_s90          FRESH69   frame=1488     O 
XCaGht2GmPg_s90          FRESH69   frame=1494     O 
XCaGht2GmPg_s90          FRESH69   frame=1500     O 
XCaGht2GmPg_s90          FRESH69   frame=1506     O 
XCaGht2GmPg_s90          FRESH69   frame=1512     O 
XCaGht2GmPg_s90          FRESH69   frame=1518     O 
XCaGht2GmPg_s90          FRESH69   frame=1524     O 
XCaGht2GmPg_s90          FRESH69   frame=1530     O 
XCaGht2GmPg_s90          FRESH69   frame=1536     O 
XCaGht2GmPg_s90          FRESH69   frame=1542     O 
XCaGht2GmPg_s90          FRESH69   frame=1548     O 
XCaGht2GmPg_s90          FRESH69   frame=1554     O 
XCaGht2GmPg_s90          FRESH69   frame=1560     O 
XCaGht2GmPg_s90          FRESH69   frame=1566     O 
XCaGht2GmPg_s90          FRESH69   frame=1572     O 
XCaGht2GmPg_s90          FRESH69   frame=1578     O 
XCaGht2GmPg_s90          FRESH69   frame=1584     O 
XCaGht2GmPg_s90          FRESH69   frame=1590     O 
XCaGht2GmPg_s90          FRESH69   frame=1596     O 
XCaGht2GmPg_s90          FRESH69   frame=1602     O 
XCaGht2GmPg_s90          FRESH69   frame=1608     O 
XCaGht2GmPg_s90          FRESH69   frame=1614     O 
XCaGht2GmPg_s90          FRESH69   frame=1620     O 
XCaGht2GmPg_s90          FRESH69   frame=1626     O 
