control,frame_key,base_call,control_call,expected,pass
mirror,001686a89f2fb8a4952e8fdab05801c01db247a3b3d6634ad29d4937fe8d9078,RIGHT,LEFT,LEFT,1
mirror,04e37a9e746c41cd593ff060c6d541d2b48d0f0cd3af557983b34f96fbaca051,LEFT,UNKNOWN,RIGHT,0
mirror,14aa7ae51e2384a2f1738bebd642eaa7694a89160c70feb3c6d6fef5402d6cd8,LEFT,UNKNOWN,RIGHT,0
mirror,16cce332512146f46c036847189e73b2d7031ed5d8a4c135cc0f7b41605e6863,LEFT,LEFT,RIGHT,0
mirror,1e5d0b65c981b79a0a4a1df7041d32f2237ca2c83e9de8b0211a010f850078e9,LEFT,RIGHT,RIGHT,1
mirror,25e9d51f70607451fa68ec0a6c8d6bb94aa35455572f23a86a16c0bbc91d755a,RIGHT,UNKNOWN,LEFT,0
mirror,2eecc05c7b90ab756f885764efe0188e7bf50abbc27857ccb2e141b0863d758b,RIGHT,UNKNOWN,LEFT,0
mirror,34ebe101198d0b4bfa1b73e180aa073ea2484d1fde2a4b01967b9c44c302baad,LEFT,UNKNOWN,RIGHT,0
mirror,3e11ba54e690cfa55867020b38e341eb566aa7979ce49c1f5a357a2e05cb1cc8,LEFT,RIGHT,RIGHT,1
mirror,48507334822e40e38a852e32b24413453ff9000eaa8eab2854d75c453878f99b,LEFT,LEFT,RIGHT,0
mirror,4d734a16a3dfaf135ac444726bdf1b9d9af0541c69928e7a69cefbde37f6e325,LEFT,LEFT,RIGHT,0
mirror,59d1eff9c68fcb2bb7432c9a5e1b69e944e72429dbc9c2b560e70770189c1495,RIGHT,LEFT,LEFT,1
mirror,616b80f598b9a6438d4fe92ecdac609677bd42460c224e9eee8ff050b90ae22c,RIGHT,LEFT,LEFT,1
mirror,6c7b7ca80d8adbd9cbd912b4d33c1f0644646a44941f8d13d73f01405d6aa84d,LEFT,UNKNOWN,RIGHT,0
mirror,75088cd7a41eb1e7f345b89d1edc6636e0f746e25ae917ab028223ab35958e92,LEFT,RIGHT,RIGHT,1
mirror,7eeef3ecdf4b0825f61efb3cad01712b14084759cfab4f1df44b504763999ab4,LEFT,RIGHT,RIGHT,1
mirror,84d7de5415057fb62a90c5bd620d22bdf1881010de9ec8ebb408d85d3e1dc4b3,RIGHT,LEFT,LEFT,1
mirror,8df0606b9a957bd2594b9b8a682baaaf221eca8654f8ce46b78d517d09eb0c22,LEFT,UNKNOWN,RIGHT,0
mirror,95958b5b48623d5f0b87a60081ec47184d32ab9873719adf956c76a9d7cff2a4,LEFT,UNKNOWN,RIGHT,0
mirror,a2a161504b002770d1736cd92312a988a985b439b18669b5f75bbf597c9fa062,RIGHT,UNKNOWN,LEFT,0
mirror,a70631723d2a47228a3e604e5a1d153cafc60b0d9cab328e1853fb75c6b698fd,LEFT,RIGHT,RIGHT,1
mirror,afcec191a39c542439350f0cad318f941733079370a132c9b480dcf80d9f596c,RIGHT,RIGHT,LEFT,0
mirror,b5b9c30377022119cc9a6dfba43b21698efa7bc6f258fc07e222842afe7b8ea6,LEFT,UNKNOWN,RIGHT,0
mirror,bd60eb9e27a34114c1d31787c09130d3dee767a7a13e7bfef8acf923ee149193,LEFT,UNKNOWN,RIGHT,0
mirror,ca589d2e7eef98cd5138da3fc7ae06f6fe9f2975cbafb5a42ad82a2207988951,LEFT,RIGHT,RIGHT,1
mirror,d038aa6b8c1e89f66a4053bd9ce875525e51a5c4f24953b5100765ae7d48d3f7,RIGHT,LEFT,LEFT,1
mirror,d88f0affac71372e86110fa83b9de888f9e68afb53985333f8581000521f92ce,RIGHT,RIGHT,LEFT,0
mirror,e588055643c700f408b0da28b8fbe0a8110a3bc9be878114806c22a2d1a6dc4f,RIGHT,RIGHT,LEFT,0
mirror,e92208fedd6a91c94e83f17f1f8ccce784a00ed6c563363f05b95115ccc3da9d,RIGHT,LEFT,LEFT,1
mirror,f4900605161c19320e50c6b9a56b7a9bba83fe42033a4f81ffb5390d678875e6,RIGHT,UNKNOWN,LEFT,0
masked,001686a89f2fb8a4952e8fdab05801c01db247a3b3d6634ad29d4937fe8d9078,RIGHT,UNKNOWN,UNKNOWN,1
masked,052eb218af79f8b87a777ffb5a8c68aeeb12fde6383bee741b9abb0ee8acbc12,UNKNOWN,UNKNOWN,UNKNOWN,1
