frame_key,section,game,cache,call,reference,terra,sol,adjudicator,left_mass,right_mass,outcome
001686a89f2fb8a4952e8fdab05801c01db247a3b3d6634ad29d4937fe8d9078,wnba__G8bPOW37Sp0_s615,wnba__G8bPOW37Sp0,001686a89f2fb8a4.jpg,RIGHT,right,right,right,,0,37565.1458,correct
00ea70e69d95e26a18bc1c6056bba5110df63be8fb02d561f8382f26f40fe35a,nba__XCaGht2GmPg_s2807,nba__XCaGht2GmPg,00ea70e69d95e26a.jpg,UNKNOWN,right,right,right,,0,1255.1047,cue_unknown
012a4e7785ee32f2709914b32fd78968ba1f4201a836e7b9aa290fe1aeba86d3,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,012a4e7785ee32f2.jpg,LEFT,left,left,left,,77893.6438,5858.8481,correct
01af5ad09e19d7a5a7b702aa7d7341aa450a39ab09bc2daa4ae7d11d7d1b4d3f,basketball__fiba-7HQqWMaKxpA_s155,basketball__fiba-7HQqWMaKxpA,01af5ad09e19d7a5.jpg,LEFT,unknown,unknown,unknown,,2476.9295,1308.3991,reference_unknown
02465137629eeaf5667e8e67fe3ece844b2d1883f4b4336ad06fe127ab625501,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,02465137629eeaf5.jpg,UNKNOWN,left,left,left,,0,457.1206,cue_unknown
0320690f7d8283214ef00539514a5c5ef6c5d74d52947b013ec37179b50eeff9,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,0320690f7d828321.jpg,RIGHT,unknown,unknown,unknown,,5643.2228,23715.5967,reference_unknown
04584c23695ee64a81a0d7716d47b0688c58edfcaf168278f5c2f1fa3fc09962,basketball__fiba-Y1cgaIWW8gk_s5543,basketball__fiba-Y1cgaIWW8gk,04584c23695ee64a.jpg,LEFT,unknown,unknown,unknown,,73233.8445,9365.1722,reference_unknown
04e37a9e746c41cd593ff060c6d541d2b48d0f0cd3af557983b34f96fbaca051,wnba__G8bPOW37Sp0_s615,wnba__G8bPOW37Sp0,04e37a9e746c41cd.jpg,LEFT,unknown,unknown,unknown,,3050.2381,0,reference_unknown
052eb218af79f8b87a777ffb5a8c68aeeb12fde6383bee741b9abb0ee8acbc12,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,052eb218af79f8b8.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
071757b6a96dbaf656bfd523106317691e5aa34babcadc823d5d5990b45e3a32,basketball__fiba-7HQqWMaKxpA_s155,basketball__fiba-7HQqWMaKxpA,071757b6a96dbaf6.jpg,LEFT,unknown,unknown,unknown,,11032.3883,0,reference_unknown
09c38052a38ba4c22ee4ff15beb1880368f7ff86a8389de38e073cc8440bc92e,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,09c38052a38ba4c2.jpg,LEFT,right,right,right,,29279.6206,4192.0896,wrong
0bf4eaa6d7e9526844b9a77473e45e9e8cdc90739bf47ed8549a06f4b82a5f60,ncaa_basketball__UzaYBYy3GZg_s5307,ncaa_basketball__UzaYBYy3GZg,0bf4eaa6d7e95268.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
104f4ee059ed6d0902f3bba181ef1dc7bff9cbb11682cde2a8c95e8bc7ea016f,basketball__fiba-Byk8aH-n_U4_s1491,basketball__fiba-Byk8aH-n_U4,104f4ee059ed6d09.jpg,LEFT,left,left,left,,11260.3239,0,correct
1095f6d860152d9e4c3c72062038cf876dea1fe60b657242408cf9e39573d5a1,basketball__fiba-fyp4VsE-8Fc_s6835,basketball__fiba-fyp4VsE-8Fc,1095f6d860152d9e.jpg,UNKNOWN,left,unknown,left,left,0.0,0.0,cue_unknown
10ce925864813cf0a2473d6f71d11da2bf668cbbc3e454d928265c38d7c5ac80,basketball__fiba-fyp4VsE-8Fc_s6835,basketball__fiba-fyp4VsE-8Fc,10ce925864813cf0.jpg,LEFT,unknown,unknown,unknown,,246068.9965,12084.9019,reference_unknown
14aa7ae51e2384a2f1738bebd642eaa7694a89160c70feb3c6d6fef5402d6cd8,basketball__fiba-7HQqWMaKxpA_s155,basketball__fiba-7HQqWMaKxpA,14aa7ae51e2384a2.jpg,LEFT,unknown,unknown,unknown,,11129.2274,0,reference_unknown
1537e8bb24eceaba05263206970d4f7ab76fa5acabefb1f41d8beacec0d86e9d,basketball__fiba-Byk8aH-n_U4_s1491,basketball__fiba-Byk8aH-n_U4,1537e8bb24eceaba.jpg,RIGHT,left,left,left,,11405.1078,19398.362,wrong
1554f521544738a6d8f67d743124fba79b589b56a37a3c1e1472764f381dfe77,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,1554f521544738a6.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
158a9a85dcccfe1e18d32bc471b76c22d115c67e1a43e595d940ebbb4f221df9,basketball__fiba-Y1cgaIWW8gk_s1502,basketball__fiba-Y1cgaIWW8gk,158a9a85dcccfe1e.jpg,LEFT,left,left,left,,3486.0289,0,correct
15cbc575ec3979a666394234cc73356d197f8204a59f338718218e64ceaf8491,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,15cbc575ec3979a6.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
160378724ff2cc0c3dc68bb73e8abf26c49812a551addd9398d49dec9db35f1b,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,160378724ff2cc0c.jpg,LEFT,left,left,right,left,35574.6046,5055.6635,correct
161c52f39d6aa1dac90e0047c29bfa1b75f37fbbd7ce81d334a0c12fa15f7492,nba__RIrGQJ_jsGQ_s155,nba__RIrGQJ_jsGQ,161c52f39d6aa1da.jpg,RIGHT,left,unknown,right,left,33082.5292,66528.1787,wrong
16cce332512146f46c036847189e73b2d7031ed5d8a4c135cc0f7b41605e6863,ncaa_basketball__QXFM3hlaDAk_s2725,ncaa_basketball__QXFM3hlaDAk,16cce332512146f4.jpg,LEFT,unknown,unknown,right,unknown,8849.8705,5979.1687,reference_unknown
170fe90b384a166835404285ac21663c69e3f5ad47aaea91756f084fd39ed8ba,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,170fe90b384a1668.jpg,RIGHT,right,right,right,,0,57121.8881,correct
1737315d33257a0739ced8deaf82ba4660a02117bc983ef65452ef25a7597a51,nba__XCaGht2GmPg_s2807,nba__XCaGht2GmPg,1737315d33257a07.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
17c2710a9c3d345e871a1c00b334e162850ccb20f803748566887f3f1757a795,basketball__fiba-Y1cgaIWW8gk_s5543,basketball__fiba-Y1cgaIWW8gk,17c2710a9c3d345e.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
18808d033a73c82c364258c38caf637e7ff2fdbd1324ee19c62899bef862534b,ncaa_basketball__wJSOHbeQcg4_s4515,ncaa_basketball__wJSOHbeQcg4,18808d033a73c82c.jpg,LEFT,right,right,right,,6683.4743,0,wrong
191f559438ac77a0b8908c28d377fc3a8ac0e1ae5b74f99db740d6138ed5c065,basketball__fiba-fyp4VsE-8Fc_s6835,basketball__fiba-fyp4VsE-8Fc,191f559438ac77a0.jpg,LEFT,unknown,unknown,unknown,,247799.6331,0,reference_unknown
19745f79209dede084edf0274553502df9cbc9bcffd83a23ee9ebcf9412cfa86,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,19745f79209dede0.jpg,RIGHT,left,left,left,,3727.8271,7370.4016,wrong
