frame_key,section_id,game_id,reference_label,reference_source,is_negative,presence_prediction,selection_status,validation_status,raw_state,cascade_accepted
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:1131,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:1320,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:1508,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:1697,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:188,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:1885,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:2074,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:2262,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:2451,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:2640,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:2828,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:3017,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:3205,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_MARGIN,REFUSED,REFUSED,0
0bb70000aaabbfd72a3508c399577d4281737022d9dcc42809f6ef178a9b2b46:nba__RIrGQJ_jsGQ_s6690:3394,nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,CROWD_GRAPHICS,agreed,1,NON_COURT,REFUSED_VALIDATION,REFUSED,REFUSED,0
