frame_key,section_id,game_id,frame_index,source_sha256,raw_state,raw_reason,raw_forward_median_px,raw_inverse_median_px,presence_prediction,selection_status,orientation_status,selection_margin,winner_objective_j,runner_up_objective_j,validation_status,forward_median_px,inverse_median_px,n_strokes,n_fit_strokes,n_val_strokes,n_val_families,n_val_points,n_template_inframe,n_template_penalty,candidate_hypotheses_count,deduplicated_symmetry_images_count,seconds
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:188,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,188,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,45.028975,64.0,NON_COURT,REFUSED_VALIDATION,UNKNOWN,0.160069758,0.303036752,0.254529733,REFUSED,45.299324,64.0,103,73,30,12,963,398,0,109508,4,61.858
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:376,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,376,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,30.071954,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.073962656,0.452130687,0.4186899,REFUSED,30.043857,64.0,165,119,46,12,1456,398,0,60860,100,43.726
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:564,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,564,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,31.142808,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.040618045,0.391775467,0.375862313,REFUSED,31.026954,64.0,145,104,41,12,1217,381,17,114564,279,59.835
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:752,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,752,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,17.6043,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.020881146,0.109870144,0.107575929,REFUSED,52.939339,64.0,50,33,17,11,650,228,170,115040,296,61.643
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:940,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,940,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,28.109299,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.02732981,0.577075977,0.5613046,REFUSED,21.297899,64.0,67,45,22,10,1454,398,0,105144,25044,47.576
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1128,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,1128,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,31.514999,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.027768199,0.564110607,0.548446272,REFUSED,31.514999,64.0,69,47,22,9,1401,398,0,112072,15967,48.093
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1316,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,1316,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,39.362164,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.072132019,0.527933054,0.489852177,REFUSED,29.864802,64.0,62,43,19,8,1247,398,0,98268,13425,38.305
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1504,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,1504,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,63.128323,64.0,NON_COURT,REFUSED_VALIDATION,UNKNOWN,0.723765614,0.415968545,0.114904816,REFUSED,22.144052,64.0,56,37,19,10,877,332,66,114416,539,58.932
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1692,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,1692,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,36.595455,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.052438019,0.411778972,0.390186099,REFUSED,36.163607,64.0,152,111,41,12,2398,371,27,105204,44,54.81
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1880,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,1880,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,REFUSED,heldout_residual,24.2893,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.011282391,0.392368144,0.387941293,REFUSED,13.26115,45.938324,148,106,42,11,2098,398,0,103260,654,49.54
