game_id,receipt_present,receipt_ticks,trace_ticks,receipt_equals_trace,trace_subset_of_receipt,receipt_only_ticks,attempted_frames_capped,evaluated_frames,label_counts
Cm4PtLhM1pQ_s1149,True,1000,998,False,True,2,1000,998,"{""CLAMP"": 810, ""DETECTION"": 91, ""PREDICTION"": 952, ""SUBPIXEL"": 600}"
Cm4PtLhM1pQ_s2208,True,1000,NOT_TRACED,,,,1030,NOT_TRACED,"{""CLAMP"": 4755, ""DETECTION"": 61, ""PREDICTION"": 63, ""SUBPIXEL"": 20}"
Cm4PtLhM1pQ_s4326,True,1000,NOT_TRACED,,,,1060,NOT_TRACED,"{""CLAMP"": 4735, ""DETECTION"": 70, ""PREDICTION"": 50, ""SUBPIXEL"": 12}"
Cm4PtLhM1pQ_s5385,True,1000,NOT_TRACED,,,,1030,NOT_TRACED,"{""CLAMP"": 3999, ""DETECTION"": 400, ""PREDICTION"": 445, ""SUBPIXEL"": 45}"
v85ekWdm6-E_s1767,True,779,NOT_TRACED,,,,1299,NOT_TRACED,"{""CLAMP"": 2188, ""DETECTION"": 406, ""PREDICTION"": 812, ""SUBPIXEL"": 106}"
v85ekWdm6-E_s3444,True,1000,NOT_TRACED,,,,1060,NOT_TRACED,"{""CLAMP"": 1026, ""DETECTION"": 226, ""PREDICTION"": 398, ""SUBPIXEL"": 67}"
-Oa_BpdVT64_s1372,False,,NOT_TRACED,,,,,,
-Oa_BpdVT64_s2654,False,,NOT_TRACED,,,,,,
ryHe2XPFHqs_s1305,True,500,NOT_TRACED,,,,680,NOT_TRACED,"{""CLAMP"": 972, ""DETECTION"": 33, ""PREDICTION"": 152, ""SUBPIXEL"": 67}"
ryHe2XPFHqs_s4950,True,500,NOT_TRACED,,,,590,NOT_TRACED,"{""CLAMP"": 1241, ""DETECTION"": 126, ""PREDICTION"": 223, ""SUBPIXEL"": 100}"
Fu__lY_KbYU_s1352,True,1000,NOT_TRACED,,,,1000,NOT_TRACED,"{""CLAMP"": 3988, ""DETECTION"": 407, ""PREDICTION"": 371, ""SUBPIXEL"": 41}"
Fu__lY_KbYU_s90,True,1000,NOT_TRACED,,,,1000,NOT_TRACED,"{""CLAMP"": 2866, ""DETECTION"": 6, ""PREDICTION"": 13, ""SUBPIXEL"": 12}"
GtwFiAa1gXI_s3762,True,1000,NOT_TRACED,,,,1120,NOT_TRACED,"{""CLAMP"": 4228, ""DETECTION"": 19, ""PREDICTION"": 46, ""SUBPIXEL"": 63}"
o-0zMlCbY3o_s1481,True,1000,NOT_TRACED,,,,1030,NOT_TRACED,"{""CLAMP"": 3095, ""DETECTION"": 27, ""PREDICTION"": 127, ""SUBPIXEL"": 82}"
