frame_key,kind,identifier,in_terra,in_sol,iou,decision,final_area_px
9sq-YMlIo9Q_s2346:000040,PAINTED,BASELINE_LEFT,1,1,0.014411,AGREED,191
9sq-YMlIo9Q_s2346:000040,PAINTED,CENTRE_LINE,1,0,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,FREE_THROW_LINE_LEFT,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,LANE_LINE_LEFT_FAR,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,LANE_LINE_LEFT_NEAR,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,SIDELINE_FAR,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,REGION,STANDS,1,1,,AGREED,328320
9sq-YMlIo9Q_s2346:000040,REGION,LED,1,1,,AGREED,79356
9sq-YMlIo9Q_s2346:000040,REGION,SCORE_BUG,1,1,,AGREED,135594
9sq-YMlIo9Q_s2346:000040,REGION,OTHER,1,1,,AGREED,33548
9sq-YMlIo9Q_s2346:001042,PAINTED,LANE_LINE_RIGHT_NEAR,1,1,0.054525,AGREED,382
9sq-YMlIo9Q_s2346:001042,REGION,STANDS,1,1,,AGREED,922638
9sq-YMlIo9Q_s2346:001042,REGION,LED,1,1,,AGREED,21942
9sq-YMlIo9Q_s2346:001042,REGION,OTHER,1,1,,AGREED,0
9sq-YMlIo9Q_s2346:002003,REGION,LED,1,0,,ONE_RATER_ONLY,0
9sq-YMlIo9Q_s2346:002003,REGION,SCORE_BUG,1,1,,AGREED,135675
9sq-YMlIo9Q_s2346:002003,REGION,OTHER,1,1,,AGREED,1495680
9sq-YMlIo9Q_s2346:002964,PAINTED,CENTRE_LINE,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:002964,PAINTED,SIDELINE_FAR,0,1,0.000000,UNRESOLVED,0
