frame_key,kind,identifier,in_terra,in_sol,iou,decision,final_area_px
9sq-YMlIo9Q_s2346:000040,PAINTED,BASELINE_LEFT,1,1,0.014411,AGREED,13261
9sq-YMlIo9Q_s2346:000040,PAINTED,CENTRE_LINE,1,0,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,FREE_THROW_LINE_LEFT,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,LANE_LINE_LEFT_FAR,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,LANE_LINE_LEFT_NEAR,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,PAINTED,SIDELINE_FAR,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:000040,REGION,STANDS,1,1,,AGREED,407755
9sq-YMlIo9Q_s2346:000040,REGION,LED,1,1,,AGREED,169680
9sq-YMlIo9Q_s2346:000040,REGION,SCORE_BUG,1,1,,AGREED,139689
9sq-YMlIo9Q_s2346:000040,REGION,OTHER,1,1,,AGREED,360141
9sq-YMlIo9Q_s2346:001042,PAINTED,LANE_LINE_RIGHT_NEAR,1,1,0.054525,AGREED,7006
9sq-YMlIo9Q_s2346:001042,REGION,STANDS,1,1,,AGREED,1126115
9sq-YMlIo9Q_s2346:001042,REGION,LED,1,1,,AGREED,34582
9sq-YMlIo9Q_s2346:001042,REGION,OTHER,1,1,,AGREED,268870
9sq-YMlIo9Q_s2346:002003,REGION,LED,1,0,,ONE_RATER_ONLY,426240
9sq-YMlIo9Q_s2346:002003,REGION,SCORE_BUG,1,1,,AGREED,136323
9sq-YMlIo9Q_s2346:002003,REGION,OTHER,1,1,,AGREED,1511037
9sq-YMlIo9Q_s2346:002964,PAINTED,CENTRE_LINE,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:002964,PAINTED,SIDELINE_FAR,0,1,0.000000,UNRESOLVED,0
9sq-YMlIo9Q_s2346:002964,REGION,LED,0,1,,ONE_RATER_ONLY,609401
9sq-YMlIo9Q_s2346:002964,REGION,SCORE_BUG,1,1,,AGREED,137924
9sq-YMlIo9Q_s2346:002964,REGION,OTHER,1,1,,AGREED,1307235
GtwFiAa1gXI_s3762:000040,PAINTED,SIDELINE_FAR,0,1,0.000000,UNRESOLVED,0
GtwFiAa1gXI_s3762:000040,REGION,LED,1,1,,AGREED,860160
GtwFiAa1gXI_s3762:000040,REGION,SCORE_BUG,1,1,,AGREED,324696
GtwFiAa1gXI_s3762:000040,REGION,OTHER,1,1,,AGREED,869784
