frame_key,opaque_id,rater,kind,identifier,n_points,area_px,polygon
9sq-YMlIo9Q_s2346:000040,G382_001,terra,PAINTED,BASELINE_LEFT,4,6021,"[[0,805],[0,814],[546,365],[541,358]]"
9sq-YMlIo9Q_s2346:000040,G382_001,terra,PAINTED,CENTRE_LINE,4,2664,"[[1853,613],[1860,613],[1867,945],[1860,945]]"
9sq-YMlIo9Q_s2346:000040,G382_001,terra,REGION,STANDS,4,328320,"[[0,0],[1920,0],[1920,170],[0,170]]"
9sq-YMlIo9Q_s2346:000040,G382_001,terra,REGION,LED,4,118400,"[[1120,247],[1920,245],[1920,393],[1120,393]]"
9sq-YMlIo9Q_s2346:000040,G382_001,terra,REGION,OTHER,4,95216,"[[0,171],[540,171],[540,346],[0,346]]"
9sq-YMlIo9Q_s2346:000040,G382_001,terra,REGION,SCORE_BUG,4,139689,"[[119,946],[1801,946],[1801,1028],[119,1028]]"
9sq-YMlIo9Q_s2346:000040,G382_001,terra,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,PAINTED,BASELINE_LEFT,4,7424,"[[0,794],[465,354],[474,358],[0,811]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,PAINTED,SIDELINE_FAR,4,16560,"[[480,351],[1920,406],[1920,416],[480,362]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,PAINTED,LANE_LINE_LEFT_FAR,4,6580,"[[287,533],[940,543],[937,552],[283,542]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,PAINTED,LANE_LINE_LEFT_NEAR,4,2612,"[[450,646],[704,665],[700,674],[447,655]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,PAINTED,FREE_THROW_LINE_LEFT,4,1905,"[[950,548],[959,548],[1122,664],[1116,674]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,REGION,STANDS,8,407755,"[[0,0],[1920,0],[1920,250],[1120,250],[1120,170],[440,170],[440,205],[0,205]]"
