opaque_id,sheet,sheet_sha256,sheet_bytes,width,height,status
G382_001,G382_001.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,3565284,1920,1080,READY
G382_002,G382_002.png,c10d87b24dd2cd0823d1702a2d385bb1150bd013d0f79dc5797da025c0a2f72b,2619185,1920,1080,READY
G382_003,G382_003.png,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,2569362,1920,1080,READY
G382_004,G382_004.png,362b7052075945816625229c19c24ef3a9cece02fff2ba1413b897f8ad498b43,1941077,1920,1080,READY
G382_005,,,0,,,ABSENT
G382_006,G382_006.png,2805dae644c452bf976379f8ada8261d4701630b557ca0acd0db9e5c4c8c93bf,1067951,1920,1080,READY
G382_007,G382_007.png,2af7576a07b971e018acada551367e26165077406e1870e49c3134335c9ae591,2824586,1920,1080,READY
G382_008,G382_008.png,3c7f8c0946e2d2de7ba74b48898bb37c65bd990d470f6ce26e555735ea5e412b,2710546,1920,1080,READY
G382_009,G382_009.png,ddf223cd3466d086a0dccbb205cd0c7b76d5f89466bd83a005546d830b6e0571,2461011,1920,1080,READY
G382_010,,,0,,,ABSENT
G382_011,G382_011.png,4908d93642b7fe9954d1be586da99cb621f98a820fee37d50dad72081cf33db3,3540711,1920,1080,READY
G382_012,G382_012.png,16eafbba9801e1a120252b1e74730bd9099137d0cfdb0ad6726d916913ced9b2,1587741,1920,1080,READY
G382_013,G382_013.png,17eac1cd6ff4205198310ba5fa999be1fff29236cfe30731ed1043419fae25f5,3657407,1920,1080,READY
G382_014,G382_014.png,46f081968100ee739d1618118ebaa7bf038186fa266bc07a58b6779ce2f02e73,3172765,1920,1080,READY
G382_015,G382_015.png,e99f25ccaf75e960e40d17eebf1e3945b2650d895fffe83bfec2470bccc6f82a,2125929,1920,1080,READY
G382_016,G382_016.png,bcc631cf3693c0d639d382a0787e22525d2c541250025c72a34467f3d1ef588a,3547084,1920,1080,READY
G382_017,G382_017.png,592cf28c43021a115701adb09b1a6ccb214556d5cb6af58470eb69e0ca57753e,3466109,1920,1080,READY
G382_018,G382_018.png,3ff9d023b7694747e4bc5b4b4e71c40cf966cc9780d34d67a7176ee8fff2b81d,3082177,1920,1080,READY
