frame_key,stroke_id,family,length_px,n_supports,on_supports,on_fraction,on_marking,physical_marking_ids
9sq-YMlIo9Q_s2346:000040,0069c7f6113fb66c,0,1100.3958,185,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,03d003cc2ad9a6b0,0,1101.4680,185,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,05626a91f3b22ea8,1,42.7876,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,0b0e7e230892e1db,1,53.0549,10,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,0b349fe5286bf80d,0,490.5456,83,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,0dbf1a589c892506,0,649.8971,110,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,129946dac7b2fcc5,7,56.4801,11,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,1591d3de56800bef,8,40.8119,8,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,1799454cf1faf284,0,932.3633,157,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,18e4234d562cbc2a,0,984.8555,166,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,19a6af8fad8be688,0,887.9746,149,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,1a8637f8d6f3f0fb,7,211.3085,37,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,1dd16117728e670e,7,40.5878,8,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,204b2ffe5f3ea715,0,517.6326,88,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,221c54b7e12fda27,7,173.8074,30,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,24a236dc9773d502,6,50.0115,10,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,2667c3e70a661117,6,131.5849,23,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,26d04754c683c501,6,497.5723,84,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,2862d4d976f5a6a9,6,59.2229,11,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,2a8e4b860084fd50,0,109.3418,20,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,2edbe1c665080d87,11,47.0161,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,2f150f38e8674fa5,0,127.3473,23,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,2f94744b1b0310bb,0,826.7732,139,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,2ff4eed5e6f2c095,1,175.9097,31,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,31fc15e5cf9b5cad,0,1117.4402,188,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,3491c39bbe66167a,6,47.5160,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,35d9239867e990e6,0,1025.6441,172,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,37090263bf647f68,0,1131.4671,190,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,396a773f9aeed78b,0,855.1947,144,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,3a5056afa77d6eb7,0,1193.6571,200,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,3b0d02b7133d1314,0,487.6219,83,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,3e1ad06b3a565506,1,92.6851,17,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,4515a7afe8bd3511,0,1028.8103,173,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,45684ebd4ffbaecf,0,1129.8826,190,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,47c1bd287bbd7fb9,0,989.0075,166,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,499c1340b7c6e58a,6,175.0337,31,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,499d2b4bcd0da98b,0,1218.0068,205,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,4c1597147f9d007b,0,1051.4339,177,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,4da4751d249e1194,0,968.2113,163,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,51d4bcbd8a021fc8,6,47.5099,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,550d5a5efa12673b,10,78.8389,15,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,56b7908238a4ad3d,0,46.3169,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,57c2585bd7247ecc,0,585.9374,99,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,5be24bd0ae4bc593,0,979.2227,165,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,5c2ebb11562998b7,6,48.7621,10,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,5cd73ef642bd54fe,0,980.0746,165,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,5fb98166d493adac,0,675.5204,114,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,600e60871771cc40,10,278.5986,48,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,640e5926a6362ab2,6,50.1195,10,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,67b1bcd312c70857,2,47.4624,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,688133cbbcc92205,10,49.5727,10,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,693e9b6484242eb6,0,1264.8023,212,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,69a4cd418d2315e1,0,46.2500,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,6aa2f2b999ad44f4,0,1095.0498,184,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,6e73c8c62378f4f8,0,1063.8687,179,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,6eab2899a107032c,0,1058.0889,178,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,6ff4525d806e293d,0,1218.4990,205,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,709ce5502a381833,0,862.6710,145,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,71209b9e4aca8180,0,637.5493,108,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,7242cfb725dcf9cb,6,663.9752,112,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,726bd94930112414,6,42.4997,9,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,74b1c813f17f7fed,0,1216.7199,204,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,758d0dcd0048c132,10,49.5738,10,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,77944c8a6ef6d9ae,0,1090.8446,183,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,78447a59af06563d,11,603.6131,102,0,0.00000000,0,
9sq-YMlIo9Q_s2346:000040,7887feed8496622b,10,48.5360,10,0,0.00000000,0,
