game_id,prefix,sport,status,video_id,offset_s,source_duration,source_resolution,finished_at,eligible,ineligible_reason
-5l407QKuVk_s284,wnba,wnba,thin,-5l407QKuVk,284,134.968,1920x1080,1788879951,1,
-5l407QKuVk_s478,wnba,wnba,thin,-5l407QKuVk,478,134.167,1920x1080,1788879971,1,
-5l407QKuVk_s90,wnba,wnba,thin,-5l407QKuVk,90,132.299,1920x1080,1788879992,1,
-Oa_BpdVT64_s1372,ncaa_basketball,ncaa_basketball,thin,-Oa_BpdVT64,1372,131.031,1920x1080,1789082376,1,
-Oa_BpdVT64_s2654,ncaa_basketball,ncaa_basketball,thin,-Oa_BpdVT64,2654,131.398,1920x1080,1789082397,1,
-Oa_BpdVT64_s3936,ncaa_basketball,ncaa_basketball,thin,-Oa_BpdVT64,3936,132.132,1920x1080,1789082397,1,
-Oa_BpdVT64_s5218,ncaa_basketball,ncaa_basketball,thin,-Oa_BpdVT64,5218,130.330,1920x1080,1789082417,1,
-Oa_BpdVT64_s90,ncaa_basketball,ncaa_basketball,thin,-Oa_BpdVT64,90,134.968,1920x1080,1789082417,1,
0022400909_s1015,nba,nba,tracked,,,133.300,1280x720,1788832436,0,no_video_id_or_offset
0022400909_s1206,nba,nba,timeout,,,133.867,1280x720,1788835090,0,no_video_id_or_offset
0022400909_s1397,nba,nba,tracked,,,130.330,1280x720,1788833740,0,no_video_id_or_offset
0022400909_s1588,nba,nba,tracked,,,131.598,1280x720,1788834309,0,no_video_id_or_offset
0022400909_s1779,nba,nba,tracked,,,131.298,1280x720,1788834111,0,no_video_id_or_offset
0022400909_s1970,nba,nba,tracked,,,134.501,1280x720,1788835061,0,no_video_id_or_offset
0022400909_s2161,nba,nba,tracked,,,135.602,1280x720,1788834697,0,no_video_id_or_offset
0022400909_s2352,nba,nba,tracked,,,130.497,1280x720,1788834384,0,no_video_id_or_offset
0022400909_s2400,nba,nba,thin,,,134.067,1280x720,1788829312,0,no_video_id_or_offset
0022400909_s251,nba,nba,tracked,,,135.202,1280x720,1788832784,0,no_video_id_or_offset
0022400909_s2543,nba,nba,thin,,,132.065,1280x720,1788832836,0,no_video_id_or_offset
0022400909_s2734,nba,nba,tracked,,,130.197,1280x720,1788833890,0,no_video_id_or_offset
0022400909_s2925,nba,nba,tracked,,,133.200,1280x720,1788834890,0,no_video_id_or_offset
0022400909_s3116,nba,nba,tracked,,,130.530,1280x720,1788834646,0,no_video_id_or_offset
0022400909_s3307,nba,nba,tracked,,,133.533,1280x720,1788835804,0,no_video_id_or_offset
0022400909_s3498,nba,nba,tracked,,,132.799,1280x720,1788835144,0,no_video_id_or_offset
0022400909_s3689,nba,nba,tracked,,,130.497,1280x720,1788835329,0,no_video_id_or_offset
0022400909_s3880,nba,nba,tracked,,,131.298,1280x720,1788836094,0,no_video_id_or_offset
0022400909_s3900,nba,nba,tracked,,,133.900,1280x720,1788831922,0,no_video_id_or_offset
0022400909_s4071,nba,nba,tracked,,,130.631,1280x720,1788836313,0,no_video_id_or_offset
0022400909_s4262,nba,nba,tracked,,,132.032,1280x720,1788837468,0,no_video_id_or_offset
0022400909_s442,nba,nba,tracked,,,130.897,1280x720,1788832231,0,no_video_id_or_offset
0022400909_s4453,nba,nba,tracked,,,132.399,1280x720,1788837535,0,no_video_id_or_offset
0022400909_s4644,nba,nba,tracked,,,133.867,1280x720,1788837746,0,no_video_id_or_offset
0022400909_s4835,nba,nba,tracked,,,134.134,1280x720,1788839554,0,no_video_id_or_offset
0022400909_s5026,nba,nba,tracked,,,130.597,1280x720,1788837351,0,no_video_id_or_offset
0022400909_s5217,nba,nba,tracked,,,130.731,1280x720,1788837900,0,no_video_id_or_offset
0022400909_s5400,nba,nba,tracked,,,135.268,1280x720,1788831991,0,no_video_id_or_offset
0022400909_s5408,nba,nba,tracked,,,130.664,1280x720,1788837399,0,no_video_id_or_offset
0022400909_s5599,nba,nba,tracked,,,131.732,1280x720,1788840236,0,no_video_id_or_offset
0022400909_s60,nba,nba,tracked,,,132.866,1280x720,1788836440,0,no_video_id_or_offset
0022400909_s633,nba,nba,tracked,,,134.368,1280x720,1788834673,0,no_video_id_or_offset
0022400909_s824,nba,nba,tracked,,,130.731,1280x720,1788834384,0,no_video_id_or_offset
0022400909_s900,nba,nba,tracked,,,132.532,1280x720,1788831622,0,no_video_id_or_offset
0022401156_s1182,nba,nba,tracked,,,132.033,1280x720,1788837698,0,no_video_id_or_offset
0022401156_s1369,nba,nba,tracked,,,134.033,1280x720,1788837277,0,no_video_id_or_offset
0022401156_s1556,nba,nba,tracked,,,131.033,1280x720,1788838579,0,no_video_id_or_offset
0022401156_s1743,nba,nba,tracked,,,131.300,1280x720,1788838759,0,no_video_id_or_offset
0022401156_s1930,nba,nba,tracked,,,130.033,1280x720,1788838707,0,no_video_id_or_offset
0022401156_s2117,nba,nba,tracked,,,132.033,1280x720,1788840212,0,no_video_id_or_offset
0022401156_s2304,nba,nba,tracked,,,134.033,1280x720,1788839396,0,no_video_id_or_offset
0022401156_s247,nba,nba,tracked,,,132.033,1280x720,1788837277,0,no_video_id_or_offset
0022401156_s2491,nba,nba,tracked,,,131.033,1280x720,1788840082,0,no_video_id_or_offset
0022401156_s2678,nba,nba,tracked,,,133.033,1280x720,1788840579,0,no_video_id_or_offset
0022401156_s2865,nba,nba,tracked,,,130.033,1280x720,1788841029,0,no_video_id_or_offset
0022401156_s3052,nba,nba,tracked,,,132.033,1280x720,1788840580,0,no_video_id_or_offset
0022401156_s3239,nba,nba,tracked,,,131.300,1280x720,1788841147,0,no_video_id_or_offset
0022401156_s3426,nba,nba,tracked,,,131.033,1280x720,1788841060,0,no_video_id_or_offset
0022401156_s3613,nba,nba,tracked,,,132.567,1280x720,1788841815,0,no_video_id_or_offset
0022401156_s3800,nba,nba,tracked,,,130.033,1280x720,1788841889,0,no_video_id_or_offset
0022401156_s3987,nba,nba,tracked,,,132.033,1280x720,1788842249,0,no_video_id_or_offset
0022401156_s4174,nba,nba,tracked,,,134.033,1280x720,1788842102,0,no_video_id_or_offset
0022401156_s434,nba,nba,tracked,,,134.033,1280x720,1788840866,0,no_video_id_or_offset
0022401156_s4361,nba,nba,tracked,,,131.033,1280x720,1788842526,0,no_video_id_or_offset
0022401156_s4548,nba,nba,tracked,,,133.033,1280x720,1788843442,0,no_video_id_or_offset
0022401156_s4735,nba,nba,tracked,,,130.033,1280x720,1788843442,0,no_video_id_or_offset
0022401156_s4922,nba,nba,tracked,,,130.367,1280x720,1788842662,0,no_video_id_or_offset
0022401156_s5109,nba,nba,tracked,,,134.033,1280x720,1788843707,0,no_video_id_or_offset
0022401156_s5296,nba,nba,tracked,,,131.033,1280x720,1788843707,0,no_video_id_or_offset
0022401156_s5483,nba,nba,tracked,,,133.033,1280x720,1788843783,0,no_video_id_or_offset
0022401156_s60,nba,nba,tracked,,,130.033,1280x720,1788840696,0,no_video_id_or_offset
0022401156_s621,nba,nba,tracked,,,130.267,1280x720,1788844025,0,no_video_id_or_offset
0022401156_s808,nba,nba,tracked,,,133.033,1280x720,1788844203,0,no_video_id_or_offset
0022401156_s995,nba,nba,tracked,,,130.033,1280x720,1788844231,0,no_video_id_or_offset
0022401198_s1876,nba,nba,tracked,,,133.900,1280x720,1788847314,0,no_video_id_or_offset
0022401198_s2784,nba,nba,tracked,,,131.900,1280x720,1788847395,0,no_video_id_or_offset
0022401198_s60,nba,nba,tracked,,,132.900,1280x720,1788847314,0,no_video_id_or_offset
0022401198_s968,nba,nba,tracked,,,130.800,1280x720,1788847262,0,no_video_id_or_offset
0022500081_s1248,nba,nba,tracked,,,130.033,1280x720,1788844231,0,no_video_id_or_offset
0022500081_s1545,nba,nba,tracked,,,133.700,1280x720,1788844026,0,no_video_id_or_offset
0022500081_s1842,nba,nba,tracked,,,132.033,1280x720,1788844801,0,no_video_id_or_offset
0022500081_s2139,nba,nba,tracked,,,130.367,1280x720,1788844922,0,no_video_id_or_offset
0022500081_s2436,nba,nba,thin,,,134.033,1280x720,1788845833,0,no_video_id_or_offset
