game_id,prefix,reason
0022400909_s1015,nba,no_video_id_or_offset
0022400909_s1206,nba,no_video_id_or_offset
0022400909_s1397,nba,no_video_id_or_offset
0022400909_s1588,nba,no_video_id_or_offset
0022400909_s1779,nba,no_video_id_or_offset
0022400909_s1970,nba,no_video_id_or_offset
0022400909_s2161,nba,no_video_id_or_offset
0022400909_s2352,nba,no_video_id_or_offset
0022400909_s2400,nba,no_video_id_or_offset
0022400909_s251,nba,no_video_id_or_offset
0022400909_s2543,nba,no_video_id_or_offset
0022400909_s2734,nba,no_video_id_or_offset
0022400909_s2925,nba,no_video_id_or_offset
0022400909_s3116,nba,no_video_id_or_offset
0022400909_s3307,nba,no_video_id_or_offset
0022400909_s3498,nba,no_video_id_or_offset
0022400909_s3689,nba,no_video_id_or_offset
0022400909_s3880,nba,no_video_id_or_offset
0022400909_s3900,nba,no_video_id_or_offset
0022400909_s4071,nba,no_video_id_or_offset
0022400909_s4262,nba,no_video_id_or_offset
0022400909_s442,nba,no_video_id_or_offset
0022400909_s4453,nba,no_video_id_or_offset
0022400909_s4644,nba,no_video_id_or_offset
0022400909_s4835,nba,no_video_id_or_offset
0022400909_s5026,nba,no_video_id_or_offset
0022400909_s5217,nba,no_video_id_or_offset
0022400909_s5400,nba,no_video_id_or_offset
0022400909_s5408,nba,no_video_id_or_offset
0022400909_s5599,nba,no_video_id_or_offset
0022400909_s60,nba,no_video_id_or_offset
0022400909_s633,nba,no_video_id_or_offset
0022400909_s824,nba,no_video_id_or_offset
0022400909_s900,nba,no_video_id_or_offset
0022401156_s1182,nba,no_video_id_or_offset
0022401156_s1369,nba,no_video_id_or_offset
0022401156_s1556,nba,no_video_id_or_offset
0022401156_s1743,nba,no_video_id_or_offset
0022401156_s1930,nba,no_video_id_or_offset
0022401156_s2117,nba,no_video_id_or_offset
0022401156_s2304,nba,no_video_id_or_offset
0022401156_s247,nba,no_video_id_or_offset
0022401156_s2491,nba,no_video_id_or_offset
0022401156_s2678,nba,no_video_id_or_offset
0022401156_s2865,nba,no_video_id_or_offset
0022401156_s3052,nba,no_video_id_or_offset
0022401156_s3239,nba,no_video_id_or_offset
0022401156_s3426,nba,no_video_id_or_offset
0022401156_s3613,nba,no_video_id_or_offset
0022401156_s3800,nba,no_video_id_or_offset
0022401156_s3987,nba,no_video_id_or_offset
0022401156_s4174,nba,no_video_id_or_offset
0022401156_s434,nba,no_video_id_or_offset
0022401156_s4361,nba,no_video_id_or_offset
0022401156_s4548,nba,no_video_id_or_offset
0022401156_s4735,nba,no_video_id_or_offset
0022401156_s4922,nba,no_video_id_or_offset
0022401156_s5109,nba,no_video_id_or_offset
0022401156_s5296,nba,no_video_id_or_offset
0022401156_s5483,nba,no_video_id_or_offset
0022401156_s60,nba,no_video_id_or_offset
0022401156_s621,nba,no_video_id_or_offset
0022401156_s808,nba,no_video_id_or_offset
0022401156_s995,nba,no_video_id_or_offset
0022401198_s1876,nba,no_video_id_or_offset
0022401198_s2784,nba,no_video_id_or_offset
0022401198_s60,nba,no_video_id_or_offset
0022401198_s968,nba,no_video_id_or_offset
0022500081_s1248,nba,no_video_id_or_offset
0022500081_s1545,nba,no_video_id_or_offset
0022500081_s1842,nba,no_video_id_or_offset
0022500081_s2139,nba,no_video_id_or_offset
0022500081_s2436,nba,no_video_id_or_offset
0022500081_s2733,nba,no_video_id_or_offset
0022500081_s3030,nba,no_video_id_or_offset
0022500081_s3327,nba,no_video_id_or_offset
0022500081_s357,nba,no_video_id_or_offset
0022500081_s3624,nba,no_video_id_or_offset
0022500081_s3921,nba,no_video_id_or_offset
0022500081_s4218,nba,no_video_id_or_offset
0022500081_s4515,nba,no_video_id_or_offset
0022500081_s4812,nba,no_video_id_or_offset
0022500081_s5109,nba,no_video_id_or_offset
0022500081_s5406,nba,no_video_id_or_offset
0022500081_s5703,nba,no_video_id_or_offset
0022500081_s60,nba,no_video_id_or_offset
0022500081_s6000,nba,no_video_id_or_offset
0022500081_s6297,nba,no_video_id_or_offset
0022500081_s654,nba,no_video_id_or_offset
0022500081_s6594,nba,no_video_id_or_offset
0022500081_s6891,nba,no_video_id_or_offset
0022500081_s7188,nba,no_video_id_or_offset
0022500081_s7485,nba,no_video_id_or_offset
0022500081_s7782,nba,no_video_id_or_offset
0022500081_s8079,nba,no_video_id_or_offset
0022500081_s8376,nba,no_video_id_or_offset
0022500081_s8673,nba,no_video_id_or_offset
0022500081_s951,nba,no_video_id_or_offset
0022500575,nba,no_video_id_or_offset
0022500575_s1500,nba,no_video_id_or_offset
0022500575_s2100,nba,no_video_id_or_offset
0022500575_s2700,nba,no_video_id_or_offset
0022500575_s300,nba,no_video_id_or_offset
0022500575_s3300,nba,no_video_id_or_offset
0022500575_s3900,nba,no_video_id_or_offset
0022500575_s4500,nba,no_video_id_or_offset
0022500575_s5400,nba,no_video_id_or_offset
0022500575_s6000,nba,no_video_id_or_offset
0022500575_s6600,nba,no_video_id_or_offset
0022500575_s7200,nba,no_video_id_or_offset
0022500575_s8100,nba,no_video_id_or_offset
0022500575_s8700,nba,no_video_id_or_offset
0022500575_s900,nba,no_video_id_or_offset
0022500575_s9300,nba,no_video_id_or_offset
0022500592_s1500,nba,no_video_id_or_offset
0022500592_s2100,nba,no_video_id_or_offset
0022500592_s2700,nba,no_video_id_or_offset
0022500592_s300,nba,no_video_id_or_offset
0022500592_s3300,nba,no_video_id_or_offset
0022500592_s3900,nba,no_video_id_or_offset
0022500592_s4500,nba,no_video_id_or_offset
0022500592_s5400,nba,no_video_id_or_offset
0022500592_s6000,nba,no_video_id_or_offset
0022500592_s6600,nba,no_video_id_or_offset
0022500592_s7200,nba,no_video_id_or_offset
0022500592_s8100,nba,no_video_id_or_offset
0022500592_s8700,nba,no_video_id_or_offset
0022500592_s900,nba,no_video_id_or_offset
0022500592_s9300,nba,no_video_id_or_offset
0022500594_s1500,nba,no_video_id_or_offset
0022500594_s2100,nba,no_video_id_or_offset
0022500594_s2700,nba,no_video_id_or_offset
0022500594_s300,nba,no_video_id_or_offset
0022500594_s3300,nba,no_video_id_or_offset
0022500594_s3900,nba,no_video_id_or_offset
0022500594_s4500,nba,no_video_id_or_offset
0022500594_s5400,nba,no_video_id_or_offset
0022500594_s6000,nba,no_video_id_or_offset
0022500594_s6600,nba,no_video_id_or_offset
0022500594_s7200,nba,no_video_id_or_offset
0022500594_s8100,nba,no_video_id_or_offset
0022500594_s8700,nba,no_video_id_or_offset
0022500594_s900,nba,no_video_id_or_offset
0022500594_s9300,nba,no_video_id_or_offset
0022500594_s9900,nba,no_video_id_or_offset
0022500621_s1500,nba,no_video_id_or_offset
0022500621_s2100,nba,no_video_id_or_offset
0022500621_s2700,nba,no_video_id_or_offset
0022500621_s300,nba,no_video_id_or_offset
0022500621_s3300,nba,no_video_id_or_offset
0022500621_s3900,nba,no_video_id_or_offset
0022500621_s4500,nba,no_video_id_or_offset
0022500621_s5400,nba,no_video_id_or_offset
0022500621_s6000,nba,no_video_id_or_offset
0022500621_s6600,nba,no_video_id_or_offset
0022500621_s7200,nba,no_video_id_or_offset
0022500621_s8100,nba,no_video_id_or_offset
0022500621_s900,nba,no_video_id_or_offset
0022500630_s1500,nba,no_video_id_or_offset
0022500630_s2100,nba,no_video_id_or_offset
0022500630_s2700,nba,no_video_id_or_offset
0022500630_s300,nba,no_video_id_or_offset
0022500630_s3300,nba,no_video_id_or_offset
0022500630_s3900,nba,no_video_id_or_offset
0022500630_s4500,nba,no_video_id_or_offset
0022500630_s5400,nba,no_video_id_or_offset
0022500630_s6000,nba,no_video_id_or_offset
0022500630_s6600,nba,no_video_id_or_offset
atl_ind_2025,nba,no_video_id_or_offset
bos_mia_2025,nba,no_video_id_or_offset
bos_mia_playoffs,nba,no_video_id_or_offset
cavs_broadcast_2025,nba,no_video_id_or_offset
cavs_vs_celtics_2025,nba,no_video_id_or_offset
den_phx_2025,nba,no_video_id_or_offset
g220c_jh3fnwMi7dM,basketball,no_video_id_or_offset
gsw_lakers_2025,nba,no_video_id_or_offset
mem_nop_2025,nba,no_video_id_or_offset
mia_bkn_2025,nba,no_video_id_or_offset
mil_chi_2025,nba,no_video_id_or_offset
nba_highlights_gsw,nba,no_video_id_or_offset
ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,no_video_id_or_offset
ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,no_video_id_or_offset
ncaa_basketball_mRkuGgeECak,ncaa_basketball,no_video_id_or_offset
ncaa_basketball_sRtHQbywiTE,ncaa_basketball,no_video_id_or_offset
ncaa_basketball_tiUvyvWOCxo,ncaa_basketball,no_video_id_or_offset
ncaa_basketball_zqBCKovJCQU,ncaa_basketball,no_video_id_or_offset
okc_dal_2025,nba,no_video_id_or_offset
phi_tor_2025,nba,no_video_id_or_offset
sac_por_2025,nba,no_video_id_or_offset
wnba_01_1080p,wnba,no_video_id_or_offset
wnba_02,wnba,no_video_id_or_offset
wnba_04,wnba,no_video_id_or_offset
wnba_05,wnba,no_video_id_or_offset
wnba_06,wnba,no_video_id_or_offset
