sheet_id,terra_label,sol_label,final_label,other_sport
g385_0000,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0001,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0002,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0003,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0004,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0005,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0006,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0007,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0008,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0009,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0010,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0011,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0012,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0013,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0014,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0015,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0016,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0017,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0018,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0019,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0020,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0021,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0022,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0023,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0024,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0025,BASKETBALL_PLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0026,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0027,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0028,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0029,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0030,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0031,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0032,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0033,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0034,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0035,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0036,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0037,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0038,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0039,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0040,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0041,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0042,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0043,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0044,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0045,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0046,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0047,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0048,BASKETBALL_PLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0049,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0050,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0051,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0052,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0053,BASKETBALL_PLAY,BASKETBALL_NONPLAY,BASKETBALL_PLAY,
g385_0054,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0055,BASKETBALL_NONPLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0056,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0057,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0058,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0059,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0060,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0061,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0062,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0063,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0064,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0065,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0066,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0067,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0068,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0069,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0070,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0071,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0072,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0073,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0074,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0075,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0076,BASKETBALL_NONPLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0077,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0078,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0079,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0080,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0081,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0082,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0083,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0084,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0085,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0086,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0087,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0088,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0089,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0090,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0091,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0092,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0093,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0094,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0095,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0096,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0097,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0098,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0099,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,BASKETBALL_NONPLAY,
g385_0100,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
g385_0101,BASKETBALL_PLAY,BASKETBALL_PLAY,BASKETBALL_PLAY,
