attempt_id,version_id,receiver_sha256,receiver_bytes,acknowledged,pixel_opened,byte_agreement,hold_path,source_path,retained_path,retained_sha256,retained_bytes,retained,pc_readback_match,pc_decode_ok,pc_frame_png_sha256,pc_frame_dims
a01,b7ded22b98bf8460-37b1d7208f54,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,95236044,1,1,1,/workspace/g386_scratch/hold/a01.mp4,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__-n4iviRLtsU_s90.mp4,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,95236044,1,1,1,86f0b7648fb0d2cf91eafdaa5e2cf21da04d0f2bb9bdb86470ad84052e88708b,1920x1080
a02,11c496a80066d4c9-e4ab3dccbc05,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,94112289,1,1,1,/workspace/g386_scratch/hold/a02.mp4,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__-n4iviRLtsU_s2704.mp4,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,94112289,1,1,1,76238cbac4f9d7020df870a2626db80e8260bd46ff16536f19ce08b70dde1017,1920x1080
a03,34c05bfa51e31112-c63f75e26ffa,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,97966113,1,1,1,/workspace/g386_scratch/hold/a03.mp4,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\ncaa_basketball__-n4iviRLtsU_s4011.mp4,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,97966113,1,1,1,8db5551566f4432c64ccd115b9a6008db1207243955670a10d49870a3e203c58,1920x1080
a04,e9e465930d69ce04-335d14766347,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,95626450,1,1,1,/workspace/g386_scratch/hold/a04.mp4,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s1293.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__3MBv6PIsCBg_s1293.mp4,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,95626450,1,1,1,24521ff5c80525d6054c57d6a2b4657ca154cd26c304b4e09d0c1b60036499a2,1920x1080
a05,7a36f3c87e543644-c931bf3a7da6,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,79356189,1,1,1,/workspace/g386_scratch/hold/a05.mp4,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s3699.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__3MBv6PIsCBg_s3699.mp4,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,79356189,1,1,1,9c6fcca10e22fda7694d9a7ff14e66cd8200c6190e1accbf8173a72c33f971d2,1920x1080
a06,a5d300b6beb34128-32036b5bae1c,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,64995066,1,1,1,/workspace/g386_scratch/hold/a06.mp4,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\9sq-YMlIo9Q_s2346.mp4,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,64995066,1,1,1,269fd2058ad5ecdf1b3a945cf9922fee0f4967cb41118cb7c4cb71607d9773a2,1920x1080
a07,398175385cc5fcb5-0acf9220b699,398175385cc5fcb51b2797bef39b00dc33e05858eefe513384b3db2c6f2fe470,68061448,1,1,1,/workspace/g386_scratch/hold/a07.mp4,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\wnba__A0aHQ2A38IY_s90.mp4,398175385cc5fcb51b2797bef39b00dc33e05858eefe513384b3db2c6f2fe470,68061448,1,1,1,b10d4d5293e6984885a6839e9095c82409ab714c0fc395a1e1ff3737ce9b0f90,1920x1080
a08,7b2febbe60a232b5-b6288ea18f30,7b2febbe60a232b5dcd4882cdf1b0189c1126946f0dcdb4ce130c673719bcd43,68429941,1,1,1,/workspace/g386_scratch/hold/a08.mp4,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s2860.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\wnba__A0aHQ2A38IY_s2860.mp4,7b2febbe60a232b5dcd4882cdf1b0189c1126946f0dcdb4ce130c673719bcd43,68429941,1,1,1,1447777784709027fe67dd57f4be4a73a06ab900542eb1a05de4d077cf586bc2,1920x1080
a09,0f27b9e4e0ec7ed7-f4e20bf2029f,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,81165805,1,1,1,/workspace/g386_scratch/hold/a09.mp4,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s90.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s90.mp4,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,81165805,1,1,1,d3e939ed79e129666bd90ceb732bee1295f6ba6d6e079be80ded9af99eacd126,1920x1080
a10,15380ad68bda3fa2-6ad8812e8789,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,79162595,1,1,1,/workspace/g386_scratch/hold/a10.mp4,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,C:\Users\neelj\nba-ai-system\data\pod_backup_2026-09-10\g386_objects\nba__IeaneIKx1Ig_s4464.mp4,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,79162595,1,1,1,aad0da640695a9f96ed20e676b478771f0ff13d3c3e1184f47302e23d1bae800,1920x1080
