opaque_id,frame_key,video_id,section_id,frame_order,native_path,native_sha256,bytes,width,height,pts_seconds
G387_001,9sq-YMlIo9Q_s2346:000040,9sq-YMlIo9Q,9sq-YMlIo9Q_s2346,40,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_001.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,3565284,1920,1080,UNKNOWN
G387_002,9sq-YMlIo9Q_s2346:002003,9sq-YMlIo9Q,9sq-YMlIo9Q_s2346,2003,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_003.png,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,2569362,1920,1080,UNKNOWN
G387_003,9sq-YMlIo9Q_s2346:002964,9sq-YMlIo9Q,9sq-YMlIo9Q_s2346,2964,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_004.png,362b7052075945816625229c19c24ef3a9cece02fff2ba1413b897f8ad498b43,1941077,1920,1080,UNKNOWN
G387_004,GtwFiAa1gXI_s3762:001049,GtwFiAa1gXI,GtwFiAa1gXI_s3762,1049,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_002.png,2af7576a07b971e018acada551367e26165077406e1870e49c3134335c9ae591,2824586,1920,1080,UNKNOWN
G387_005,GtwFiAa1gXI_s3762:002984,GtwFiAa1gXI,GtwFiAa1gXI_s3762,2984,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_004.png,ddf223cd3466d086a0dccbb205cd0c7b76d5f89466bd83a005546d830b6e0571,2461011,1920,1080,UNKNOWN
G387_006,UCVSlzgun0o_s2298:000039,UCVSlzgun0o,UCVSlzgun0o_s2298,39,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_001.png,4908d93642b7fe9954d1be586da99cb621f98a820fee37d50dad72081cf33db3,3540711,1920,1080,UNKNOWN
G387_007,UCVSlzgun0o_s2298:001974,UCVSlzgun0o,UCVSlzgun0o_s2298,1974,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_003.png,17eac1cd6ff4205198310ba5fa999be1fff29236cfe30731ed1043419fae25f5,3657407,1920,1080,UNKNOWN
G387_008,UCVSlzgun0o_s2298:003909,UCVSlzgun0o,UCVSlzgun0o_s2298,3909,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_005.png,e99f25ccaf75e960e40d17eebf1e3945b2650d895fffe83bfec2470bccc6f82a,2125929,1920,1080,UNKNOWN
G387_009,UzaYBYy3GZg_s90:000042,UzaYBYy3GZg,UzaYBYy3GZg_s90,42,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_001.png,bcc631cf3693c0d639d382a0787e22525d2c541250025c72a34467f3d1ef588a,3547084,1920,1080,UNKNOWN
G387_010,UzaYBYy3GZg_s90:002097,UzaYBYy3GZg,UzaYBYy3GZg_s90,2097,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_003.png,3ff9d023b7694747e4bc5b4b4e71c40cf966cc9780d34d67a7176ee8fff2b81d,3082177,1920,1080,UNKNOWN
