context_id,claude_visibility,terra_state,sol_state,terra_fragments,sol_fragments,candidate_pairs,sealed_rule_pairs,audited_same_band,family_disagreement
G388_001,YES,VISIBLE,VISIBLE,1,2,1,0,0,YES
G388_002,NO,ABSENT,ABSENT,0,0,0,0,0,NO
G388_003,UNKNOWN,VISIBLE,VISIBLE,1,1,0,0,0,NO
G388_004,YES,VISIBLE,VISIBLE,1,1,0,0,0,YES
G388_005,YES,VISIBLE,VISIBLE,1,2,1,0,0,NO
G388_006,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_007,YES,VISIBLE,VISIBLE,2,2,1,0,0,YES
G388_008,NO,ABSENT,ABSENT,0,0,0,0,0,NO
G388_009,YES,VISIBLE,VISIBLE,1,2,1,0,0,YES
G388_010,YES,ABSENT,VISIBLE,0,1,0,0,0,YES
G388_011,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_012,NO,ABSENT,ABSENT,0,0,0,0,0,NO
G388_013,YES,ABSENT,VISIBLE,0,2,0,0,0,YES
G388_014,YES,VISIBLE,VISIBLE,2,1,0,0,0,YES
G388_015,NO,ABSENT,ABSENT,0,0,0,0,0,NO
G388_016,NO,VISIBLE,VISIBLE,1,1,0,0,0,NO
G388_017,YES,VISIBLE,VISIBLE,2,2,1,0,0,YES
G388_018,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_019,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_020,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_021,YES,VISIBLE,VISIBLE,2,2,1,0,0,YES
G388_022,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_023,YES,VISIBLE,VISIBLE,1,2,1,0,0,NO
G388_024,YES,VISIBLE,VISIBLE,1,2,1,0,0,NO
G388_025,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_026,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_027,YES,VISIBLE,VISIBLE,2,2,0,0,0,NO
G388_028,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
G388_029,NO,ABSENT,ABSENT,0,0,0,0,0,NO
G388_030,YES,VISIBLE,VISIBLE,1,2,0,0,0,YES
