frame_key,split,terra_label,sol_label,terra_cx,terra_cy,sol_cx,sol_cy,labels_agree,centre_distance_px,resolution
874b0ce2aba3ff14d775e032c4bd5818c6bb09d652352ad48b283e82e50e2ff7,development,ABSENT,UNKNOWN,,,,,0,,AUDIT-LABEL-CONFLICT
3460c10d21ee16eaa06c2ae873e279e4fbba155b259be0c12f2494d06576eee1,heldout,ABSENT,ABSENT,,,,,1,,AUDIT-AGREED
496b17f368a9e490d9a203531fb0a5239d30c2f863d7b5a0c8755e88d9f19c17,development,UNKNOWN,UNKNOWN,,,,,1,,AUDIT-AGREED
02a8ebb076270a5e8156d01dd9351034a2358f6c799902ea671c86bf3bf6d635,heldout,VISIBLE,VISIBLE,1468.5,472.5,1446.0,477.0,1,22.95,AUDIT-AGREED
c6c877370ce1ce4ffcafb507055a4a44c37e0f0f5cdd5094cad2a44516859d07,development,VISIBLE,VISIBLE,1059.5,619.5,1027.5,604.0,1,35.56,AUDIT-AGREED
b1cb6633fc48051c209137f0885df2837158d54cc9ec222a42587cf6fa37e4f7,development,UNKNOWN,VISIBLE,,,1280.0,445.0,0,,AUDIT-LABEL-CONFLICT
311dcabd8fc06df051cac04a20433cddd8ae920a34ee3f2540859fad02969855,heldout,VISIBLE,VISIBLE,763.5,815.5,764.5,816.0,1,1.12,AUDIT-AGREED
4de1c405885f132d8c5747f9b392d626708dfe6306316130cb3da21aada3db45,development,ABSENT,ABSENT,,,,,1,,AUDIT-AGREED
d188f300bf34656e8894ac210d9523c7cf0289fc4a3349a056ebdc5fe7d8b48f,heldout,VISIBLE,VISIBLE,420.0,339.5,434.0,308.5,1,34.01,AUDIT-AGREED
d42bca0144652c3c6af2e91c8ef726d9a4fc32a2fc6e14095514da5199699192,development,VISIBLE,VISIBLE,1265.0,321.0,1266.0,330.5,1,9.55,AUDIT-AGREED
58794fe201bb50a0f931bcbd47e033cb612421d00b348c2ce8f6b237a6ea7e04,heldout,VISIBLE,VISIBLE,1451.5,520.5,1476.0,527.0,1,25.35,AUDIT-AGREED
a5a065e9cf918653fd6bcc3941f0456691438a9eb67e1eb7411345221c88fc45,development,VISIBLE,VISIBLE,1273.5,420.0,216.5,642.5,1,1080.16,AUDIT-CENTRE-CONFLICT
9e619c8794e085b29bed04b1c6223c1f77b2834bf45e30e8afcd932710032343,development,VISIBLE,VISIBLE,1259.5,594.5,1269.0,605.0,1,14.16,AUDIT-AGREED
63b3b82354a0f12afac8c71ba2083b3ae0d6638094338a3434ac42e5718ebc03,development,VISIBLE,UNKNOWN,963.5,292.5,,,0,,AUDIT-LABEL-CONFLICT
0f5be93bb3489c3bd006eaad1f46de00e9964a77bbb8f3756cd7f5b9f7ec58da,development,VISIBLE,VISIBLE,1106.5,447.0,1105.5,443.0,1,4.12,AUDIT-AGREED
96bef25962ec6ad0102df132db9be9d9b96a38d4a325236dd5485b153b8b372e,heldout,UNKNOWN,VISIBLE,,,1196.5,352.0,0,,AUDIT-LABEL-CONFLICT
a7f31b00c9b3068214105265be850e393ce00daebe4b0a421c6ac44ce8321daf,development,UNKNOWN,UNKNOWN,,,,,1,,AUDIT-AGREED
ba0cc82a3fe4304cf23eb9b24a9da7d36dac016ca416f4afac57d6d468a8f0c1,heldout,VISIBLE,VISIBLE,769.0,507.0,729.5,522.0,1,42.25,AUDIT-CENTRE-CONFLICT
dd5deee8e3b4502cbda9ea36e30509e77697479a0d94e0ccff6d602019aa5f3c,development,ABSENT,UNKNOWN,,,,,0,,AUDIT-LABEL-CONFLICT
313bff52e59385f621946dc5a1184395813ac6d11ff8969370b15855d18d01e6,heldout,ABSENT,ABSENT,,,,,1,,AUDIT-AGREED
139142e42c9d159d8a8fb24d669124ced9c67f1c9f21db24493cdaf84b8c35c3,development,UNKNOWN,VISIBLE,,,718.5,478.5,0,,AUDIT-LABEL-CONFLICT
9618f7b182f118664218c13d3bc0694ec24af865ec747ade93afe2f011b7b1c5,development,ABSENT,ABSENT,,,,,1,,AUDIT-AGREED
26eb9cee0a07399b0c7a82b50d4af683e63d03f766083601ace7c0007bcf3699,heldout,VISIBLE,VISIBLE,558.5,451.0,981.0,508.5,1,426.39,AUDIT-CENTRE-CONFLICT
3896f57a5bd1667fcc6c93327347c3d0b9f7f1366c471362499853464b2d44a7,development,VISIBLE,VISIBLE,1019.0,388.5,963.5,367.0,1,59.52,AUDIT-CENTRE-CONFLICT
f183ac9e41aa49dde97766504e80649a4e977cd4b2546ee4e3f0251db1b38702,heldout,ABSENT,ABSENT,,,,,1,,AUDIT-AGREED
c130340efee4549e459681638e244506e98b84a3a5dd7aa17077c3088927043d,development,VISIBLE,VISIBLE,842.0,599.5,827.0,599.5,1,15.0,AUDIT-AGREED
67847dd707fc61d6060b098b5e94a4633a68c84f4080ecc191d10024382517dc,heldout,VISIBLE,VISIBLE,626.0,471.5,665.5,468.5,1,39.61,AUDIT-CENTRE-CONFLICT
9b2fabdd9328188b5a76c441e9045e19c35784458993d72fb1ea2fe3488c1fe1,development,VISIBLE,VISIBLE,1589.5,557.5,646.0,282.5,1,982.76,AUDIT-CENTRE-CONFLICT
30154a7e31103db64f8bbe2024a6f240d6327313267156aba1a723009f6a356d,development,VISIBLE,UNKNOWN,1186.0,216.5,,,0,,AUDIT-LABEL-CONFLICT
95a0ce7b95876ad2a4d58556798b5b5af68f384a74d886cde957ac64939a8cc0,heldout,VISIBLE,VISIBLE,858.0,682.5,857.5,688.0,1,5.52,AUDIT-AGREED
