frame_key,split,source,sheet,sheet_bytes,width,height,game,section,frame_index,sheet_scale,queue_state,settled_by
00088f2f70b5452bebcca594720d11f344ec849cd88e8972dac6257c104f9300,development,extra,00088f2f70b5.jpg,192306,1920,1080,hLv8cwl0asQ,hLv8cwl0asQ_s3705,2094,1.0,SETTLED,g373
003818538c6d8a3ba39f7fcdd2e6eb3fa573e8bbbf80b8595a418344e3517374,development,extra,003818538c6d.jpg,189704,1920,1080,850xnW8BoAU,850xnW8BoAU_s1358,2796,1.0,SETTLED,g373
00670bf31703357800a00f3766e011bdb63eb300b5c53c2dee37f7ae7d54ef1c,development,extra,00670bf31703.jpg,188068,1920,1080,g7dzEFLiemQ,g7dzEFLiemQ_s90,5123,1.0,SETTLED,g373
008404a9932fe4be71fd414f2e8300b1ceb25933d574df5871d543f77ed9fbd7,development,extra,008404a9932f.jpg,192599,1920,1080,fXLNra4sjjU,fXLNra4sjjU_s90,3512,1.0,SETTLED,g373
01301367dd61f57f061177bc1000eb31942134069bad5d2cd59b7e75c7b4e077,development,extra,01301367dd61.jpg,192313,1920,1080,bt3NwN7k8bY,bt3NwN7k8bY_s90,2188,1.0,SETTLED,g373
01604bfb8b2630e2f518ec1f283527939e8863fb023c814df80301aeaa948baa,development,extra,01604bfb8b26.jpg,198265,1920,1080,0SQ709_N0Yg,0SQ709_N0Yg_s90,4727,1.0,SETTLED,g373
01d29616002771ad3f5d29743c29f3df60b4b17bfbbf5a99d1b10c74cf7cc2df,development,extra,01d296160027.jpg,190918,1920,1080,1zPhldjbJnU,1zPhldjbJnU_s5620,226,1.0,SETTLED,g373
0225e903ba5721cfcac4503d77dd80f9427c51cc85af60863d645082c096aa20,development,extra,0225e903ba57.jpg,176023,1920,1080,wptZj4SuFtE,wptZj4SuFtE_s2598,1804,1.0,SETTLED,g373
025a7448186c76c1c09865db76e371474dc1b8ec2b3c26a9a934f60e8410de95,development,extra,025a7448186c.jpg,169307,1920,1080,g7dzEFLiemQ,g7dzEFLiemQ_s90,176,1.0,SETTLED,g373
02638c6dd88a72199c0395c8f20f419eb51517506b46cbed304de2012aaa8d9d,development,extra,02638c6dd88a.jpg,184721,1920,1080,QXFM3hlaDAk,QXFM3hlaDAk_s5230,3120,1.0,SETTLED,g373
0292b9f00e5358e4f47c06116eababc1f6d4e0b3b4545121f19af57cc3513639,development,extra,0292b9f00e53.jpg,191189,1920,1080,3fT6aYz2N9w,3fT6aYz2N9w_s5086,1985,1.0,SETTLED,g373
02b8f4143fa6c7c53db6e7c3f63d3f99e2ce1099077fbda003cfcb36afd4411b,development,extra,02b8f4143fa6.jpg,195877,1920,1080,0SQ709_N0Yg,0SQ709_N0Yg_s90,4436,1.0,SETTLED,g373
0330d2250898f778d2086a1538ab45f52d6eda3f9327205e2d57806437f8d769,development,extra,0330d2250898.jpg,187805,1920,1080,h5pTl8fOM2U,h5pTl8fOM2U_s3399,2783,1.0,SETTLED,g373
0331961bb5b734f2d7e21ddb6534673df7341d0af5b0b08c055469ae2dfd717c,development,extra,0331961bb5b7.jpg,185935,1920,1080,7Ci3zQ5Vm4M,7Ci3zQ5Vm4M_s3423,1225,1.0,SETTLED,g373
036e0193d5a8139e0e7b00749bb631bf2ab470841de4652898026f03bf308710,development,extra,036e0193d5a8.jpg,191922,1920,1080,g7dzEFLiemQ,g7dzEFLiemQ_s90,6869,1.0,SETTLED,g373
039072cb2ff14d93c4b430ecfc4c70808319ea05475a7a8f838f8234e1631a03,development,extra,039072cb2ff1.jpg,195296,1920,1080,E-5WuXXdGSA,E-5WuXXdGSA_s3993,2148,1.0,SETTLED,g373
03999f5df54bbb47f710b05e8c4ef537de410d02c8c6499128369f07b026638b,development,extra,03999f5df54b.jpg,190734,1920,1080,X5w3V6rh26s,X5w3V6rh26s_s5234,2233,1.0,SETTLED,g373
03ee5d6d130bb5946c06523eb1c6822921ab7cbaf95b7639ecba0d92f2e52883,development,extra,03ee5d6d130b.jpg,192677,1920,1080,6FlZaoWSfFw,6FlZaoWSfFw_s337,1318,1.0,SETTLED,g373
045553dfb1de2c282684e1c985df80d891f5d6f34772d9afcd9db9ba4c66df63,development,extra,045553dfb1de.jpg,198187,1920,1080,g7dzEFLiemQ,g7dzEFLiemQ_s90,2795,1.0,SETTLED,g373
045ee6fe119e5f8aa36b58c6b799d08ce140b1f7f60ce2d953646ab39cc575a6,development,extra,045ee6fe119e.jpg,169604,1920,1080,EqseleqhpTk,EqseleqhpTk_s5310,3308,1.0,SETTLED,g373
04b79af9c7050671e61e2636905384593795b962280400a76400c4b0e5d9dd22,development,extra,04b79af9c705.jpg,185715,1920,1080,wptZj4SuFtE,wptZj4SuFtE_s2598,499,1.0,SETTLED,g373
04d4f5b039d4413dac9a5b9193b26e334babe8a081cbe58c7e69924980e328b5,development,extra,04d4f5b039d4.jpg,198676,1920,1080,VEUJpELt_yA,VEUJpELt_yA_s1212,492,1.0,SETTLED,g373
04f4187da49b6aba15e9ab2840638a6905f024842e96149a2bc29128a8e8f14c,development,extra,04f4187da49b.jpg,199690,1920,1080,GNjSxoeDT-E,GNjSxoeDT-E_s2244,3330,1.0,SETTLED,g373
05d828cb1ced0ef7033b247fdb88cb51d247813c1cc22b06beb2566981250857,development,extra,05d828cb1ced.jpg,197606,1920,1080,GNjSxoeDT-E,GNjSxoeDT-E_s2244,2162,1.0,SETTLED,g373
05efd0f88dfd5556c65d66320e9f5f131ef43158b687a0ce75c7e1cba988c738,development,extra,05efd0f88dfd.jpg,193877,1920,1080,850xnW8BoAU,850xnW8BoAU_s1358,3088,1.0,SETTLED,g373
05f3012d95d41fd64e5950c5c91b89adaab2e362d3071379be8a8a35efc56dae,development,extra,05f3012d95d4.jpg,198829,1920,1080,1zPhldjbJnU,1zPhldjbJnU_s5620,2626,1.0,SETTLED,g373
05f6393f845995ad41c88bfff04644f552405b398d14642414f04730a9b73d82,development,extra,05f6393f8459.jpg,197554,1920,1080,GNjSxoeDT-E,GNjSxoeDT-E_s2244,2892,1.0,SETTLED,g373
060beffd431727fdb26e9c315584b0a066f16623ad7dc9e21745e620511ffa6a,development,extra,060beffd4317.jpg,194824,1920,1080,VEUJpELt_yA,VEUJpELt_yA_s1212,1952,1.0,SETTLED,g373
06c4cb648f746f28764ce2da5fbb3b4771e8077b33dc966e688005751d63439a,development,extra,06c4cb648f74.jpg,187108,1920,1080,wJSOHbeQcg4,wJSOHbeQcg4_s5540,3647,1.0,SETTLED,g373
0736209ccc57357b8638de6c16121d39439ba0e634f94cee0aa563f1ba5052ff,development,extra,0736209ccc57.jpg,179133,1920,1080,X5w3V6rh26s,X5w3V6rh26s_s5234,3713,1.0,SETTLED,g373
0807dc9526652ee2cf6367bd2bae708e6155b39b42a94462af592ffaaa01ad57,development,extra,0807dc952665.jpg,186850,1920,1080,VEUJpELt_yA,VEUJpELt_yA_s1212,2098,1.0,SETTLED,g373
08abef457742414120ef6577b3ddccbb024013343422ad7bfde41ee23a4cf313,development,extra,08abef457742.jpg,199708,1920,1080,1zPhldjbJnU,1zPhldjbJnU_s5620,1126,1.0,SETTLED,g373
091d2019f15ad13e22606645ceb848a9e49aa36d0bff513eb6f4710f2fd220e5,development,extra,091d2019f15a.jpg,190855,1920,1080,3fT6aYz2N9w,3fT6aYz2N9w_s5086,1381,1.0,SETTLED,g373
0926190f8ffb3bbe9159b00f62711bf6faa50303a53c0668ee2476895ef91eed,development,extra,0926190f8ffb.jpg,174821,1920,1080,QXFM3hlaDAk,QXFM3hlaDAk_s5230,2972,1.0,SETTLED,g373
097e98e04c7fceb8825acc43498c74a4ea06d0ca6e0fc6b6a9621c748ab368d9,development,extra,097e98e04c7f.jpg,191130,1920,1080,gLdwA_gHN8Y,gLdwA_gHN8Y_s90,1032,1.0,SETTLED,g373
0a27d36f33c8837fcd53a7ea8507777a620d599e096c54eca94bc1c87134b338,development,extra,0a27d36f33c8.jpg,164793,1920,1080,QXFM3hlaDAk,QXFM3hlaDAk_s5230,1196,1.0,SETTLED,g373
0ab48a08b7362126aebb50e1787bdc9fa114084252b0d38e3fdb132678c6bf12,development,extra,0ab48a08b736.jpg,191472,1920,1080,X5w3V6rh26s,X5w3V6rh26s_s5234,161,1.0,SETTLED,g373
0acc5cca56f9c05ccb9da6cb701419cfa9676b6b54528c6768fdd4828b70c84e,development,extra,0acc5cca56f9.jpg,191091,1920,1080,ql7kzzTRo4M,ql7kzzTRo4M_s5610,1187,1.0,SETTLED,g373
0b3c8204f6f15667324218c15221f0a15d40f2ea933c0717a8a86d91e2f5527b,development,extra,0b3c8204f6f1.jpg,199969,1920,1080,GNjSxoeDT-E,GNjSxoeDT-E_s2244,118,1.0,SETTLED,g373
0c356d7f019485fa69da38bf2f6ec2c4cabd0c0b602431d2e080ceecb4a8f8d2,development,extra,0c356d7f0194.jpg,197917,1920,1080,XCaGht2GmPg,XCaGht2GmPg_s4068,2255,1.0,SETTLED,g373
0cb724109b5c09e5d0df6cf0ecde27e2291ce3115a5214464ca08f1dcf5451a7,development,extra,0cb724109b5c.jpg,197249,1920,1080,fXLNra4sjjU,fXLNra4sjjU_s90,681,1.0,SETTLED,g373
0d2ba648eac22051a8ab8cfc6d58f4acd4743d600cd7d81cf27886be5e7a1e4a,development,extra,0d2ba648eac2.jpg,196107,1920,1080,XCaGht2GmPg,XCaGht2GmPg_s4068,521,1.0,SETTLED,g384
0d6e5c0c7d8bd5322e4dd3964a10b4a3d6d5e71b904482ca387b5162e49f3ea6,development,extra,0d6e5c0c7d8b.jpg,187766,1920,1080,QXFM3hlaDAk,QXFM3hlaDAk_s5230,2084,1.0,SETTLED,g373
0dbef4cae6ad6751f7cf83298a66bef6e77bfe5540963101a83d92eeb6124a40,development,extra,0dbef4cae6ad.jpg,185834,1920,1080,eaKqXq9dfig,eaKqXq9dfig_s428,3236,1.0,SETTLED,g373
0e28bf5b05f3489a40657d5cb01ac6a82203170393cc70af22ba86b61990477d,development,extra,0e28bf5b05f3.jpg,168314,1920,1080,EqseleqhpTk,EqseleqhpTk_s5310,2116,1.0,SETTLED,g373
0e71bd724743642707a0af135aadcf3d2939569b9544e68a9de8a58fa8823256,development,extra,0e71bd724743.jpg,193156,1920,1080,gLdwA_gHN8Y,gLdwA_gHN8Y_s90,2040,1.0,SETTLED,g373
1040d086c38221cb0682df1ccbf787ab00ddf8c41f26e45a9b214a7212566482,development,extra,1040d086c382.jpg,190853,1920,1080,VEUJpELt_yA,VEUJpELt_yA_s1212,1368,1.0,PENDING,
104dccb201d499141e6d337a198d4805eba270cf9a91df96170113cfc7a389f9,development,extra,104dccb201d4.jpg,178108,1920,1080,X5w3V6rh26s,X5w3V6rh26s_s5234,13,1.0,SETTLED,g373
105128881d24d61dd16bfad9759f7d33ac00960c65d7b033c037f21526744d9b,development,extra,105128881d24.jpg,186469,1920,1080,jKoEJNdiRyI,jKoEJNdiRyI_s3429,2335,1.0,SETTLED,g384
112ed4453b19cbf257ae9d93a4c0965633127ef7311469a98c06f961716493f1,development,extra,112ed4453b19.jpg,186340,1920,1080,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,304,1.0,SETTLED,g373
11375fccfaf88284e65d64e5d142b2b4842203af2be14491d8730d7ea2b73a6f,development,extra,11375fccfaf8.jpg,195796,1920,1080,0SQ709_N0Yg,0SQ709_N0Yg_s90,5600,1.0,SETTLED,g373
1142effeb3713faac70eb0fbd30283bfb0c4620e9a59c555e79c8e36f95cc024,development,extra,1142effeb371.jpg,191823,1920,1080,850xnW8BoAU,850xnW8BoAU_s1358,314,1.0,SETTLED,g373
11490e40048bdff582ba91dfef0f49a5d65e64e3240f2837ec3b4d697d91d1b8,development,extra,11490e40048b.jpg,192191,1920,1080,5PNHcMafoX8,5PNHcMafoX8_s4128,2035,1.0,PENDING,
12dc4d60a90efe7ae2fd2ccaf52c57ad293170b6a83dce8e056129580caf9f8a,development,extra,12dc4d60a90e.jpg,182674,1920,1080,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,3516,1.0,SETTLED,g373
132a7ac772038752809499b6c9b3750b4c189d8d6e0bfadd345307b45452f171,development,extra,132a7ac77203.jpg,191702,1920,1080,QXFM3hlaDAk,QXFM3hlaDAk_s5230,1936,1.0,SETTLED,g373
138d7afc971ea791fb1a065624b46600a5ab6d1f4e8e29ecdad6bd771aeff391,development,extra,138d7afc971e.jpg,188839,1920,1080,hLv8cwl0asQ,hLv8cwl0asQ_s3705,2384,1.0,SETTLED,g373
139142e42c9d159d8a8fb24d669124ced9c67f1c9f21db24493cdaf84b8c35c3,development,extra,139142e42c9d.jpg,184198,1920,1080,q9kHoUZvxik,q9kHoUZvxik_s3681,3659,1.0,PENDING,
13ff1900748f2486706891d974958874b20273b5a4672b254c4fcf85d8decc39,development,extra,13ff1900748f.jpg,192548,1920,1080,3eeaJz1PJTM,3eeaJz1PJTM_s2572,3675,1.0,SETTLED,g384
147ccf82294bd469fee799aeabd075ad0658b6fdf11922a9c7c9da656fdbb101,development,extra,147ccf82294b.jpg,199161,1920,1080,1zPhldjbJnU,1zPhldjbJnU_s5620,676,1.0,SETTLED,g373
147fa3791fb1d77fcc9592d6c70f2a3773fbd9df4dc68b795387bf4852dfe67a,development,extra,147fa3791fb1.jpg,198143,1920,1080,0SQ709_N0Yg,0SQ709_N0Yg_s90,653,1.0,PENDING,
14b2b08253f57492c3c381dfd1a823f8e8aa95f727c617335529fd1b78ebde20,development,extra,14b2b08253f5.jpg,192585,1920,1080,EqseleqhpTk,EqseleqhpTk_s5310,179,1.0,SETTLED,g373
154e06c69cec129fb39fa418879978049eeec120657c55cfbb52a84a3c8fe2f0,development,extra,154e06c69cec.jpg,191366,1920,1080,1zPhldjbJnU,1zPhldjbJnU_s5620,3076,1.0,SETTLED,g373
155bc49efcbe441d87bdfae6564605959ed84229bf34d2c2fc6731ff14bd9b52,development,extra,155bc49efcbe.jpg,193104,1920,1080,g7dzEFLiemQ,g7dzEFLiemQ_s90,1340,1.0,PENDING,
159ec8146872d132315e5f3f5bccd1ba5472b1ae121958363530870db08f140f,development,extra,159ec8146872.jpg,197580,1920,1080,3fT6aYz2N9w,3fT6aYz2N9w_s5086,324,1.0,PENDING,
15fb56d6fcde748dd50a43980f4df328a83a9434e8e9c6d0a8295df5544b8a83,development,extra,15fb56d6fcde.jpg,179689,1920,1080,E-5WuXXdGSA,E-5WuXXdGSA_s3993,7772,1.0,SETTLED,g373
160e9d732bd4600ada55b18bcc12b94b6711cdea0a91f37e11f5937a48bddc60,development,extra,160e9d732bd4.jpg,187881,1920,1080,1zPhldjbJnU,1zPhldjbJnU_s5620,976,1.0,SETTLED,g373
1673e946bb0c2c7f469569850f01877aed0ff2673f516de08858fbe31c841700,development,extra,1673e946bb0c.jpg,184403,1920,1080,QXFM3hlaDAk,QXFM3hlaDAk_s5230,2676,1.0,SETTLED,g373
16daabf6c6da067d7c391469fd6abf1b2d2cf07df346d1a2503dca13738143d5,development,extra,16daabf6c6da.jpg,199277,1920,1080,3fT6aYz2N9w,3fT6aYz2N9w_s5086,475,1.0,SETTLED,g373
172583873a8444b783f4fece1029dcac07d6b2640e7ed1f93c8bc87f9010f751,development,extra,172583873a84.jpg,188846,1920,1080,g7dzEFLiemQ,g7dzEFLiemQ_s90,7160,1.0,SETTLED,g373
1778a54bcacad278319e75544646c916d4a1695a32acdd75d145530384b822a8,development,extra,1778a54bcaca.jpg,175721,1920,1080,wptZj4SuFtE,wptZj4SuFtE_s2598,1369,1.0,PENDING,
17def8c0cd3e7b20e1db1b98429389acf49cbfe16a4e245e8de6eadeb29cf21a,development,extra,17def8c0cd3e.jpg,190398,1920,1080,5PNHcMafoX8,5PNHcMafoX8_s4128,2911,1.0,SETTLED,g373
17e6d839fc6bf897372105d62514a44b171717ebb5eeaad0bc854d342194b553,development,extra,17e6d839fc6b.jpg,183922,1920,1080,q9kHoUZvxik,q9kHoUZvxik_s3681,2354,1.0,PENDING,
17eab81b0640afde657c6265cbd1fd7cbc12f018613b0ee46fcbe6b834ab8ccc,development,extra,17eab81b0640.jpg,194188,1920,1080,VEUJpELt_yA,VEUJpELt_yA_s1212,3120,1.0,SETTLED,g373
18a1f4e3825cf93a15525549fa82128b22b12db2e701c009f890e2fbd9291f62,development,extra,18a1f4e3825c.jpg,181074,1920,1080,XCaGht2GmPg,XCaGht2GmPg_s4068,3700,1.0,SETTLED,g373
18a514e058fa82a6051937af18936c2f8a492161619bc06ab114589e41ac13cc,development,extra,18a514e058fa.jpg,183691,1920,1080,h5pTl8fOM2U,h5pTl8fOM2U_s3399,2345,1.0,SETTLED,g373
18e6b3b70ce2658dda08b4f25f8f76ce3fdebda60ea46078a988a6a5df429d44,development,extra,18e6b3b70ce2.jpg,194804,1920,1080,3eeaJz1PJTM,3eeaJz1PJTM_s2572,3824,1.0,SETTLED,g373
19a8b5d543844701d76c7584d93e4ee4c851a0cb87a226ac803e71a53372dfa9,development,extra,19a8b5d54384.jpg,187049,1920,1080,ql7kzzTRo4M,ql7kzzTRo4M_s5610,5827,1.0,SETTLED,g373
1aa34231797bc6772c1bdf1cd1e0a277e103f9883952332c0fa4ff5e7497536a,development,extra,1aa34231797b.jpg,173533,1920,1080,wptZj4SuFtE,wptZj4SuFtE_s2598,3689,1.0,SETTLED,g384
1aade590ac7db30875e2c6929f889821039e9c3d87bc241c9e75624ba8048a8b,development,extra,1aade590ac7d.jpg,178173,1920,1080,1zPhldjbJnU,1zPhldjbJnU_s5620,1276,1.0,SETTLED,g373
1b295a87874298ae201d4cfe5ee4e545bb47e4bcf5cc4b7b049f66b7ee01873a,development,extra,1b295a878742.jpg,191796,1920,1080,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,1326,1.0,PENDING,
1b60205b44f22923d9a546bfdeb2f299450fabfe6f936490e60b7ce3317d249e,development,extra,1b60205b44f2.jpg,187952,1920,1080,XCaGht2GmPg,XCaGht2GmPg_s4068,1966,1.0,SETTLED,g373
1bd46fb1547090b1bbe4da8f34cb9c4f516cac3978d13855d04fbeb27117d43d,development,extra,1bd46fb15470.jpg,193573,1920,1080,6FlZaoWSfFw,6FlZaoWSfFw_s337,2188,1.0,PENDING,
