frame_key,split,why,adjudicator,adjudicator_label,adjudicator_cx,adjudicator_cy,terra_label,sol_label,primary_state,agreement,conflict_class
147fa3791fb1d77fcc9592d6c70f2a3773fbd9df4dc68b795387bf4852dfe67a,development,LABEL-DISAGREEMENT,terra,VISIBLE,780.0,327.5,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
85597a5e8bf84c4e99fc09019eaa3af4712cc575a5b5fe507a837000c06b34c7,development,CENTRE-GAP,sol,VISIBLE,922.0,137.0,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
49341414e11fe056a26aeb57fd4e2b23f0fcfa2e6782e7140ee89adda72ec608,development,LABEL-DISAGREEMENT,terra,UNKNOWN,,,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
defe3c0d1e5b03d1838a890e52849dac4a007c54d71ba1ba3b393bcbb3f40124,development,CENTRE-GAP,sol,VISIBLE,1281.0,705.0,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
62b2d7ae5e4b00b044ce2cd0e85b4ad22e3deff4c5d8c226ec46b2bc5b073d3f,development,CENTRE-GAP,terra,VISIBLE,774.5,349.0,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
ee76f9191cdbd8d5027d46596a903214dfcbc5bc2ff5f55c377abe4dc4fe6fea,development,CENTRE-GAP,sol,VISIBLE,332.0,377.0,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
ab9bb337ea14772dbae79c2b8e53e2f386e6408898af87d9cba29b1c0469dab9,development,CENTRE-GAP,terra,VISIBLE,1370.5,472.5,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
a572ec7277ec937e6831766f0bc7d846843f95f1b2772167469bec39b15befd8,development,LABEL-DISAGREEMENT,sol,VISIBLE,505.5,578.0,VISIBLE,ABSENT,SPLIT,AGREES-ONE,
874b0ce2aba3ff14d775e032c4bd5818c6bb09d652352ad48b283e82e50e2ff7,development,LABEL-DISAGREEMENT,terra,,,,ABSENT,UNKNOWN,SPLIT,UNRESOLVED,AUDIT-LABEL-CONFLICT
c1800a4454c8725c6e03b09d0d79af2bbdc34ba6f050e0ec3494de1a0c44e1af,development,LABEL-DISAGREEMENT,sol,UNKNOWN,,,UNKNOWN,ABSENT,SPLIT,AGREES-ONE,
b494d694673a2b364d451c42102d394b93283931baf02eec4f374171b7d616e3,development,LABEL-DISAGREEMENT,terra,VISIBLE,818.5,580.5,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
dad6f3f8d4d54a7dfa5db5a15ea5aaa6cd0b327195b0cf6703ce0f8b0ede9606,development,CENTRE-GAP,sol,VISIBLE,207.5,797.5,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
46dde8e433b5c3028ebeef71d2669bbfb6425dc6de9dc6ac2eb0622d418dc48a,development,LABEL-DISAGREEMENT,terra,UNKNOWN,,,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
44bf0619ae02ca31c3364d9dd7395594714817101afb7e07b5030a30af24b984,development,LABEL-DISAGREEMENT,sol,VISIBLE,509.5,470.0,UNKNOWN,VISIBLE,SPLIT,AGREES-ONE,
5df1a11c1e666bc1ef3dcbb12daf787b895593d5140c5326467ba70b2d7f46d5,development,LABEL-DISAGREEMENT,terra,VISIBLE,556.5,765.0,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
9fead4c7337464183e293595e9c535922b01a9c22723953c0667dc80833e7c2c,development,LABEL-DISAGREEMENT,sol,UNKNOWN,,,VISIBLE,ABSENT,SPLIT,AGREES-NEITHER,
2ea774f6f5552f26ea8f6f959b28362e546e7efe8c6fe3b370680c44919ae654,development,CENTRE-GAP,terra,VISIBLE,574.5,774.0,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
908daf01ba0ea03fc9b0bbc244f165b9df3515477ac7e0775c1127331d26bdc4,development,LABEL-DISAGREEMENT,sol,UNKNOWN,,,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
83048a796e3367c151899264bb8d4a03851209931e0e34da7ce21dba41349b90,heldout,CENTRE-GAP,terra,UNKNOWN,,,VISIBLE,VISIBLE,UNANIMOUS,AGREES-NEITHER,PRIMARY-UNANIMOUS-CONTRADICTED
712b543a733ed4d91c0b827b3de5fee8bd8f2b27d8efeabfb5e73fcd11594835,heldout,CENTRE-GAP,sol,VISIBLE,297.5,621.0,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
0714d445d447cd121675c903f4e6b79a77bf4fa7d4a9f0abb53fe142698754b8,heldout,LABEL-DISAGREEMENT,terra,VISIBLE,700.0,399.0,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
6faaf410ce8baeb68cd1aae766f1a9963602ce6a30a92f480013269f29eab2b9,heldout,CENTRE-GAP,sol,VISIBLE,1223.0,360.0,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
3a0a3add537a99d8a33af4c485aaebe4c0c8711637fa6b301af109f67ab70b0d,heldout,CENTRE-GAP,terra,VISIBLE,1640.5,761.5,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
395923ab30bd9f5175dd813fbe027bc57a05bb928cd7c2f6cfc5c341a645a33d,heldout,CENTRE-GAP,sol,VISIBLE,506.0,622.5,VISIBLE,VISIBLE,UNANIMOUS,AGREES-BOTH,
3460c10d21ee16eaa06c2ae873e279e4fbba155b259be0c12f2494d06576eee1,heldout,LABEL-DISAGREEMENT,terra,ABSENT,,,VISIBLE,ABSENT,SPLIT,AGREES-ONE,
20ea1070cef466b895f7eef7c87325e152af9358bd76ef5c722eb2e08133a5af,heldout,LABEL-DISAGREEMENT,sol,UNKNOWN,,,VISIBLE,UNKNOWN,SPLIT,AGREES-ONE,
2c91e135e4269b4dc9cfd74019f56a035f34266a9e6d0eb77d095291ff9d0df6,heldout,LABEL-DISAGREEMENT,terra,VISIBLE,796.5,663.0,UNKNOWN,ABSENT,SPLIT,AGREES-NEITHER,
