arm,state_key,split_id,state_ts,cluster_id,p_model,outcome,loss
A0,g390:0716d136adb43568d2a75382627391a0cbf7145f5e409edc998c9f8732245ffb,0,2026-01-01T00:53:30+00:00,0716d136adb43568d2a75382627391a0cbf7145f5e409edc998c9f8732245ffb,0.0,0,0.0
A0,g390:bd0d6bb3e74b1d86fa74bb36920356d834d69a4224fec3a8a31d5a13f86576df,0,2026-01-01T01:17:30+00:00,bd0d6bb3e74b1d86fa74bb36920356d834d69a4224fec3a8a31d5a13f86576df,0.0,0,0.0
A0,g390:ba9c0b904e8171f4134c59b7fee28daa443976ce8cac81f285844d4d70d6d696,0,2026-01-01T01:45:30+00:00,ba9c0b904e8171f4134c59b7fee28daa443976ce8cac81f285844d4d70d6d696,0.0,0,0.0
A0,g390:18d717b95aad33aa5ace24439cc7b0c3b314759f3b28605f5dad903c3cb30072,0,2026-01-01T02:48:30+00:00,18d717b95aad33aa5ace24439cc7b0c3b314759f3b28605f5dad903c3cb30072,0.0,1,1.0
A0,g390:bfadf48da1eb124ed856eca38b95e4675f9becb12d7a269a0755e5d327aa446d,0,2026-01-01T03:51:30+00:00,bfadf48da1eb124ed856eca38b95e4675f9becb12d7a269a0755e5d327aa446d,1.0,0,1.0
A0,g390:a7e94a21efb9d5960a5f068ad3cc17e3312962bb08cb64aafbd7b108463340cc,0,2026-01-01T04:33:30+00:00,a7e94a21efb9d5960a5f068ad3cc17e3312962bb08cb64aafbd7b108463340cc,0.0,0,0.0
A0,g390:5fe37d0cc403ac6644112f66c699629734cb9993c20b2a1caa86c322304128fb,0,2026-01-01T04:54:30+00:00,5fe37d0cc403ac6644112f66c699629734cb9993c20b2a1caa86c322304128fb,0.0,0,0.0
A0,g390:23cbad5a1c2d68a647f3c4466f4a7ab7908ed1babf8a4a6885299e6a84e5f3e0,0,2026-01-01T04:57:30+00:00,23cbad5a1c2d68a647f3c4466f4a7ab7908ed1babf8a4a6885299e6a84e5f3e0,0.0,0,0.0
A0,g390:f0679fbea70cd2c5b293079063810b65bf4575f16453cfcb7074ae884ea22a1b,0,2026-01-01T05:21:30+00:00,f0679fbea70cd2c5b293079063810b65bf4575f16453cfcb7074ae884ea22a1b,0.0,0,0.0
A0,g390:dda11891cd04021c790547c6e60d5788398c223b6a9d480d2c40b8eed5d5cfb9,0,2026-01-01T05:57:30+00:00,dda11891cd04021c790547c6e60d5788398c223b6a9d480d2c40b8eed5d5cfb9,0.0,0,0.0
A0,g390:dc30f641fd411f5eae982edb6032c3c5d34a421e8174341e4f16b62bb2b7dfb6,0,2026-01-01T07:00:30+00:00,dc30f641fd411f5eae982edb6032c3c5d34a421e8174341e4f16b62bb2b7dfb6,0.0,0,0.0
A0,g390:e5883851f44861abf1f628edb05ff5e2ebb54094ae7a651ebf0bcfc77821cd0b,0,2026-01-01T08:37:30+00:00,e5883851f44861abf1f628edb05ff5e2ebb54094ae7a651ebf0bcfc77821cd0b,0.0,0,0.0
A0,g390:2034fa57099c3b2942a232d1789ddcc95d2352584e3fe33f1fb5e9eb93ad54a8,0,2026-01-01T09:01:30+00:00,2034fa57099c3b2942a232d1789ddcc95d2352584e3fe33f1fb5e9eb93ad54a8,0.0,0,0.0
A0,g390:3ed0ff187412603e94dd18978285f9c601193f5ef98f2f19af10c56a4cde363b,0,2026-01-01T09:25:30+00:00,3ed0ff187412603e94dd18978285f9c601193f5ef98f2f19af10c56a4cde363b,0.0,0,0.0
A0,g390:01624a78bbc487d9602526cfe4540a4fe96c753bc7e126774fc5c604335e2917,0,2026-01-01T10:06:30+00:00,01624a78bbc487d9602526cfe4540a4fe96c753bc7e126774fc5c604335e2917,1.0,1,0.0
A0,g390:37bec05d324a20b5dbde969991f97f107abbfe1716d257d72e1c10f115f5b1a0,0,2026-01-01T11:09:30+00:00,37bec05d324a20b5dbde969991f97f107abbfe1716d257d72e1c10f115f5b1a0,0.0,1,1.0
A0,g390:2eb34d6a761b39ab9284313fe5e2b742d2437777f6a37478ab17b86dcb726562,0,2026-01-01T12:12:30+00:00,2eb34d6a761b39ab9284313fe5e2b742d2437777f6a37478ab17b86dcb726562,0.0,0,0.0
A0,g390:10d786b6a025c8eeceff884b41b28a9acc1b459b8d71fdb613f2daf951d1d850,0,2026-01-01T12:41:30+00:00,10d786b6a025c8eeceff884b41b28a9acc1b459b8d71fdb613f2daf951d1d850,0.0,1,1.0
A0,g390:c5f71722e4b60484d26dc64c84f8512f57ed71ce31d10dc8bf30efdc83bbeeed,0,2026-01-01T13:05:30+00:00,c5f71722e4b60484d26dc64c84f8512f57ed71ce31d10dc8bf30efdc83bbeeed,0.0,0,0.0
A0,g390:a9e2b0ad85126386ae29c4ab1befa72fa1d45eb8803eb0a9bfb20650582cbe8e,0,2026-01-01T13:15:30+00:00,a9e2b0ad85126386ae29c4ab1befa72fa1d45eb8803eb0a9bfb20650582cbe8e,0.0,0,0.0
A0,g390:9220eea33e685c048c4ddca7606ece2e4d6e7ae06fb163a43947b31bd9c3c3f3,0,2026-01-01T13:29:30+00:00,9220eea33e685c048c4ddca7606ece2e4d6e7ae06fb163a43947b31bd9c3c3f3,0.0,0,0.0
A0,g390:9b505d1a36458beb200cdf80b58417e1dbed1044248aad1aa9a5bb1afa8012a6,0,2026-01-01T14:18:30+00:00,9b505d1a36458beb200cdf80b58417e1dbed1044248aad1aa9a5bb1afa8012a6,0.0,0,0.0
A0,g390:3ee198390449ff6335e9abc422a6e098edd46eba95a79ac97c017834bc85235d,0,2026-01-01T16:45:30+00:00,3ee198390449ff6335e9abc422a6e098edd46eba95a79ac97c017834bc85235d,0.0,0,0.0
A0,g390:f19823b78128c997d74a3851d9d97d2e9b940ccb38253de415e47fd1a5f1221b,0,2026-01-01T17:09:30+00:00,f19823b78128c997d74a3851d9d97d2e9b940ccb38253de415e47fd1a5f1221b,0.0,0,0.0
A0,g390:e144d07100989d3a36482458cfdf3a7fbf7dd00eb3de9599b58fc06cb31fd96b,0,2026-01-01T17:33:30+00:00,e144d07100989d3a36482458cfdf3a7fbf7dd00eb3de9599b58fc06cb31fd96b,0.0,0,0.0
A0,g390:6d639eeba20508f9d7d588e211ab62f246448f56ce3e091f3f1cec70dcd0acfc,0,2026-01-01T18:27:30+00:00,6d639eeba20508f9d7d588e211ab62f246448f56ce3e091f3f1cec70dcd0acfc,0.0,1,1.0
A0,g390:6fed7dc9b40b039c561610c7427be477b3bc1311793462e80035b11386c30eb1,0,2026-01-01T19:30:30+00:00,6fed7dc9b40b039c561610c7427be477b3bc1311793462e80035b11386c30eb1,0.0,1,1.0
A0,g390:bf815b63838042db36835710188387ec5ee3354a39e5eb8a7cb4ce384172769a,0,2026-01-01T20:33:30+00:00,bf815b63838042db36835710188387ec5ee3354a39e5eb8a7cb4ce384172769a,0.0,1,1.0
A0,g390:3a1eac61e1a942b7b31700298f56457707bb1a95295d339f60a60d7a26b4a833,0,2026-01-01T20:49:30+00:00,3a1eac61e1a942b7b31700298f56457707bb1a95295d339f60a60d7a26b4a833,0.0,1,1.0
A0,g390:ff3ba7406d07c24504a647a57582436cf8b4dfa5edfa354a2144cc276f0bc48d,0,2026-01-01T21:13:30+00:00,ff3ba7406d07c24504a647a57582436cf8b4dfa5edfa354a2144cc276f0bc48d,0.0,0,0.0
A0,g390:d071617e6ff7d7120790d82a82b255c8a649f88a0bbc46d50e2d9a5498ae3032,0,2026-01-01T21:36:30+00:00,d071617e6ff7d7120790d82a82b255c8a649f88a0bbc46d50e2d9a5498ae3032,0.0,0,0.0
A0,g390:b269053e49ec9b387d5de45db8143142eca8cb0ffb842e4a20495cf0d5e77069,0,2026-01-01T22:39:30+00:00,b269053e49ec9b387d5de45db8143142eca8cb0ffb842e4a20495cf0d5e77069,0.0,0,0.0
A0,g390:554d4042c10083a140c7068ca38045bd46a198e42b1e25ac8609ab44881eedf3,0,2026-01-05T01:27:30+00:00,554d4042c10083a140c7068ca38045bd46a198e42b1e25ac8609ab44881eedf3,0.0,0,0.0
A0,g390:e848892b2b1700dc05b6c9a1b91fdb65db644b5ae13bebecf3cec627330c222f,0,2026-01-05T02:31:30+00:00,e848892b2b1700dc05b6c9a1b91fdb65db644b5ae13bebecf3cec627330c222f,0.0,1,1.0
A0,g390:29396a12ecc8abc4e34ee6c08b698ea1b464d1df679a2019eaab5d52e5a453ad,0,2026-01-05T04:07:30+00:00,29396a12ecc8abc4e34ee6c08b698ea1b464d1df679a2019eaab5d52e5a453ad,0.0,0,0.0
A0,g390:88a603090bfcfe4a80920f2a07ffabcce75448d2962c53c0b3ef4579d500ab51,0,2026-01-05T05:43:30+00:00,88a603090bfcfe4a80920f2a07ffabcce75448d2962c53c0b3ef4579d500ab51,0.0,1,1.0
A0,g390:3130cfa098e54f28258c10bf925e8b4e8c0c0f33b36a0afd2aeb3c4ff383c93a,0,2026-01-05T06:47:30+00:00,3130cfa098e54f28258c10bf925e8b4e8c0c0f33b36a0afd2aeb3c4ff383c93a,0.0,0,0.0
A0,g390:e1f1ab7f928fd7ed75aa5f0b6f631cd8fafd683a4bc8ff9d402ac37631b8d07d,0,2026-01-05T08:23:30+00:00,e1f1ab7f928fd7ed75aa5f0b6f631cd8fafd683a4bc8ff9d402ac37631b8d07d,0.0,1,1.0
A0,g390:c8584a3adc7a13ed1dca39a2b55f3b733471de4a305e600c49d0421adc94c7c7,0,2026-01-05T09:59:30+00:00,c8584a3adc7a13ed1dca39a2b55f3b733471de4a305e600c49d0421adc94c7c7,0.0,1,1.0
A0,g390:0e3b7e8661689213774c1287168ca73ac6945355d8efbfeef736625138e5b201,0,2026-01-05T11:03:30+00:00,0e3b7e8661689213774c1287168ca73ac6945355d8efbfeef736625138e5b201,0.0,1,1.0
A0,g390:e216c414f1c498045aabde10065362f14bd929d33c38bfbb775608b7dc072160,0,2026-01-05T12:39:30+00:00,e216c414f1c498045aabde10065362f14bd929d33c38bfbb775608b7dc072160,0.0,1,1.0
A0,g390:67cf74d777b13d0d1892db39626731a60588c3b5c02beae8de26f7af1afe3062,0,2026-01-05T14:15:30+00:00,67cf74d777b13d0d1892db39626731a60588c3b5c02beae8de26f7af1afe3062,0.0,1,1.0
A0,g390:bee7aed2a269d4d91f5c4f6a07d39f6205626c9d47906c101c38999d7acf8640,0,2026-01-05T15:19:30+00:00,bee7aed2a269d4d91f5c4f6a07d39f6205626c9d47906c101c38999d7acf8640,0.0,0,0.0
A0,g390:bf661bdb958235995b9bc4f4c5137dfb29c1a3f5d720f4fd581015db775cf124,0,2026-01-05T16:55:30+00:00,bf661bdb958235995b9bc4f4c5137dfb29c1a3f5d720f4fd581015db775cf124,0.0,1,1.0
A0,g390:2d4b0c99d15d4db6fe8ae0cc36eb685d80bb3b10efba8902878330d54af88916,0,2026-01-05T19:35:30+00:00,2d4b0c99d15d4db6fe8ae0cc36eb685d80bb3b10efba8902878330d54af88916,0.0,0,0.0
A0,g390:a9b8c4b4cd72589b687eb3bd4225b9d1e5f700b1c5a29e9526ae42b066206641,0,2026-01-05T21:11:30+00:00,a9b8c4b4cd72589b687eb3bd4225b9d1e5f700b1c5a29e9526ae42b066206641,0.0,1,1.0
A0,g390:06b61a76a7ed92f4e227015c169b53e2bd2699dd8c7c5fe8fb0f38d92c9527a6,0,2026-01-05T23:51:30+00:00,06b61a76a7ed92f4e227015c169b53e2bd2699dd8c7c5fe8fb0f38d92c9527a6,0.0,1,1.0
A0,g390:2d61858c542071d4f2f868987ebbb8806cd8a10168b82dd63928c38d90b9f03d,0,2026-01-09T00:08:30+00:00,2d61858c542071d4f2f868987ebbb8806cd8a10168b82dd63928c38d90b9f03d,0.0,1,1.0
A0,g390:fdc404d87dff0f2aa2cb8335c3b61419a04f6255496e1997c5ec3ad6a9de68b4,0,2026-01-09T02:51:30+00:00,fdc404d87dff0f2aa2cb8335c3b61419a04f6255496e1997c5ec3ad6a9de68b4,0.0,1,1.0
A0,g390:91472eb3a6244434131930847469dbc873a1f11412a2a137fc5c8e262485240b,0,2026-01-09T03:33:30+00:00,91472eb3a6244434131930847469dbc873a1f11412a2a137fc5c8e262485240b,0.0,1,1.0
A0,g390:700e6aa694bba2dc7aeb4529c463dcb4f4e9a56ac4e1205821e2b52c82a05096,0,2026-01-09T04:15:30+00:00,700e6aa694bba2dc7aeb4529c463dcb4f4e9a56ac4e1205821e2b52c82a05096,0.0,1,1.0
A0,g390:46b6196afc9b02b1fb2691a64c4b963d6f9d8d245468d0bacd908d5f810635e3,0,2026-01-09T06:58:30+00:00,46b6196afc9b02b1fb2691a64c4b963d6f9d8d245468d0bacd908d5f810635e3,0.0,1,1.0
A0,g390:5c7d27dff273539e9d1a1968c326d9fbdba6875960ed7e4ace92a2d72fabc7a4,0,2026-01-09T07:40:30+00:00,5c7d27dff273539e9d1a1968c326d9fbdba6875960ed7e4ace92a2d72fabc7a4,0.0,0,0.0
A0,g390:bea639731fa94154f1208b6c86e2eea8e2a5ce2f7fa050cd7c6c8ba742283db0,0,2026-01-09T08:22:30+00:00,bea639731fa94154f1208b6c86e2eea8e2a5ce2f7fa050cd7c6c8ba742283db0,0.0,0,0.0
A0,g390:d945df5188e96ac7c4b857c6710a4c7ea298d394d82afdd8992f3c3e44a0e98f,0,2026-01-09T11:05:30+00:00,d945df5188e96ac7c4b857c6710a4c7ea298d394d82afdd8992f3c3e44a0e98f,0.0,0,0.0
A0,g390:1623782c2aebfa8ca01815dc8824efd1bc748dec80580a27181bb14350d87767,0,2026-01-09T11:47:30+00:00,1623782c2aebfa8ca01815dc8824efd1bc748dec80580a27181bb14350d87767,0.0,1,1.0
A0,g390:831ec00d02dfe5881fde406d7143b2c5993b956357e391e7d2b24d277806fa22,0,2026-01-09T12:29:30+00:00,831ec00d02dfe5881fde406d7143b2c5993b956357e391e7d2b24d277806fa22,0.0,1,1.0
