packet_id,adjudicator,field,object,ball_state,terra_object,sol_object,terra_ball_state,sol_ball_state,note
G391-002-b502642f589e14fb,claude-blind-pixels,object,PERSON_OR_APPAREL,BALL_ELSEWHERE,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,spectator head and cap at the marker
G391-004-8a8aac6ec223539c,claude-blind-pixels,object,EQUIPMENT,BALL_ELSEWHERE,SIGNAGE_OR_GRAPHIC,EQUIPMENT,BALL_ELSEWHERE,BALL_ELSEWHERE,press-row monitor at the marker
G391-005-31a9a81e0d91527e,claude-blind-pixels,object,PERSON_OR_APPAREL,NO_BALL_VISIBLE,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,foreground spectator face and hand
G391-008-083f13856ff2cfde,claude-blind-pixels,object,PERSON_OR_APPAREL,BALL_ELSEWHERE,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,seated bench players in orange
G391-011-de5a42e337ac4782,claude-blind-pixels,ball_state,PERSON_OR_APPAREL,BALL_UNCERTAIN,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_UNCERTAIN,NO_BALL_VISIBLE,player head and headband; ball not resolvable
G391-013-7f66205901accdd8,claude-blind-pixels,object,PERSON_OR_APPAREL,NO_BALL_VISIBLE,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,single blurred courtside face
G391-032-6e10c14f63b49908,claude-blind-pixels,object,CROWD,BALL_ELSEWHERE,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,row of spectator heads
G391-048-9402389115e3afde,claude-blind-pixels,object+ball_state,CROWD,BALL_UNCERTAIN,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,several spectator heads; ball not resolvable
G391-052-7ebef5d7a838f981,claude-blind-pixels,object+ball_state,CROWD,BALL_ELSEWHERE,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_UNCERTAIN,seated fans in the stands
G391-055-980ff2dba7d18d20,claude-blind-pixels,object,EQUIPMENT,NO_BALL_VISIBLE,PERSON_OR_APPAREL,EQUIPMENT,NO_BALL_VISIBLE,NO_BALL_VISIBLE,towel over a shoulder in the huddle
G391-058-130ae495aef549f9,claude-blind-pixels,object+ball_state,PERSON_OR_APPAREL,NO_BALL_VISIBLE,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,bench player head and shoulder
G391-062-d4a8da289ddb8d3a,claude-blind-pixels,object,CROWD,BALL_UNCERTAIN,CROWD,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_UNCERTAIN,two seated spectators; ball not resolvable
G391-064-93e8e2e1a8d0f3d0,claude-blind-pixels,object+ball_state,CROWD,NO_BALL_VISIBLE,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,BALL_UNCERTAIN,front-row heads from behind
G391-065-fc8c2f51b3e09060,claude-blind-pixels,object,PERSON_OR_APPAREL,BALL_ELSEWHERE,CROWD,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,BALL_ELSEWHERE,orange jacket on one spectator
G391-067-c2ab8867b5c6c3e5,claude-blind-pixels,object+ball_state,EQUIPMENT,BALL_ELSEWHERE,BALL,EQUIPMENT,BALL_AT_MARKER,BALL_ELSEWHERE,the rim and net at the marker
G391-069-191c53d6006069f3,claude-blind-pixels,object,CROWD,BALL_UNCERTAIN,CROWD,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_UNCERTAIN,two seated fans in the stands
G391-074-bfce8b8a680c2972,claude-blind-pixels,ball_state,PERSON_OR_APPAREL,NO_BALL_VISIBLE,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,standing person behind the camera rigs
G391-075-d9534eed2d98f73d,claude-blind-pixels,ball_state,PERSON_OR_APPAREL,BALL_ELSEWHERE,PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,BALL_ELSEWHERE,bench staff; spare ball held at the sideline
G391-084-e028dd1f5253710d,claude-blind-pixels,object,PERSON_OR_APPAREL,NO_BALL_VISIBLE,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,one blurred spectator head
G391-086-d5c6682e2d4cea6e,claude-blind-pixels,object,CROWD,BALL_ELSEWHERE,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,two seated spectators courtside
