packet_id,field,terra_object,sol_object,terra_ball_state,sol_ball_state,card
G391-002-b502642f589e14fb,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-002-b502642f589e14fb.jpg
G391-004-8a8aac6ec223539c,object,SIGNAGE_OR_GRAPHIC,EQUIPMENT,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-004-8a8aac6ec223539c.jpg
G391-005-31a9a81e0d91527e,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-005-31a9a81e0d91527e.jpg
G391-008-083f13856ff2cfde,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-008-083f13856ff2cfde.jpg
G391-011-de5a42e337ac4782,ball_state,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_UNCERTAIN,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-011-de5a42e337ac4782.jpg
G391-013-7f66205901accdd8,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-013-7f66205901accdd8.jpg
G391-032-6e10c14f63b49908,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-032-6e10c14f63b49908.jpg
G391-048-9402389115e3afde,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-048-9402389115e3afde.jpg
G391-052-7ebef5d7a838f981,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-052-7ebef5d7a838f981.jpg
G391-055-980ff2dba7d18d20,object,PERSON_OR_APPAREL,EQUIPMENT,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-055-980ff2dba7d18d20.jpg
