packet_id,rater,object,ball_state,ball_cx,ball_cy,ball_d,uncertainty,reason
G391-001-ff3aa42486a4c709,terra,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,broadcast logo
G391-002-b502642f589e14fb,terra,CROWD,BALL_ELSEWHERE,701,722,22,MEDIUM,red hat spectator
G391-003-22de936de7013eae,terra,BALL,BALL_AT_MARKER,788,313,34,LOW,ball by basket
G391-004-8a8aac6ec223539c,terra,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,760,815,25,LOW,score graphic
G391-005-31a9a81e0d91527e,terra,CROWD,NO_BALL_VISIBLE,,,,LOW,spectator heads
G391-006-fbce037656b7476a,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,1483,529,32,LOW,defender torso
G391-007-28bb6b34613c6de8,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player ear
G391-008-083f13856ff2cfde,terra,CROWD,BALL_ELSEWHERE,1600,394,24,MEDIUM,bench personnel
G391-009-fae1c6906765c6f4,terra,BALL,BALL_AT_MARKER,1080,409,32,LOW,loose dribble
G391-010-5a247b3f6929f184,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,1209,364,22,MEDIUM,player body
G391-011-de5a42e337ac4782,terra,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,player torso
G391-012-6c235afe2bf5c807,terra,BALL,BALL_AT_MARKER,1509,634,28,LOW,dribbled ball
G391-013-7f66205901accdd8,terra,CROWD,NO_BALL_VISIBLE,,,,LOW,spectator area
G391-014-97c6ae293ba4724d,terra,BALL,BALL_AT_MARKER,366,549,30,LOW,ball held
G391-015-5d9f3f31a9993a33,terra,BALL,BALL_AT_MARKER,358,452,28,LOW,dribbled ball
G391-016-751b0e73b0db6c11,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,nearby hand
G391-017-5fb2a9d7198b04e4,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,spectator ear
G391-018-bdf40c459fe6c87d,terra,BALL,BALL_AT_MARKER,1060,617,28,LOW,ball overhead
G391-019-a9fb52a5966b1a5d,terra,CROWD,BALL_ELSEWHERE,598,699,25,LOW,courtside crowd
G391-020-8321c97b32f685ee,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,coach torso
G391-021-e0ebd92ef6ce8ce8,terra,BALL,BALL_AT_MARKER,212,549,28,LOW,ball held
G391-022-7be0c3a180038105,terra,BALL,BALL_AT_MARKER,300,561,33,LOW,ball dribble
G391-023-cf23f73f0b714540,terra,BALL,BALL_AT_MARKER,1245,512,24,LOW,ball dribble
G391-024-cb3b5d4034a47d91,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,clapping hands
G391-025-88fc83de50cb4e9e,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player jersey
G391-026-72e615f14260c49c,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,blurred face
G391-027-a396b20d33d6c21e,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,938,594,58,LOW,orange shoe
G391-028-84c38b9c70d6642e,terra,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,referee head
G391-029-870cd6855ef094d2,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,blurred person
G391-030-671b7c93ec3e4b5e,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,992,718,28,MEDIUM,player body
G391-031-0e1cc9a704144cf1,terra,BALL,BALL_AT_MARKER,934,716,45,LOW,bouncing ball
G391-032-6e10c14f63b49908,terra,CROWD,BALL_ELSEWHERE,602,656,26,MEDIUM,courtside heads
G391-033-f4abd8a1ace86c60,terra,CROWD,BALL_ELSEWHERE,1440,364,30,MEDIUM,courtside crowd
G391-034-144981d0ab680a2e,terra,BALL,BALL_AT_MARKER,1418,409,36,LOW,ball in hands
G391-035-e8bb6627ec5038d7,terra,CROWD,NO_BALL_VISIBLE,,,,LOW,courtside spectators
G391-001-ff3aa42486a4c709,sol,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,broadcast tournament logo
G391-002-b502642f589e14fb,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,814,870,30,LOW,red spectator cap
G391-003-22de936de7013eae,sol,BALL,BALL_AT_MARKER,832,306,38,LOW,orange ball below rim
G391-004-8a8aac6ec223539c,sol,EQUIPMENT,BALL_ELSEWHERE,812,876,28,LOW,courtside video monitor
