packet_id,frame_key,outcome,reference_label,object,ball_state,resolution,audit_class,distance_720p,threshold_720p,game,section,frame_index
G391-001-ff3aa42486a4c709,a7e94a21efb9d5960a5f068ad3cc17e3312962bb08cb64aafbd7b108463340cc,FALSE_CALL,ABSENT,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,,,0KIBu1jQBL8,0KIBu1jQBL8_s5665,179
G391-002-b502642f589e14fb,0f10333a93b690a10420bb8b30fb96f6699978f52fb28c1a25563c440a034495,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,10.3333,1E5Rw89keTg,1E5Rw89keTg_s312,1376
G391-003-22de936de7013eae,c504b83daebade3fce04c2952e811c49fbb588922a51779b229b1ed5f411d155,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,2.5386,14.6667,50pp-OqYVok,50pp-OqYVok_s1500,955
G391-004-8a8aac6ec223539c,311dcabd8fc06df051cac04a20433cddd8ae920a34ee3f2540859fad02969855,FALSE_CALL,VISIBLE,EQUIPMENT,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_EQUIPMENT,,10.5,50pp-OqYVok,50pp-OqYVok_s1500,3661
G391-005-31a9a81e0d91527e,0161bc9aad42061efbe69ad57cd6cdf3a0cf1b83109cc99762bae9d9a9f74031,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,5U9k1U6nN-g,5U9k1U6nN-g_s1207,3639
G391-006-fbce037656b7476a,88a603090bfcfe4a80920f2a07ffabcce75448d2962c53c0b3ef4579d500ab51,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,10.1667,7WBKNCu3NLU,7WBKNCu3NLU_s90,3222
G391-007-28bb6b34613c6de8,68157217b9610b7502667b0a89bdfe7bbe2c02749cb9905137655c9fe1027f6d,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,8kHt2bFTK6g,8kHt2bFTK6g_s90,2738
G391-008-083f13856ff2cfde,3f21f1ddaf0bf659c0e6b1a2729684e4bf9314a76b2c3fd356f62c5524ca8d68,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,9.6667,9F5q5jCbrMI,9F5q5jCbrMI_s3630,5923
G391-009-fae1c6906765c6f4,25de3240f18a9fb6621995cf4d2c21f200dd5ec715754fd865cedc217627c2d0,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,3.0185,12.5,AIMOY6CoQKI,AIMOY6CoQKI_s4438,3155
G391-010-5a247b3f6929f184,700e6aa694bba2dc7aeb4529c463dcb4f4e9a56ac4e1205821e2b52c82a05096,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,11.3333,G8bPOW37Sp0,G8bPOW37Sp0_s90,3134
