control_id,control_set,rater,tile_index,angle_degrees,state,answered,conversion_ok,span_px,perp_p1,perp_p2,perp_p3,signed_p1,signed_p2,signed_p3,pos_p1,pos_p2,pos_p3,angle_error_deg,passed,fail_reason
G392_QUALIFICATION_001,qualification,terra,2,30.0,VISIBLE,1,1,185.065,0.690,0.149,0.014,0.690,0.149,-0.014,0.1135,0.8846,0.5001,0.167,1,
G392_QUALIFICATION_002,qualification,terra,3,60.0,VISIBLE,1,1,171.172,1.076,1.554,0.815,1.076,1.554,0.815,0.1469,0.8601,0.5071,0.160,1,
G392_QUALIFICATION_003,qualification,terra,4,0.0,VISIBLE,1,1,247.000,0.236,0.236,0.236,0.236,0.236,0.236,-0.0113,1.0179,0.5137,0.000,0,OUTSIDE_FINITE_BAND
G392_QUALIFICATION_004,qualification,terra,5,30.0,VISIBLE,1,1,240.133,0.760,0.837,0.798,0.760,0.837,0.798,0.0045,1.0051,0.5048,0.018,0,OUTSIDE_FINITE_BAND
G392_QUALIFICATION_005,qualification,terra,6,60.0,VISIBLE,1,1,237.777,1.148,1.027,0.145,1.148,-1.027,0.145,0.0061,0.9968,0.4800,0.524,1,
G392_QUALIFICATION_006,qualification,terra,1,0.0,VISIBLE,1,1,210.000,0.194,0.194,0.194,0.194,0.194,0.194,0.1201,0.9951,0.6201,0.000,1,
G392_QUALIFICATION_007,qualification,terra,2,30.0,VISIBLE,1,1,198.093,1.253,0.151,1.184,1.253,0.151,1.184,0.0972,0.9226,0.4967,0.319,1,
G392_QUALIFICATION_008,qualification,terra,3,60.0,VISIBLE,1,1,170.309,1.014,1.992,1.485,1.014,1.992,1.485,0.1444,0.8541,0.5160,0.329,1,
G392_QUALIFICATION_009,qualification,terra,4,0.0,VISIBLE,1,1,200.000,0.664,0.664,0.664,0.664,0.664,0.664,0.0784,0.9117,0.5367,0.000,1,
G392_QUALIFICATION_010,qualification,terra,5,30.0,VISIBLE,1,1,242.866,0.628,0.027,0.667,0.628,-0.027,0.667,-0.0008,1.0112,0.4995,0.155,0,OUTSIDE_FINITE_BAND
G392_QUALIFICATION_011,qualification,terra,6,60.0,VISIBLE,1,1,242.002,1.363,2.518,1.690,1.363,2.518,1.690,-0.0016,1.0067,0.5044,0.273,0,OUTSIDE_FINITE_BAND
G392_QUALIFICATION_012,qualification,terra,1,0.0,VISIBLE,1,1,180.000,0.092,0.092,0.092,-0.092,-0.092,-0.092,0.1195,0.8695,0.4945,0.000,1,
G392_QUALIFICATION_013,qualification,terra,2,30.0,VISIBLE,1,1,239.268,0.752,0.328,0.344,0.752,0.328,-0.344,0.0027,0.9997,0.4865,0.101,1,
G392_QUALIFICATION_014,qualification,terra,3,60.0,VISIBLE,1,1,169.806,0.348,0.460,1.087,0.348,0.460,1.087,0.1517,0.8592,0.5047,0.038,1,
G392_QUALIFICATION_015,qualification,terra,4,0.0,VISIBLE,1,1,198.000,0.831,0.831,0.831,-0.831,-0.831,-0.831,0.0854,0.9104,0.4771,0.000,1,
G392_QUALIFICATION_016,qualification,terra,5,30.0,VISIBLE,1,1,183.199,0.984,0.292,1.285,-0.984,-0.292,-1.285,0.1115,0.8748,0.5260,0.216,1,
G392_QUALIFICATION_017,qualification,terra,6,60.0,VISIBLE,1,1,240.133,0.633,0.556,1.461,0.633,0.556,1.461,0.0005,1.0011,0.5029,0.018,0,OUTSIDE_FINITE_BAND
G392_QUALIFICATION_018,qualification,terra,1,0.0,VISIBLE,1,1,190.000,1.526,1.526,1.526,-1.526,-1.526,-1.526,0.0939,0.8855,0.4897,0.000,1,
G392_QUALIFICATION_019,qualification,terra,2,30.0,VISIBLE,1,1,185.569,0.174,1.233,0.458,0.174,-1.233,-0.458,0.1112,0.8844,0.5649,0.434,1,
G392_QUALIFICATION_020,qualification,terra,3,60.0,VISIBLE,1,1,176.082,26.628,5.383,18.305,26.628,5.383,18.305,0.1764,0.9047,0.5364,6.930,0,PERPENDICULAR
G392_QUALIFICATION_021,qualification,terra,4,0.0,VISIBLE,1,1,241.000,0.975,0.975,0.975,-0.975,-0.975,-0.975,-0.0010,1.0032,0.4907,0.000,0,OUTSIDE_FINITE_BAND
G392_QUALIFICATION_022,qualification,terra,5,30.0,VISIBLE,1,1,191.400,1.099,0.405,1.164,1.099,-0.405,1.164,0.1027,0.9002,0.5115,0.450,1,
G392_QUALIFICATION_023,qualification,terra,6,60.0,VISIBLE,1,1,166.709,1.187,1.934,1.561,1.187,1.934,1.561,0.1433,0.8379,0.4906,0.256,1,
G392_QUALIFICATION_024,qualification,terra,1,0.0,VISIBLE,1,1,195.000,1.224,1.224,1.224,1.224,1.224,1.224,0.0871,0.8996,0.5413,0.000,1,
G392_QUALIFICATION_025,qualification,terra,2,30.0,VISIBLE,1,1,230.671,5.866,0.443,4.539,5.866,0.443,4.539,0.0415,1.0024,0.5403,1.347,0,PERPENDICULAR
G392_QUALIFICATION_026,qualification,terra,3,60.0,VISIBLE,1,1,193.871,2.786,0.559,4.221,2.786,0.559,4.221,0.1022,0.9100,0.5002,0.658,0,PERPENDICULAR
G392_QUALIFICATION_027,qualification,terra,4,0.0,VISIBLE,1,1,238.000,0.140,0.140,0.140,-0.140,-0.140,-0.140,0.0032,0.9949,0.4949,0.000,1,
G392_QUALIFICATION_028,qualification,terra,5,30.0,VISIBLE,1,1,183.576,0.026,2.031,1.735,-0.026,2.031,1.735,0.1164,0.8813,0.4875,0.642,1,
G392_QUALIFICATION_029,qualification,terra,6,60.0,VISIBLE,1,1,193.127,1.025,1.530,2.826,1.025,1.530,2.826,0.0998,0.9045,0.5035,0.150,1,
G392_QUALIFICATION_030,qualification,terra,1,0.0,VISIBLE,1,1,192.010,4.450,6.450,5.450,-4.450,-6.450,-5.450,0.1029,0.9029,0.5029,0.597,0,PERPENDICULAR
G392_QUALIFICATION_001,qualification,sol,2,30.0,VISIBLE,1,1,208.387,0.020,0.913,0.210,0.020,-0.913,-0.210,0.0670,0.9353,0.5487,0.256,1,
G392_QUALIFICATION_002,qualification,sol,3,60.0,VISIBLE,1,1,191.760,0.014,0.152,0.413,0.014,0.152,0.413,0.0962,0.8952,0.5350,0.041,1,
G392_QUALIFICATION_003,qualification,sol,4,0.0,VISIBLE,1,1,195.010,1.236,0.764,0.236,1.236,-0.764,0.236,0.0887,0.9012,0.4845,0.588,1,
G392_QUALIFICATION_004,qualification,sol,5,30.0,VISIBLE,1,1,188.162,0.001,0.095,0.202,0.001,0.095,-0.202,0.1074,0.8914,0.4976,0.029,1,
G392_QUALIFICATION_005,qualification,sol,6,60.0,VISIBLE,1,1,169.307,0.004,0.750,0.123,0.004,-0.750,-0.123,0.1477,0.8531,0.4986,0.255,1,
G392_QUALIFICATION_006,qualification,sol,1,0.0,VISIBLE,1,1,200.000,0.194,0.194,0.194,0.194,0.194,0.194,0.0785,0.9118,0.5368,0.000,1,
G392_QUALIFICATION_007,qualification,sol,2,30.0,VISIBLE,1,1,213.715,1.083,0.919,0.818,1.083,0.919,0.818,0.0543,0.9448,0.5024,0.044,1,
G392_QUALIFICATION_008,qualification,sol,3,60.0,VISIBLE,1,1,193.992,0.452,0.456,0.217,0.452,0.456,0.217,0.0902,0.8985,0.5419,0.001,1,
G392_QUALIFICATION_009,qualification,sol,4,0.0,VISIBLE,1,1,210.000,0.336,0.336,0.336,-0.336,-0.336,-0.336,0.0576,0.9326,0.5367,0.000,1,
