control_id,control_set,seed,source_context,tile_index,offset_x,offset_y,background_tile,background_sha256,angle_degrees,x1,y1,x2,y2,length_px,image,image_sha256
G392_QUALIFICATION_001,qualification,392,G387_001,2,640,0,G387_001_tile2.png,2bd40cf01737e16872529b147acc6deb51dfea25a1396318423bea47fe3ffada,30.0,846.061,391.975,1053.907,511.975,240.000,G392_QUALIFICATION_001.png,e510861d7d21d2e79bfe74a3b848eaa3f5e05e893d009ad0b120977d6e6749c3
G392_QUALIFICATION_002,qualification,392,G387_002,3,1280,0,G387_002_tile3.png,1fb9fd13f66d4c5b1e53bfa0367211c2c3d7d0298198ae6453e55a69b1bbcc5b,60.0,1678.445,165.014,1798.445,372.860,240.000,G392_QUALIFICATION_002.png,6d4cd96213b5a7e52b4a0485a579945df80b4be8b6bff093bcaa63f580249178
G392_QUALIFICATION_003,qualification,392,G387_003,4,0,540,G387_003_tile4.png,b5ff35b4dc264a5218adb6ce7546928e43b603e74e696428882db92b63504ca4,0.0,193.709,1051.236,433.709,1051.236,240.000,G392_QUALIFICATION_003.png,90575a84dcbca74904db8d10e31e12241898a7d5bed1d6f959d6795497c59b7d
G392_QUALIFICATION_004,qualification,392,G387_004,5,640,540,G387_004_tile5.png,1a3239ce89e9e58b372aa070e60e0c4baff2becd144aa990e5834530a4341098,30.0,750.678,713.114,958.524,833.114,240.000,G392_QUALIFICATION_004.png,663242ad69bf19c39cd8a6a36e8ddad7071f2c8e48ea66cc669ced9fea283b59
G392_QUALIFICATION_005,qualification,392,G387_005,6,1280,540,G387_005_tile6.png,0a7280a3e11bd8cc9484afb89b74003fa1ec6a00df95868b60f2b87c9702f9f0,60.0,1469.273,699.304,1589.273,907.150,240.000,G392_QUALIFICATION_005.png,a53b7918836ff184b220cafeb1183e4e933366904aa3a74308509ccbcf1a762d
G392_QUALIFICATION_006,qualification,392,G387_006,1,0,0,G387_006_tile1.png,0f8cde70c80c5759c7c1f8838378216ec30a1995c4fe2d74fcf040de4d77b5f2,0.0,341.171,520.194,581.171,520.194,240.000,G392_QUALIFICATION_006.png,d053dbba8d3958593f279e071f45f7d3d3607cb01e37acf36cdf3d520ee3dc58
G392_QUALIFICATION_007,qualification,392,G387_007,2,640,0,G387_007_tile2.png,178e356ca67066b47f665e8c2284779e38fcfb4e931f04f3c623b826f8b1cd9f,30.0,782.167,331.419,990.013,451.419,240.000,G392_QUALIFICATION_007.png,fbc7aa64df5ff473408ce8d7454a809d70f01a924917f655664c5c4cbcaa5fa6
G392_QUALIFICATION_008,qualification,392,G387_008,3,1280,0,G387_008_tile3.png,a33981c797e7223a5dce821752786cbae2076888744307197e7dea759c5b78d1,60.0,1483.788,268.484,1603.788,476.330,240.000,G392_QUALIFICATION_008.png,d64e0df1654ab0b1cdabcf5715bd1c6656becdb6b7e0e15d858a1d9966660581
G392_QUALIFICATION_009,qualification,392,G387_009,4,0,540,G387_009_tile4.png,3bdeb9af134dd4fa7126b3df723c2897ccfd323bc2223d833350297bea070d79,0.0,201.188,1035.664,441.188,1035.664,240.000,G392_QUALIFICATION_009.png,2fed3187697d4e5c7e688401d41d957eaac34906b6cf425e594d257189c291f2
G392_QUALIFICATION_010,qualification,392,G387_010,5,640,540,G387_010_tile5.png,2301433184ac73d167a42342624e7cec4607d85f2237d072df20e568e5408e53,30.0,736.843,865.635,944.689,985.635,240.000,G392_QUALIFICATION_010.png,e82ff2ab5e986f4ea1c2f04cd55d30af2a4e2f625e811b4776d14ebc8bc9cfc3
G392_QUALIFICATION_011,qualification,392,G387_011,6,1280,540,G387_011_tile6.png,00d1cbf16f92de90fa0a145d45b847540e10bd5eae9baeaf6685325b17f2d357,60.0,1529.010,755.011,1649.010,962.857,240.000,G392_QUALIFICATION_011.png,12cb7505eb770357b5f9ea2fc927eba27207618033bd8f54e91cbca5e418003d
G392_QUALIFICATION_012,qualification,392,G387_012,1,0,0,G387_012_tile1.png,8f52884706650d3716ae18dfe19527b20e8c4223da852f286e2373f2adc13b69,0.0,161.315,42.908,401.315,42.908,240.000,G392_QUALIFICATION_012.png,3d15739dd76a01d8131cce1eea82624ac79619f5cabab912eb97d7d0211a5a68
G392_QUALIFICATION_013,qualification,392,G387_013,2,640,0,G387_013_tile2.png,ef1bdd02e36d4d8c4ed6b6522b21272036db43bd9d804c4c17fff33e96c73183,30.0,921.059,359.325,1128.906,479.325,240.000,G392_QUALIFICATION_013.png,82869a0c9077f4bb5615935d7fc2a84be16722b1cf013ce8023fe346efbda746
G392_QUALIFICATION_014,qualification,392,G387_014,3,1280,0,G387_014_tile3.png,28772069aac28acc1d6a6f91e9899dc4200238e1f20ec9e99d04a05eb00f884e,60.0,1418.493,99.640,1538.493,307.486,240.000,G392_QUALIFICATION_014.png,64bc348b7e31808e7391baaebf2ac311bb2897a757a25ef3de7d50b5cf1c4a14
G392_QUALIFICATION_015,qualification,392,G387_015,4,0,540,G387_015_tile4.png,4c40f347af6421f8bc5e86164c082deb959112101e44629da462e07cdb0e14b0,0.0,159.495,926.169,399.495,926.169,240.000,G392_QUALIFICATION_015.png,c768c9f7a808197a42279d90303daa8dd0c65fb24eadfe9525f866f2109db4a7
G392_QUALIFICATION_016,qualification,392,G387_016,5,640,540,G387_016_tile5.png,b83f09d0341820ffd7530eb708cb93c7bff1013410e73557fbf228ad16c72252,30.0,654.316,878.767,862.162,998.767,240.000,G392_QUALIFICATION_016.png,71c916649c6d55fc778b12ac54501556fcd35ff04ce512483b1296fa2e0682bd
G392_QUALIFICATION_017,qualification,392,G387_017,6,1280,540,G387_017_tile6.png,c951f8e180c7037fa3142f44366a7744b847a0f6921aecb520e93a5f7b3e8904,60.0,1710.390,820.210,1830.390,1028.056,240.000,G392_QUALIFICATION_017.png,dc930f108f4feed2271a40c5e0e3f4572e37fee94838a2edcd30e748d64a4d8f
G392_QUALIFICATION_018,qualification,392,G387_018,1,0,0,G387_018_tile1.png,87e6ef9116c45d63379ac4a7ec9c84a48244fc0ab512c7fa5ba9daedaa703eed,0.0,87.475,222.474,327.475,222.474,240.000,G392_QUALIFICATION_018.png,05a6d34ea868c56f368cc1414743939a5639895acc70c889d3484dd6a46f1b8c
