packet_id,frame_key,game,section,frame_index,call_cx,call_cy,crop_sha256
G394-001-3fb1e72a40dd9805,0996009510971daace753d9ad4ac50e072508cb7b32c81430bd4657683de2ccc,1zPhldjbJnU,1zPhldjbJnU_s5620,1972,386.75,37.07,dcc827fef7f84af7e49c96c2d7b3ac6ffc1c4b2519b9e2df5354bdf60aca1d43
G394-002-b06ea70a3e0ed1a2,6e891db299c229a7369b450f8f6bff2e6d0dd73764f1c482c16ee2ab6595ab81,1zPhldjbJnU,1zPhldjbJnU_s5620,2176,1342.0,513.5,8eecc9095a8b77c404af2a17f77600a731e83499386d9ee866754fd20305acff
G394-003-6b06b54fac750cf8,154e06c69cec129fb39fa418879978049eeec120657c55cfbb52a84a3c8fe2f0,1zPhldjbJnU,1zPhldjbJnU_s5620,3076,425.0,412.5,39b8399e4bf25c988b5d1e2ffa0051d6ab3cad1ffad73e753d541c619d7e320f
G394-004-b4d98c5b3adc1fa8,aa7d6fcc7b2b23c9d0778ac009580c247a7b175aa46b635e85f798571a0c5dd4,1zPhldjbJnU,1zPhldjbJnU_s5620,3676,1454.0,22.812,5e142010cb9646c6ab6e60a523ea4a5111b7fbe99942c2614df0dfa67c17763c
G394-005-6cd00e77ec82782b,23cca1abd53a7a1bb7dd13b7e6b754b9c78ba99cb28f1f8824d7a7cd6fc27f8f,3fT6aYz2N9w,3fT6aYz2N9w_s5086,1456,1425.0,766.5,56a10680a125ec04d08421d0221d2f35fce52a91a6d22b8d30bada373a5124ca
G394-006-f4e83bf83bf50a83,38c098db1bc3f3c5f71a4eb7c3c8bdc3760bc5f32fc28c216b8fcff5f250c1f8,5PNHcMafoX8,5PNHcMafoX8_s4128,2181,1635.0,325.438,f1dd2e444bb422c385575d05a3d4bff618d864977f5c50e0bf739304dd5d7563
G394-007-dc0387c22c618c60,bd522ba09d5864ab560900401fa0813f1470d08a34af3dff09f742798e8c3f57,5PNHcMafoX8,5PNHcMafoX8_s4128,2619,40.75,32.594,9b4cc949005c4802d37b0d5d3f959cbb14ecc504c9b27d98d5013909014ab886
G394-008-6d3a9d4708c86d5a,112ed4453b19cbf257ae9d93a4c0965633127ef7311469a98c06f961716493f1,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,304,1102.0,14.75,b65ed34d8289432ec38a075564a67e6db9a113e1cc438c26959dd7737c3bea2e
G394-009-9809014dc47c711d,d0df4605c11f7e510cc307789366ac52fd7c800292e4bbadde985fc5dde8aedd,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,1472,520.0,26.172,1a61047c1681b81793e17a5690fe9fb261c3246e63e41d516636a337ab18509c
G394-010-e213c83f4772aed6,2643efedef7defc035734cf4ea032d9f4c78e21e93a7506423b386aaaba62890,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,3311,267.5,9.859,20b31b4579c3f7c8287921631734b0ab559dde2d1def31af4f51c3382f661cba
G394-011-e9b33ecadbaae052,9cdc084bdcf0d22a9cde1351295db5a761e613229be52ffd008bf1f1bcb25649,EqseleqhpTk,EqseleqhpTk_s5310,1774,452.0,30.625,514f42fabd19f9b90026802236329a89e82178fec738f698d6e2809ee21df121
G394-012-270828cd1875f934,b84917cdbf318586d4153d6dee73109728d82b3f872b867bd965d482bf79af2c,EqseleqhpTk,EqseleqhpTk_s5310,3010,994.5,449.5,d9d120e287d1bc74a399c1167d3464f6504475355852964ae6ae0450fd7a036c
G394-013-5777f7091678cb1a,d3953152079b8c1095d9894e8d3947a49ee1c51dc1dbf350965345098bee35c7,EqseleqhpTk,EqseleqhpTk_s5310,3457,1830.0,14.781,ee0019ffd85c50f79d6e8b85e7e976a3e37d8a3fc71fed0bc079b3d4240ab7ed
G394-014-fbd21e54420b1867,bd9a83921c8dfef4367c58296f4b001d121c4a1148ad111b2a60371e13ee9dff,EqseleqhpTk,EqseleqhpTk_s5310,3755,337.5,508.5,90e9e00e705fcfabaf515de522f3ce21cfa39616445f55cd23e009d4520c81f5
G394-015-69ca06983979f6b8,4bd2281bab76852367e2ab7c6b4d41e33758104e5839e832d47f0779f097e1ee,EqseleqhpTk,EqseleqhpTk_s5310,3790,161.0,509.0,599d54a5f207ca0d55f03aa825ca6d20964c803cfbbafa70e2a3cc4613d54f61
