epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4985,2.58618,3.61129,1.30726,0,0,0,0,0,0,0,0.000332669,0.000332669,0.0670657
2,124.584,2.1794,2.90176,1.05683,0,0,0,0,0,0,0,0.000600068,0.000600068,0.0339998
3,172.829,2.0051,2.65064,0.98417,0,0,0,0,0,0,0,0.000801467,0.000801467,0.000867869
4,221.165,1.90254,2.39335,0.95993,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,276.16,1.78597,2.24401,0.93385,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,332.244,1.71022,2.12424,0.92292,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,388.004,1.65906,2.04616,0.90989,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,439.852,1.60196,1.97179,0.90473,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,491.238,1.56769,1.91305,0.89111,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
10,563.064,1.56499,1.90443,0.88771,0.62122,0.39609,0.41448,0.21502,1.80136,2.16497,1.08253,0.000109,0.000109,0.000109
