frame,state,raw_rows,unique_players,emitting,section_id
105,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
108,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
111,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
114,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
117,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
120,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
123,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
126,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
129,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
132,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
135,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
138,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
141,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
144,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
147,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
150,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
153,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
156,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
159,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
162,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
165,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
168,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
171,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
174,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
177,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
450,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
453,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
456,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
459,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
462,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
465,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
468,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
471,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
474,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
477,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
480,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
483,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
486,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
489,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
492,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
495,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
498,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
501,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
504,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
507,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
510,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
513,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
516,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
519,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
522,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
