section_id,draw_kind,draw_order,card,native_frame_status,interior_tick,evaluated_ticks,suspended_ticks,overlay_points,measured_width,measured_height,measured_avg_fps,declared_height,declared_fps,source_status,card_sha256,card_bytes
acb-6NGcNkDDK9o_s90,1080p30,0,1080p30_00_acb-6NGcNkDDK9o_s90.jpg,METADATA_ONLY,2094,966,0,2,,,,1080,30.0,ABSENT,d4ea58f6ea59d5e1132df5697dcab8918e458f76f8ffaf0100edf8e0cffde001,7651
cba-8R8t7v2N-zQ_s4176,1080p30,1,1080p30_01_cba-8R8t7v2N-zQ_s4176.jpg,METADATA_ONLY,1683,1000,0,4,,,,1080,30.0,ABSENT,7c34ad0264bb554512084a30c92bdfc684a59ec7f17e2e6b38a2c615451a409d,8099
eurocup-mhi_fuXUPRE_s90,1080p30,2,1080p30_02_eurocup-mhi_fuXUPRE_s90.jpg,METADATA_ONLY,0,0,0,0,,,,1080,30.0,ABSENT,2b545a71d33e47b323987e091b6887ca4e83c0907f1ae4b812ceb440ad300293,5347
fiba-14Mh4JjtLVg_s2738,1080p30,3,1080p30_03_fiba-14Mh4JjtLVg_s2738.jpg,METADATA_ONLY,1500,1000,0,3,,,,1080,30.0,ABSENT,cf9a6dfc652f0f3f4608db82440db1e508ef4a64fdb935481debbdb7895a73ce,7801
fiba-A2W5ZjAgr7M_s6725,1080p30,4,1080p30_04_fiba-A2W5ZjAgr7M_s6725.jpg,METADATA_ONLY,1731,968,0,0,,,,1080,30.0,ABSENT,47e0fb19cb8402c5453503e1ae19adfcb8f7058e32ba50e7228a02358086cce9,7728
fiba-HZw0bbHwHjY_s3910,1080p30,5,1080p30_05_fiba-HZw0bbHwHjY_s3910.jpg,OK,1680,1000,0,0,1920,1080,30.0,1080,30.0,PRESENT,8dde8615416ce69b3ae49f9047f5522b7e2d1329ccffe14cbe10783cbe0b58a1,37321
fiba-UWqS6-hl0W8_s8175,1080p30,6,1080p30_06_fiba-UWqS6-hl0W8_s8175.jpg,OK,1545,851,0,1,1920,1080,30.0,1080,30.0,PRESENT,bccd0b023ce482bf6ac588c7704102f74c91d9a6b2e0abdb6141c126b51d06b8,24470
fiba-jFUMvm_epUE_s5410,1080p30,7,1080p30_07_fiba-jFUMvm_epUE_s5410.jpg,METADATA_ONLY,1590,1000,0,4,,,,1080,30.0,ABSENT,dc0bab7771874e96c165bfb8f7a9aaf79e2ea1b3fab84f440ef92fe77ddbed4d,8093
fiba-tZeqmc_-_sA_s5058,1080p30,8,1080p30_08_fiba-tZeqmc_-_sA_s5058.jpg,METADATA_ONLY,1590,1000,0,7,,,,1080,30.0,ABSENT,e0fe8ab96e3e62e4733d90962935a2b70b65cac1c19272a95a2866930c05c455,8614
lnb-3_eNM4ikjzY_s5466,1080p30,9,1080p30_09_lnb-3_eNM4ikjzY_s5466.jpg,METADATA_ONLY,1680,1000,0,8,,,,1080,29.97002997002997,ABSENT,fb1e1587381ebbfc8cbde951625defb07238d7d8735cd9975f187bf1f05dd978,9214
