frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
0,0.0,,,0,1,0,,
6,0.1,1778,1200,1,1,0,482,73
12,0.2,1778,1200,1,1,0,496,60
18,0.3,1778,1200,1,1,0,511,51
24,0.4,1778,1200,1,1,1,464,411
30,0.5,1778,1200,1,1,0,481,67
36,0.6,1778,1200,1,1,0,484,69
42,0.7,1778,1200,1,1,0,483,81
48,0.8,759,1434,1,1,1,464,411
54,0.9,1228,1279,1,1,1,525,518
60,1.0,1195,1297,1,1,1,520,524
66,1.1,1162,1314,1,1,1,515,530
72,1.2,1130,1331,1,1,1,510,536
78,1.3,1099,1348,1,1,1,505,542
84,1.4,1069,1364,1,1,1,500,548
90,1.5,900,1119,1,1,0,723,92
96,1.6,1208,967,1,1,1,878,391
102,1.7,831,1157,1,1,0,959,44
108,1.8,1167,990,1,1,1,874,400
114,1.9,,,0,1,0,99,105
120,2.0,,,0,1,0,105,103
126,2.1,,,0,1,0,110,95
132,2.2,,,0,1,0,114,87
138,2.3,,,0,1,0,,
144,2.4,,,0,1,0,,
150,2.5,,,0,1,0,,
156,2.6,,,0,1,0,,
162,2.7,835,1053,1,1,0,960,84
168,2.8,1200,853,1,1,1,1098,312
174,2.9,1168,880,1,1,1,1079,326
180,3.0,878,229,1,1,1,1137,261
186,3.1,217,26,1,1,0,248,37
192,3.2,204,10,1,1,0,236,24
198,3.3,194,4,1,1,0,227,19
204,3.4,170,5,1,1,0,203,20
210,3.5,,,0,1,0,190,15
216,3.6,,,0,1,0,,
222,3.7,912,57,1,1,0,1183,67
228,3.8,870,334,1,1,1,1130,385
234,3.9,829,274,1,1,1,1052,308
240,4.0,945,39,1,1,0,1242,47
246,4.1,950,38,1,1,0,1251,46
252,4.2,892,148,1,1,1,1156,169
258,4.3,431,426,1,1,0,465,416
264,4.4,434,424,1,1,0,469,415
270,4.5,438,419,1,1,0,474,410
276,4.6,438,440,1,1,0,474,432
282,4.7,403,589,1,1,1,422,579
288,4.8,404,584,1,1,1,424,574
294,4.9,68,33,1,1,0,105,43
300,5.0,68,33,1,1,0,,
306,5.1,651,152,1,1,0,766,161
312,5.2,645,276,1,1,1,759,289
318,5.3,634,284,1,1,1,743,296
324,5.4,123,288,1,1,0,135,254
330,5.5,137,310,1,1,0,147,274
336,5.6,153,321,1,1,0,162,285
342,5.7,155,293,1,1,0,166,261
348,5.8,155,293,1,1,0,,
354,5.9,155,293,1,1,0,,
360,6.0,233,319,1,1,0,244,290
366,6.1,255,310,1,1,0,268,284
372,6.2,276,302,1,1,0,291,279
378,6.3,286,296,1,1,0,303,274
384,6.4,290,292,1,1,0,307,271
390,6.5,293,290,1,1,0,311,269
396,6.6,299,286,1,1,0,317,266
402,6.7,302,282,1,1,0,321,263
408,6.8,309,277,1,1,0,329,259
414,6.9,317,271,1,1,0,338,254
420,7.0,323,266,1,1,0,345,250
426,7.1,335,256,1,1,0,360,241
432,7.2,350,244,1,1,0,377,231
438,7.3,362,234,1,1,0,391,223
444,7.4,380,221,1,1,0,413,212
450,7.5,394,211,1,1,0,430,204
456,7.6,413,200,1,1,0,453,195
462,7.7,430,190,1,1,0,474,186
468,7.8,447,175,1,1,0,495,173
474,7.9,438,166,1,1,0,484,164
480,8.0,452,158,1,1,0,502,157
486,8.1,471,148,1,1,0,525,149
492,8.2,488,140,1,1,0,547,142
498,8.3,506,131,1,1,0,570,134
504,8.4,523,123,1,1,0,592,127
510,8.5,510,104,1,1,0,576,108
516,8.6,508,104,1,1,0,573,108
522,8.7,507,104,1,1,0,572,108
528,8.8,505,104,1,1,0,570,108
534,8.9,506,106,1,1,0,571,110
540,9.0,504,103,1,1,0,568,107
546,9.1,505,106,1,1,0,569,110
552,9.2,502,106,1,1,0,566,110
558,9.3,503,107,1,1,0,567,111
564,9.4,501,107,1,1,0,564,111
570,9.5,502,107,1,1,0,565,111
576,9.6,500,105,1,1,0,563,109
582,9.7,497,103,1,1,0,560,107
588,9.8,496,102,1,1,0,558,106
594,9.9,494,100,1,1,0,556,104
600,10.0,493,99,1,1,0,555,103
606,10.1,492,94,1,1,0,553,99
612,10.2,488,92,1,1,0,548,97
618,10.3,487,90,1,1,0,547,95
624,10.4,485,88,1,1,0,545,93
630,10.5,484,87,1,1,0,543,92
636,10.6,482,83,1,1,0,541,88
642,10.7,480,81,1,1,0,539,86
648,10.8,478,78,1,1,0,537,83
654,10.9,477,74,1,1,0,535,80
660,11.0,475,71,1,1,0,533,77
666,11.1,473,68,1,1,0,530,74
672,11.2,471,64,1,1,0,528,70
678,11.3,468,60,1,1,0,525,67
684,11.4,465,57,1,1,0,521,64
690,11.5,461,53,1,1,0,517,60
696,11.6,458,48,1,1,0,513,56
702,11.7,455,43,1,1,0,509,51
708,11.8,452,39,1,1,0,506,48
714,11.9,449,36,1,1,0,503,45
720,12.0,446,33,1,1,0,499,42
726,12.1,444,29,1,1,0,497,39
732,12.2,441,29,1,1,0,493,39
738,12.3,439,29,1,1,0,491,39
744,12.4,437,29,1,1,0,488,39
750,12.5,434,29,1,1,0,485,39
756,12.6,432,29,1,1,0,482,39
762,12.7,428,29,1,1,0,478,39
768,12.8,425,31,1,1,0,474,40
774,12.9,421,30,1,1,0,470,40
780,13.0,418,30,1,1,0,466,40
786,13.1,415,29,1,1,0,462,39
792,13.2,412,29,1,1,0,459,39
798,13.3,408,29,1,1,0,454,39
804,13.4,402,29,1,1,0,447,39
810,13.5,397,29,1,1,0,442,39
816,13.6,392,54,1,1,0,435,61
822,13.7,384,56,1,1,0,425,63
828,13.8,377,53,1,1,0,418,60
834,13.9,372,47,1,1,0,412,55
840,14.0,368,42,1,1,0,408,50
846,14.1,363,37,1,1,0,403,46
852,14.2,361,29,1,1,0,401,39
858,14.3,347,29,1,1,0,385,39
864,14.4,346,29,1,1,0,384,39
870,14.5,345,29,1,1,0,383,39
876,14.6,345,29,1,1,0,383,39
882,14.7,345,29,1,1,0,383,39
888,14.8,345,29,1,1,0,383,39
894,14.9,344,29,1,1,0,382,39
900,15.0,344,29,1,1,0,382,39
906,15.1,344,31,1,1,0,382,41
912,15.2,344,31,1,1,0,382,41
918,15.3,343,30,1,1,0,381,40
924,15.4,344,30,1,1,0,382,40
930,15.5,343,30,1,1,0,381,40
936,15.6,344,29,1,1,0,382,39
942,15.7,342,29,1,1,0,380,39
948,15.8,342,30,1,1,0,379,40
954,15.9,340,29,1,1,0,377,39
960,16.0,341,29,1,1,0,379,39
966,16.1,340,29,1,1,0,377,39
972,16.2,341,29,1,1,0,378,39
978,16.3,340,29,1,1,0,377,39
984,16.4,341,29,1,1,0,378,39
990,16.5,339,29,1,1,0,376,39
996,16.6,340,29,1,1,0,377,39
1002,16.7,339,29,1,1,0,376,39
1008,16.8,336,29,1,1,0,373,39
1014,16.9,332,30,1,1,0,368,40
1020,17.0,329,29,1,1,0,365,39
1026,17.1,326,34,1,1,0,362,43
1032,17.2,325,32,1,1,0,361,42
