frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
0,0.0,3678,781,1,1,0
3,0.1,3678,781,1,1,0
6,0.2,3778,719,1,1,0
9,0.3,3778,719,1,1,0
12,0.4,3624,823,1,1,0
15,0.501,3624,823,1,1,0
18,0.601,3608,835,1,1,0
21,0.701,3608,835,1,1,0
24,0.801,3678,782,1,1,0
27,0.901,3678,782,1,1,0
30,1.001,3633,818,1,1,0
33,1.101,3633,817,1,1,0
36,1.201,3634,817,1,1,0
39,1.301,3635,817,1,1,0
42,1.401,3636,816,1,1,0
45,1.502,3637,815,1,1,0
48,1.602,3637,815,1,1,0
51,1.702,3699,773,1,1,0
54,1.802,3699,773,1,1,0
57,1.902,3667,795,1,1,0
60,2.002,3672,792,1,1,0
63,2.102,3679,787,1,1,0
66,2.202,3686,783,1,1,0
69,2.302,3691,779,1,1,0
72,2.402,3696,776,1,1,0
75,2.502,3697,775,1,1,0
78,2.603,3699,774,1,1,0
81,2.703,3698,774,1,1,0
84,2.803,3698,774,1,1,0
87,2.903,3698,774,1,1,0
90,3.003,3698,774,1,1,0
93,3.103,3698,774,1,1,0
96,3.203,3699,774,1,1,0
99,3.303,3699,773,1,1,0
102,3.403,3700,773,1,1,0
105,3.504,3701,772,1,1,0
108,3.604,3702,771,1,1,0
111,3.704,3704,770,1,1,0
114,3.804,3706,769,1,1,0
117,3.904,3709,767,1,1,0
120,4.004,3713,764,1,1,0
123,4.104,3717,761,1,1,0
126,4.204,3721,758,1,1,0
129,4.304,3724,756,1,1,0
132,4.404,3726,755,1,1,0
135,4.505,3727,754,1,1,0
138,4.605,3728,753,1,1,0
141,4.705,3729,753,1,1,0
144,4.805,3730,752,1,1,0
147,4.905,3730,752,1,1,0
150,5.005,3727,754,1,1,0
153,5.105,3725,755,1,1,0
156,5.205,3723,757,1,1,0
159,5.305,3721,758,1,1,0
162,5.405,3719,760,1,1,0
165,5.506,3718,760,1,1,0
168,5.606,,,0,1,0
171,5.706,,,0,1,0
174,5.806,,,0,1,0
177,5.906,,,0,1,0
270,9.009,,,0,1,0
273,9.109,469,58,1,1,0
276,9.209,480,58,1,1,0
279,9.309,490,60,1,1,0
282,9.409,502,60,1,1,0
285,9.51,514,62,1,1,0
288,9.61,526,61,1,1,0
291,9.71,538,64,1,1,0
294,9.81,533,56,1,1,0
297,9.91,545,57,1,1,0
300,10.01,556,56,1,1,0
303,10.11,564,54,1,1,0
306,10.21,567,43,1,1,0
309,10.31,567,52,1,1,0
312,10.41,567,50,1,1,0
315,10.511,568,50,1,1,0
318,10.611,567,49,1,1,0
321,10.711,567,48,1,1,0
324,10.811,575,41,1,1,0
327,10.911,574,40,1,1,0
330,11.011,575,39,1,1,0
333,11.111,576,37,1,1,0
336,11.211,576,35,1,1,0
339,11.311,576,33,1,1,0
342,11.411,576,32,1,1,0
345,11.511,575,32,1,1,0
348,11.612,573,32,1,1,0
351,11.712,568,33,1,1,0
354,11.812,564,33,1,1,0
357,11.912,558,34,1,1,0
360,12.012,555,35,1,1,0
363,12.112,554,36,1,1,0
366,12.212,553,36,1,1,0
369,12.312,554,38,1,1,0
372,12.412,556,42,1,1,0
375,12.513,561,44,1,1,0
378,12.613,567,48,1,1,0
