frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
0,0.0,,,0,1,0,452,155
6,0.1,,,0,1,0,455,151
12,0.2,,,0,1,0,456,147
18,0.3,,,0,1,0,456,143
24,0.4,,,0,1,0,457,142
30,0.5,,,0,1,0,458,140
36,0.601,,,0,1,0,459,138
42,0.701,,,0,1,0,461,136
48,0.801,,,0,1,0,460,136
54,0.901,,,0,1,0,461,135
60,1.001,,,0,1,0,,
66,1.101,,,0,1,0,,
72,1.201,,,0,1,0,,
78,1.301,,,0,1,0,,
84,1.401,,,0,1,0,,
90,1.501,,,0,1,0,,
96,1.602,,,0,1,0,,
102,1.702,,,0,1,0,,
108,1.802,,,0,1,0,,
114,1.902,,,0,1,0,,
120,2.002,,,0,1,0,,
126,2.102,2523,78,1,1,0,459,509
132,2.202,2550,162,1,1,0,451,511
138,2.302,3080,133,1,1,0,469,497
144,2.402,2314,82,1,1,0,446,493
150,2.502,2478,230,1,1,0,438,505
156,2.603,2292,233,1,1,0,426,490
162,2.703,2359,147,1,1,0,441,496
168,2.803,2599,312,1,1,0,435,515
174,2.903,2455,265,1,1,0,432,503
180,3.003,2408,287,1,1,0,426,499
186,3.103,2518,368,1,1,0,422,508
192,3.203,2542,399,1,1,0,419,510
198,3.303,2576,455,1,1,0,413,513
204,3.403,2598,464,1,1,0,413,515
210,3.503,2598,509,1,1,0,406,515
216,3.604,2598,539,1,1,0,401,515
222,3.704,2608,591,1,1,0,393,516
228,3.804,2642,458,1,1,0,417,519
234,3.904,2654,403,1,1,0,426,520
240,4.004,2655,397,1,1,0,427,520
246,4.104,2707,462,1,1,0,421,525
252,4.204,2707,462,1,1,0,421,525
258,4.304,2718,460,1,1,0,422,526
264,4.404,2756,375,1,1,0,437,529
270,4.504,2727,478,1,1,0,420,527
276,4.605,2728,465,1,1,0,422,527
282,4.705,2738,470,1,1,0,422,528
288,4.805,2738,482,1,1,0,420,528
294,4.905,2749,475,1,1,0,422,529
300,5.005,2738,470,1,1,0,422,528
306,5.105,2728,465,1,1,0,422,527
312,5.205,2748,487,1,1,0,420,529
318,5.305,2564,375,1,1,0,424,512
324,5.405,2753,423,1,1,0,430,529
330,5.505,2931,390,1,1,0,447,545
336,5.606,2960,412,1,1,0,446,548
342,5.706,2944,446,1,1,0,440,547
348,5.806,2960,412,1,1,0,446,548
354,5.906,2958,425,1,1,0,444,548
360,6.006,2960,412,1,1,0,446,548
366,6.106,2959,419,1,1,0,445,548
372,6.206,2961,406,1,1,0,447,548
378,6.306,2959,419,1,1,0,445,548
384,6.406,2969,424,1,1,0,445,549
390,6.506,2950,407,1,1,0,446,547
396,6.607,2960,412,1,1,0,446,548
402,6.707,2931,390,1,1,0,447,545
408,6.807,2961,406,1,1,0,447,548
414,6.907,2961,406,1,1,0,447,548
420,7.007,2960,412,1,1,0,446,548
426,7.107,2950,407,1,1,0,446,547
432,7.207,2959,419,1,1,0,445,548
438,7.307,2950,407,1,1,0,446,547
444,7.407,2970,417,1,1,0,446,549
450,7.507,2961,406,1,1,0,447,548
456,7.608,2970,417,1,1,0,446,549
462,7.708,2960,412,1,1,0,446,548
468,7.808,2970,417,1,1,0,446,549
474,7.908,2969,424,1,1,0,445,549
480,8.008,2970,417,1,1,0,446,549
486,8.108,2959,419,1,1,0,445,548
492,8.208,2950,407,1,1,0,446,547
498,8.308,2950,407,1,1,0,446,547
504,8.408,,,0,1,0,446,547
510,8.508,,,0,1,0,446,547
516,8.609,,,0,1,0,446,547
522,8.709,,,0,1,0,446,548
528,8.809,2970,417,1,1,0,446,549
534,8.909,2950,407,1,1,0,446,547
540,9.009,2950,407,1,1,0,446,547
546,9.109,2960,412,1,1,0,446,548
552,9.209,2950,407,1,1,0,446,547
558,9.309,2950,407,1,1,0,446,547
564,9.409,2949,414,1,1,0,445,547
570,9.509,2950,407,1,1,0,446,547
576,9.61,,,0,1,0,446,547
582,9.71,2950,407,1,1,0,446,547
588,9.81,2950,407,1,1,0,446,547
594,9.91,2950,407,1,1,0,446,547
600,10.01,,,0,1,0,446,547
606,10.11,2950,407,1,1,0,446,547
612,10.21,2950,407,1,1,0,446,547
618,10.31,2950,407,1,1,0,446,547
624,10.41,,,0,1,0,446,547
630,10.51,,,0,1,0,446,547
636,10.611,,,0,1,0,446,547
642,10.711,2950,407,1,1,0,446,547
648,10.811,2951,400,1,1,0,447,547
654,10.911,2950,407,1,1,0,446,547
660,11.011,2950,407,1,1,0,446,547
666,11.111,2950,407,1,1,0,446,547
672,11.211,2949,414,1,1,0,445,547
678,11.311,2950,407,1,1,0,446,547
684,11.411,2950,407,1,1,0,446,547
690,11.511,2950,407,1,1,0,446,547
696,11.612,2950,407,1,1,0,446,547
702,11.712,2950,407,1,1,0,446,547
708,11.812,2950,407,1,1,0,446,547
714,11.912,2950,407,1,1,0,446,547
720,12.012,2950,407,1,1,0,446,547
726,12.112,2950,407,1,1,0,446,547
732,12.212,2950,407,1,1,0,446,547
