frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
0,0.0,28,1583,1,1,0
3,0.1,28,1583,1,1,0
6,0.2,,,0,1,0
9,0.3,,,0,1,0
12,0.4,44,1594,1,1,0
15,0.501,44,1594,1,1,0
18,0.601,,,0,1,0
21,0.701,,,0,1,0
24,0.801,25,1577,1,1,0
27,0.901,25,1577,1,1,0
30,1.001,,,0,1,0
33,1.101,,,0,1,0
36,1.201,,,0,1,0
39,1.301,,,0,1,0
42,1.401,,,0,1,0
45,1.502,,,0,1,0
48,1.602,,,0,1,0
51,1.702,,,0,1,0
54,1.802,12,1547,1,1,0
57,1.902,12,1547,1,1,0
60,2.002,,,0,1,0
63,2.102,,,0,1,0
66,2.202,,,0,1,0
69,2.302,,,0,1,0
72,2.402,,,0,1,0
75,2.502,,,0,1,0
78,2.603,,,0,1,0
81,2.703,,,0,1,0
84,2.803,,,0,1,0
87,2.903,,,0,1,0
90,3.003,34,1580,1,1,0
93,3.103,35,1580,1,1,0
96,3.203,35,1580,1,1,0
99,3.303,35,1580,1,1,0
102,3.403,35,1580,1,1,0
105,3.504,35,1580,1,1,0
108,3.604,35,1580,1,1,0
111,3.704,35,1580,1,1,0
114,3.804,35,1580,1,1,0
117,3.904,35,1580,1,1,0
120,4.004,35,1579,1,1,0
123,4.104,34,1579,1,1,0
126,4.204,33,1578,1,1,0
129,4.304,33,1578,1,1,0
132,4.404,,,0,1,0
135,4.505,,,0,1,0
138,4.605,24,1576,1,1,0
141,4.705,24,1576,1,1,0
144,4.805,,,0,1,0
147,4.905,,,0,1,0
150,5.005,,,0,1,0
153,5.105,,,0,1,0
156,5.205,,,0,1,0
159,5.305,,,0,1,0
162,5.405,22,1580,1,1,0
165,5.506,22,1579,1,1,0
168,5.606,22,1579,1,1,0
171,5.706,22,1579,1,1,0
174,5.806,23,1578,1,1,0
177,5.906,23,1578,1,1,0
180,6.006,23,1578,1,1,0
183,6.106,24,1577,1,1,0
186,6.206,24,1577,1,1,0
189,6.306,25,1577,1,1,0
192,6.406,25,1577,1,1,0
195,6.506,25,1577,1,1,0
198,6.607,25,1578,1,1,0
201,6.707,26,1578,1,1,0
204,6.807,26,1578,1,1,0
207,6.907,26,1578,1,1,0
210,7.007,27,1578,1,1,0
213,7.107,28,1579,1,1,0
216,7.207,29,1580,1,1,0
219,7.307,32,1580,1,1,0
222,7.407,34,1581,1,1,0
225,7.508,36,1582,1,1,0
228,7.608,39,1584,1,1,0
231,7.708,41,1585,1,1,0
234,7.808,42,1586,1,1,0
237,7.908,43,1587,1,1,0
240,8.008,43,1588,1,1,0
243,8.108,43,1588,1,1,0
246,8.208,43,1587,1,1,0
249,8.308,44,1587,1,1,0
252,8.408,44,1587,1,1,0
255,8.508,44,1586,1,1,0
258,8.609,43,1586,1,1,0
261,8.709,43,1586,1,1,0
264,8.809,44,1586,1,1,0
267,8.909,45,1585,1,1,0
270,9.009,47,1584,1,1,0
273,9.109,50,1581,1,1,0
276,9.209,51,1579,1,1,0
279,9.309,52,1576,1,1,0
