frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
270,4.505,,,0,1,0
276,4.605,,,0,1,0
282,4.705,555,839,1,1,0
288,4.805,554,839,1,1,0
294,4.905,553,840,1,1,0
300,5.005,551,840,1,1,0
306,5.105,550,839,1,1,0
312,5.205,549,840,1,1,0
318,5.305,547,840,1,1,0
324,5.405,546,840,1,1,0
330,5.506,545,840,1,1,0
336,5.606,546,840,1,1,0
342,5.706,546,840,1,1,0
348,5.806,546,840,1,1,0
354,5.906,547,840,1,1,0
450,7.508,547,840,1,1,0
456,7.608,,,0,1,0
462,7.708,,,0,1,0
468,7.808,1023,1106,1,1,0
474,7.908,973,1091,1,1,0
480,8.008,,,0,1,0
486,8.108,,,0,1,0
492,8.208,,,0,1,0
498,8.308,,,0,1,0
504,8.408,622,843,1,1,0
510,8.508,622,843,1,1,0
516,8.609,615,843,1,1,0
522,8.709,615,843,1,1,0
528,8.809,622,843,1,1,0
534,8.909,624,844,1,1,0
540,9.009,625,844,1,1,0
546,9.109,627,844,1,1,0
552,9.209,626,844,1,1,0
558,9.309,624,844,1,1,0
564,9.409,624,844,1,1,0
570,9.51,584,841,1,1,0
576,9.61,452,828,1,1,1
582,9.71,1962,866,1,1,0
588,9.81,1962,866,1,1,0
594,9.91,636,841,1,1,0
600,10.01,636,841,1,1,0
606,10.11,616,844,1,1,0
612,10.21,616,844,1,1,0
618,10.31,2118,869,1,1,0
624,10.41,2118,869,1,1,0
630,10.511,534,840,1,1,0
636,10.611,534,840,1,1,0
642,10.711,816,818,1,1,0
648,10.811,953,839,1,1,1
654,10.911,632,842,1,1,0
660,11.011,549,829,1,1,1
666,11.111,535,841,1,1,0
672,11.211,535,841,1,1,0
678,11.311,624,842,1,1,0
684,11.411,624,842,1,1,0
690,11.511,767,815,1,1,0
696,11.612,602,828,1,1,1
702,11.712,760,816,1,1,0
708,11.812,785,823,1,1,1
714,11.912,,,0,1,0
720,12.012,,,0,1,0
726,12.112,740,816,1,1,0
732,12.212,815,827,1,1,1
738,12.312,721,816,1,1,0
744,12.412,823,829,1,1,1
750,12.513,,,0,1,0
756,12.613,,,0,1,0
762,12.713,,,0,1,0
768,12.813,,,0,1,0
774,12.913,,,0,1,0
780,13.013,,,0,1,0
786,13.113,,,0,1,0
792,13.213,,,0,1,0
798,13.313,,,0,1,0
804,13.413,,,0,1,0
810,13.514,,,0,1,0
816,13.614,,,0,1,0
822,13.714,,,0,1,0
828,13.814,,,0,1,0
834,13.914,,,0,1,0
840,14.014,,,0,1,0
846,14.114,,,0,1,0
852,14.214,,,0,1,0
858,14.314,,,0,1,0
864,14.414,,,0,1,0
870,14.514,,,0,1,0
876,14.615,,,0,1,0
882,14.715,,,0,1,0
888,14.815,,,0,1,0
894,14.915,,,0,1,0
900,15.015,,,0,1,0
906,15.115,,,0,1,0
912,15.215,356,547,1,1,0
