frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
0,0.0,,,0,1,0,238,105
3,0.1,,,0,1,0,233,101
6,0.2,,,0,1,0,227,97
9,0.3,,,0,1,0,222,93
12,0.4,,,0,1,0,218,90
15,0.501,,,0,1,0,214,89
18,0.601,,,0,1,0,211,86
21,0.701,,,0,1,0,208,83
24,0.801,,,0,1,0,204,80
27,0.901,,,0,1,0,198,77
30,1.001,,,0,1,0,192,72
33,1.101,,,0,1,0,184,66
36,1.201,,,0,1,0,174,58
39,1.301,,,0,1,0,160,48
42,1.401,,,0,1,0,146,37
45,1.502,,,0,1,0,134,29
48,1.602,,,0,1,0,153,43
51,1.702,,,0,1,0,145,29
54,1.802,,,0,1,0,139,42
57,1.902,,,0,1,0,132,36
60,2.002,,,0,1,0,127,29
63,2.102,,,0,1,0,121,29
66,2.202,,,0,1,0,116,29
69,2.302,,,0,1,0,109,29
72,2.402,,,0,1,0,106,29
75,2.502,,,0,1,0,101,29
78,2.603,,,0,1,0,98,29
81,2.703,,,0,1,0,93,29
84,2.803,,,0,1,0,89,30
87,2.903,,,0,1,0,85,29
90,3.003,42,9,1,1,0,81,29
93,3.103,41,10,1,1,0,79,30
96,3.203,40,10,1,1,0,77,31
99,3.303,39,10,1,1,0,76,31
102,3.403,39,11,1,1,0,76,32
105,3.504,39,11,1,1,0,75,32
108,3.604,38,11,1,1,0,73,33
111,3.704,38,12,1,1,0,74,34
114,3.804,38,13,1,1,0,74,36
117,3.904,38,14,1,1,0,74,38
120,4.004,39,14,1,1,0,76,38
123,4.104,38,15,1,1,0,74,40
126,4.204,39,15,1,1,0,75,40
129,4.304,38,16,1,1,0,74,42
132,4.404,38,17,1,1,0,74,44
135,4.505,38,20,1,1,0,74,50
138,4.605,38,25,1,1,0,74,61
141,4.705,39,29,1,1,0,75,68
144,4.805,39,34,1,1,0,75,78
147,4.905,39,39,1,1,0,76,88
150,5.005,39,44,1,1,0,76,99
153,5.105,42,49,1,1,0,80,109
156,5.205,43,54,1,1,0,83,119
159,5.305,44,58,1,1,0,84,127
162,5.405,45,61,1,1,0,86,133
165,5.506,45,62,1,1,0,86,134
168,5.606,45,62,1,1,0,86,134
171,5.706,45,62,1,1,0,86,135
174,5.806,44,61,1,1,0,85,133
177,5.906,43,61,1,1,0,83,132
180,6.006,42,59,1,1,0,80,128
183,6.106,39,57,1,1,0,76,125
186,6.206,37,56,1,1,0,71,122
189,6.306,32,54,1,1,0,61,118
192,6.406,25,53,1,1,0,49,117
195,6.506,18,53,1,1,0,36,116
198,6.607,15,52,1,1,0,29,114
201,6.707,15,56,1,1,0,29,123
204,6.807,15,64,1,1,0,29,139
207,6.907,19,73,1,1,0,38,157
210,7.007,15,70,1,1,0,29,151
213,7.107,19,67,1,1,0,38,144
216,7.207,15,63,1,1,0,29,137
219,7.307,18,61,1,1,0,36,132
222,7.407,15,60,1,1,0,29,130
225,7.508,15,60,1,1,0,29,130
228,7.608,26,58,1,1,0,51,126
231,7.708,25,58,1,1,0,48,127
234,7.808,24,56,1,1,0,47,122
237,7.908,24,56,1,1,0,47,123
240,8.008,24,55,1,1,0,46,121
243,8.108,23,56,1,1,0,44,123
246,8.208,21,52,1,1,0,41,114
249,8.308,19,47,1,1,0,38,105
252,8.408,17,43,1,1,0,34,97
255,8.508,15,42,1,1,0,29,94
258,8.609,15,43,1,1,0,29,97
261,8.709,15,49,1,1,0,29,108
264,8.809,15,49,1,1,0,29,108
267,8.909,15,47,1,1,0,29,104
270,9.009,16,47,1,1,0,31,105
273,9.109,15,51,1,1,0,29,112
276,9.209,15,51,1,1,0,29,113
279,9.309,15,54,1,1,0,30,119
282,9.409,15,56,1,1,0,29,122
285,9.51,15,58,1,1,0,29,127
288,9.61,15,58,1,1,0,29,126
291,9.71,15,59,1,1,0,29,128
294,9.81,15,57,1,1,0,29,125
297,9.91,16,52,1,1,0,32,115
300,10.01,16,44,1,1,0,32,99
303,10.11,28,40,1,1,0,55,91
306,10.21,32,35,1,1,0,61,80
309,10.31,19,31,1,1,0,38,72
312,10.41,21,26,1,1,0,41,62
315,10.511,34,29,1,1,0,65,68
318,10.611,32,28,1,1,0,61,67
321,10.711,29,29,1,1,0,57,69
324,10.811,27,29,1,1,0,53,69
327,10.911,26,30,1,1,0,50,70
330,11.011,25,30,1,1,0,48,71
333,11.111,24,30,1,1,0,46,71
336,11.211,22,29,1,1,0,43,68
339,11.311,22,27,1,1,0,42,65
342,11.411,23,25,1,1,0,44,60
345,11.511,24,22,1,1,0,46,54
348,11.612,23,17,1,1,0,44,45
351,11.712,20,12,1,1,0,39,34
354,11.812,29,9,1,1,0,56,29
357,11.912,34,21,1,1,0,65,52
360,12.012,37,15,1,1,0,71,40
363,12.112,35,11,1,1,0,67,32
366,12.212,46,10,1,1,0,88,31
369,12.312,35,9,1,1,0,67,29
372,12.412,40,20,1,1,0,77,51
375,12.513,36,16,1,1,0,69,43
378,12.613,37,14,1,1,0,71,38
381,12.713,34,10,1,1,0,66,31
384,12.813,45,9,1,1,0,87,29
387,12.913,54,18,1,1,0,103,47
390,13.013,47,11,1,1,0,91,33
393,13.113,36,16,1,1,0,69,43
396,13.213,29,9,1,1,0,57,29
399,13.313,25,16,1,1,0,48,43
402,13.413,26,24,1,1,0,51,59
405,13.514,19,14,1,1,0,37,39
408,13.614,17,12,1,1,0,33,35
411,13.714,28,19,1,1,0,54,48
414,13.814,19,28,1,1,0,38,67
417,13.914,17,17,1,1,0,33,44
420,14.014,15,13,1,1,0,30,36
423,14.114,17,9,1,1,0,34,29
426,14.214,15,21,1,1,0,29,53
429,14.314,16,26,1,1,0,32,62
432,14.414,24,33,1,1,0,46,76
435,14.514,35,30,1,1,0,68,70
438,14.615,36,25,1,1,0,69,61
441,14.715,32,21,1,1,0,62,52
444,14.815,33,19,1,1,0,64,48
447,14.915,35,21,1,1,0,68,52
450,15.015,35,21,1,1,0,74,32
453,15.115,529,228,1,1,0,1015,467
456,15.215,525,226,1,1,0,1006,463
459,15.315,514,233,1,1,0,985,476
462,15.415,503,226,1,1,0,965,462
465,15.515,499,215,1,1,0,957,441
468,15.616,503,204,1,1,0,965,418
471,15.716,498,204,1,1,0,955,418
474,15.816,497,205,1,1,0,953,421
477,15.916,497,209,1,1,0,953,428
480,16.016,494,210,1,1,0,946,430
483,16.116,482,205,1,1,0,924,420
486,16.216,565,405,1,1,1,1086,826
489,16.316,461,471,1,1,0,886,961
492,16.416,527,400,1,1,1,1012,816
495,16.517,605,327,1,1,0,1163,668
498,16.617,593,329,1,1,0,1139,671
501,16.717,588,331,1,1,0,1129,675
504,16.817,586,330,1,1,0,1125,674
507,16.917,579,335,1,1,0,1113,683
510,17.017,573,331,1,1,0,1100,676
513,17.117,572,333,1,1,0,1099,680
516,17.217,579,338,1,1,0,1112,689
519,17.317,635,396,1,1,1,1222,807
522,17.417,627,403,1,1,0,1206,823
525,17.518,610,401,1,1,1,1174,817
528,17.618,660,424,1,1,0,1271,864
531,17.718,672,426,1,1,0,1293,868
534,17.818,675,427,1,1,0,1300,870
537,17.918,678,431,1,1,0,1305,879
540,18.018,636,427,1,1,1,1224,870
543,18.118,572,405,1,1,1,1155,842
546,18.218,327,411,1,1,0,695,856
549,18.318,230,326,1,1,1,500,699
552,18.418,548,351,1,1,0,1099,739
555,18.518,674,353,1,1,1,1344,739
558,18.619,487,121,1,1,0,942,292
561,18.719,415,463,1,1,1,868,952
564,18.819,536,418,1,1,0,1087,866
567,18.919,553,443,1,1,1,1124,914
