frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
0,0.0,,,0,1,0,438,914
3,0.1,,,0,1,0,,
6,0.2,,,0,1,0,428,962
9,0.3,,,0,1,0,,
12,0.4,,,0,1,0,,
15,0.5,,,0,1,0,378,966
18,0.6,,,0,1,0,,
21,0.7,,,0,1,0,1712,354
24,0.8,,,0,1,0,,
27,0.9,4191,241,1,1,0,332,968
30,1.0,4191,241,1,1,0,,
33,1.1,4191,241,1,1,0,,
36,1.2,,,0,1,0,246,966
39,1.3,,,0,1,0,,
42,1.4,,,0,1,0,1766,40
45,1.5,,,0,1,0,1742,43
48,1.6,,,0,1,0,1718,42
51,1.7,,,0,1,0,1702,45
54,1.8,,,0,1,0,1686,48
57,1.9,,,0,1,0,1677,49
60,2.0,,,0,1,0,1662,51
63,2.1,,,0,1,0,1657,55
66,2.2,,,0,1,0,1647,55
69,2.3,,,0,1,0,1648,59
72,2.4,,,0,1,0,1652,70
75,2.5,,,0,1,0,1661,74
78,2.6,,,0,1,0,1679,76
81,2.7,,,0,1,0,1688,78
84,2.8,,,0,1,0,1711,82
87,2.9,,,0,1,0,1725,81
90,3.0,,,0,1,0,1745,78
93,3.1,,,0,1,0,1761,73
96,3.2,,,0,1,0,1784,64
99,3.3,4328,14,1,1,0,1807,55
102,3.4,4344,0,1,1,0,1827,65
105,3.5,,,0,1,0,1850,57
108,3.6,,,0,1,0,1872,64
111,3.7,,,0,1,0,1856,77
114,3.8,,,0,1,0,1878,69
117,3.9,,,0,1,0,1879,45
120,4.0,,,0,1,0,1879,43
123,4.1,,,0,1,0,1879,43
126,4.2,,,0,1,0,1872,47
129,4.3,,,0,1,0,1875,46
132,4.4,,,0,1,0,1879,43
135,4.5,4347,0,1,1,0,1879,42
138,4.6,4345,1,1,1,0,1879,40
141,4.7,4345,1,1,1,0,1879,40
144,4.8,4345,1,1,1,0,1879,40
147,4.9,4345,1,1,1,0,1878,40
150,5.0,4345,1,1,1,0,1879,40
153,5.1,4345,1,1,1,0,1879,40
156,5.2,4345,1,1,1,0,1879,40
159,5.3,4346,0,1,1,0,1879,41
162,5.4,4346,0,1,1,0,1879,41
165,5.5,,,0,1,0,1879,43
168,5.6,,,0,1,0,1879,44
171,5.7,4347,0,1,1,0,1879,42
174,5.8,,,0,1,0,1879,45
177,5.9,,,0,1,0,1879,47
180,6.0,,,0,1,0,1879,50
183,6.1,778,827,1,1,0,1879,55
186,6.2,775,825,1,1,0,1879,58
189,6.3,769,835,1,1,0,1879,63
192,6.4,769,831,1,1,0,1874,68
195,6.5,768,825,1,1,0,1867,73
198,6.6,768,821,1,1,0,1851,83
201,6.7,769,816,1,1,0,1839,90
204,6.8,768,811,1,1,0,1816,97
207,6.9,768,806,1,1,0,1798,102
210,7.0,761,762,1,1,0,1775,110
213,7.1,817,397,1,1,0,1751,116
216,7.2,829,317,1,1,0,1751,112
219,7.3,746,800,1,1,0,1728,118
222,7.4,,,0,1,0,1742,98
225,7.5,,,0,1,0,1720,103
228,7.6,643,773,1,1,0,1709,87
231,7.7,,,0,1,0,1686,96
234,7.8,,,0,1,0,1708,96
237,7.9,641,770,1,1,0,1698,102
240,8.0,730,670,1,1,0,1692,125
243,8.1,844,583,1,1,0,1673,130
246,8.2,645,746,1,1,0,1659,139
249,8.3,,,0,1,0,1655,145
252,8.4,,,0,1,0,1647,153
255,8.5,,,0,1,0,1647,161
258,8.6,,,0,1,0,1647,165
261,8.7,,,0,1,0,1648,165
264,8.8,,,0,1,0,1655,166
267,8.9,,,0,1,0,1658,169
270,9.0,,,0,1,0,1660,171
273,9.1,687,791,1,1,0,1662,171
276,9.2,690,792,1,1,0,1667,172
279,9.3,691,792,1,1,0,1673,177
282,9.4,694,792,1,1,0,1680,184
285,9.5,699,795,1,1,0,1684,191
288,9.6,704,796,1,1,0,1694,197
291,9.7,710,800,1,1,0,1704,195
294,9.8,710,799,1,1,0,1712,198
297,9.9,712,801,1,1,0,1715,202
300,10.0,,,0,1,0,1719,205
303,10.1,,,0,1,0,1720,207
306,10.2,,,0,1,0,1716,215
309,10.3,713,802,1,1,0,1714,216
312,10.4,724,806,1,1,0,1717,221
315,10.5,,,0,1,0,1718,226
318,10.6,735,812,1,1,0,1723,232
321,10.7,739,814,1,1,0,1733,233
324,10.8,746,817,1,1,0,1753,230
327,10.9,756,820,1,1,0,1767,228
330,11.0,772,826,1,1,0,1786,227
333,11.1,781,829,1,1,0,1790,225
336,11.2,787,832,1,1,0,1814,219
339,11.3,798,834,1,1,0,1820,220
342,11.4,804,839,1,1,0,1817,243
345,11.5,804,840,1,1,0,1830,240
348,11.6,,,0,1,0,1853,231
351,11.7,,,0,1,0,1871,227
354,11.8,808,834,1,1,0,1870,249
357,11.9,,,0,1,0,1860,253
360,12.0,,,0,1,0,1839,255
363,12.1,594,752,1,1,0,1825,255
366,12.2,606,757,1,1,0,1805,257
369,12.3,507,717,1,1,0,1792,259
372,12.4,,,0,1,0,1773,258
375,12.5,635,766,1,1,0,1762,257
378,12.6,643,772,1,1,0,1779,249
381,12.7,655,776,1,1,0,1785,248
384,12.8,661,785,1,1,0,1774,226
387,12.9,673,787,1,1,0,1759,225
390,13.0,678,787,1,1,0,1736,223
393,13.1,687,792,1,1,0,1719,225
396,13.2,691,795,1,1,0,1702,226
399,13.3,696,796,1,1,0,1686,229
402,13.4,700,804,1,1,0,1665,226
405,13.5,703,805,1,1,0,1650,228
408,13.6,705,801,1,1,0,1628,232
411,13.7,612,750,1,1,0,1611,235
414,13.8,702,801,1,1,0,1587,240
417,13.9,719,801,1,1,0,1570,242
420,14.0,714,802,1,1,0,1546,242
423,14.1,725,806,1,1,0,1528,242
426,14.2,516,565,1,1,0,1506,244
429,14.3,502,533,1,1,0,1491,245
432,14.4,487,501,1,1,0,1469,246
435,14.5,473,469,1,1,0,1456,247
438,14.6,,,0,1,0,1435,248
441,14.7,,,0,1,0,1421,249
444,14.8,593,755,1,1,0,1400,252
447,14.9,,,0,1,0,1387,253
450,15.0,594,757,1,1,0,1369,254
453,15.1,606,759,1,1,0,1355,255
456,15.2,607,759,1,1,0,1333,259
459,15.3,612,762,1,1,0,1318,261
462,15.4,612,759,1,1,0,1295,265
465,15.5,,,0,1,0,1281,267
468,15.6,,,0,1,0,1260,270
471,15.7,,,0,1,0,1247,272
474,15.8,171,577,1,1,0,1228,277
477,15.9,,,0,1,0,1216,280
480,16.0,,,0,1,0,1200,285
483,16.1,,,0,1,0,1206,289
486,16.2,,,0,1,0,1205,291
489,16.3,385,16,1,1,0,1199,308
492,16.4,385,16,1,1,0,1201,284
495,16.5,424,677,1,1,0,1218,289
498,16.6,390,9,1,1,0,1207,303
501,16.7,383,13,1,1,0,1195,304
504,16.8,373,16,1,1,0,1178,304
507,16.9,367,17,1,1,0,1167,303
510,17.0,359,17,1,1,0,1152,300
513,17.1,354,17,1,1,0,1143,298
516,17.2,348,14,1,1,0,1130,293
519,17.3,344,13,1,1,0,1122,291
522,17.4,337,11,1,1,0,1109,286
525,17.5,333,10,1,1,0,1101,284
528,17.6,327,9,1,1,0,1088,280
531,17.7,323,7,1,1,0,1080,277
534,17.8,318,6,1,1,0,1069,274
537,17.9,314,5,1,1,0,1061,271
540,18.0,309,3,1,1,0,1050,267
543,18.1,305,1,1,1,0,1042,264
546,18.2,,,0,1,0,1033,259
549,18.3,,,0,1,0,1028,256
552,18.4,,,0,1,0,1021,253
555,18.5,,,0,1,0,1016,251
558,18.6,153,570,1,1,0,1011,250
561,18.7,151,567,1,1,0,1006,249
564,18.8,151,568,1,1,0,1001,249
567,18.9,150,569,1,1,0,997,249
570,19.0,149,568,1,1,0,993,248
573,19.1,149,569,1,1,0,990,249
576,19.2,149,569,1,1,0,986,250
579,19.3,148,567,1,1,0,983,249
582,19.4,277,0,1,1,0,979,249
585,19.5,276,0,1,1,0,977,249
588,19.6,275,0,1,1,0,974,248
591,19.7,274,0,1,1,0,972,249
594,19.8,272,1,1,1,0,969,250
597,19.9,271,2,1,1,0,966,250
600,20.0,270,3,1,1,0,963,251
603,20.1,269,4,1,1,0,961,251
606,20.2,267,5,1,1,0,957,252
609,20.3,266,7,1,1,0,955,253
612,20.4,264,8,1,1,0,952,254
615,20.5,264,8,1,1,0,951,254
618,20.6,264,8,1,1,0,951,254
621,20.7,264,8,1,1,0,951,254
624,20.8,264,8,1,1,0,951,254
627,20.9,264,8,1,1,0,951,254
630,21.0,264,8,1,1,0,952,254
633,21.1,264,8,1,1,0,952,254
636,21.2,435,499,1,1,0,953,254
639,21.3,439,500,1,1,0,953,254
642,21.4,443,500,1,1,0,954,254
645,21.5,443,499,1,1,0,955,254
648,21.6,445,500,1,1,0,956,254
651,21.7,454,500,1,1,0,957,253
654,21.8,457,499,1,1,0,959,253
657,21.9,465,499,1,1,0,960,252
660,22.0,,,0,1,0,962,252
663,22.1,,,0,1,0,941,256
666,22.2,,,0,1,0,940,257
669,22.3,,,0,1,0,942,254
672,22.4,,,0,1,0,942,270
675,22.5,,,0,1,0,941,269
678,22.6,,,0,1,0,939,264
681,22.7,,,0,1,0,940,270
684,22.8,,,0,1,0,941,269
687,22.9,,,0,1,0,939,284
690,23.0,,,0,1,0,958,286
693,23.1,,,0,1,0,968,274
696,23.2,,,0,1,0,991,283
699,23.3,,,0,1,0,992,280
702,23.4,,,0,1,0,992,275
705,23.5,,,0,1,0,992,275
708,23.6,,,0,1,0,991,273
711,23.7,,,0,1,0,992,273
714,23.8,,,0,1,0,993,273
717,23.9,,,0,1,0,993,271
810,27.0,,,0,1,0,977,252
813,27.1,,,0,1,0,1001,250
816,27.2,,,0,1,0,1022,263
819,27.3,,,0,1,0,1044,267
822,27.4,609,4,1,1,0,1068,273
825,27.5,618,12,1,1,0,1085,280
828,27.6,627,19,1,1,0,1101,285
831,27.7,630,22,1,1,0,1108,288
834,27.8,634,28,1,1,0,1114,294
837,27.9,633,30,1,1,0,1112,297
840,28.0,632,31,1,1,0,1110,300
843,28.1,630,32,1,1,0,1105,302
846,28.2,624,31,1,1,0,1094,303
849,28.3,619,29,1,1,0,1084,303
852,28.4,610,25,1,1,0,1066,302
855,28.5,604,21,1,1,0,1055,300
858,28.6,596,17,1,1,0,1039,298
861,28.7,588,11,1,1,0,1026,294
864,28.8,,,0,1,0,1005,282
867,28.9,,,0,1,0,987,274
870,29.0,,,0,1,0,965,263
873,29.1,618,500,1,1,0,964,249
876,29.2,,,0,1,0,988,255
879,29.3,,,0,1,0,967,247
882,29.4,,,0,1,0,983,245
885,29.5,,,0,1,0,968,240
888,29.6,,,0,1,0,944,236
891,29.7,,,0,1,0,929,243
894,29.8,,,0,1,0,951,249
897,29.9,,,0,1,0,938,228
900,30.0,,,0,1,0,929,239
903,30.1,,,0,1,0,953,240
906,30.2,599,499,1,1,0,961,228
909,30.3,,,0,1,0,941,220
912,30.4,,,0,1,0,961,212
915,30.5,569,501,1,1,0,956,234
918,30.6,545,503,1,1,0,979,225
921,30.7,547,501,1,1,0,972,226
924,30.8,521,501,1,1,0,960,225
927,30.9,503,499,1,1,0,984,220
930,31.0,486,498,1,1,0,961,212
933,31.1,480,498,1,1,0,948,211
936,31.2,488,491,1,1,0,935,191
939,31.3,492,488,1,1,0,941,186
942,31.4,439,499,1,1,0,917,192
945,31.5,419,499,1,1,0,932,199
948,31.6,,,0,1,0,927,189
951,31.7,,,0,1,0,924,198
954,31.8,,,0,1,0,922,192
957,31.9,,,0,1,0,924,188
960,32.0,,,0,1,0,930,191
963,32.1,439,421,1,1,0,935,182
966,32.2,440,432,1,1,0,915,189
969,32.3,440,432,1,1,0,891,193
972,32.4,440,432,1,1,0,867,196
975,32.5,440,432,1,1,0,867,193
978,32.6,440,432,1,1,0,869,199
981,32.7,440,432,1,1,0,869,201
984,32.8,440,432,1,1,0,867,203
987,32.9,438,426,1,1,0,863,188
990,33.0,,,0,1,0,868,203
993,33.1,,,0,1,0,868,203
996,33.2,,,0,1,0,868,204
999,33.3,,,0,1,0,868,203
1002,33.4,,,0,1,0,869,203
1005,33.5,,,0,1,0,866,204
1008,33.6,,,0,1,0,867,203
1011,33.7,,,0,1,0,866,204
1014,33.8,,,0,1,0,867,203
1017,33.9,,,0,1,0,866,203
1020,34.0,,,0,1,0,867,203
1023,34.1,,,0,1,0,866,203
1026,34.2,,,0,1,0,867,203
1029,34.3,,,0,1,0,866,205
1032,34.4,,,0,1,0,866,204
1035,34.5,,,0,1,0,866,203
1038,34.6,,,0,1,0,865,201
1041,34.7,,,0,1,0,865,203
1044,34.8,,,0,1,0,865,205
1047,34.9,,,0,1,0,864,203
1050,35.0,,,0,1,0,862,204
1053,35.1,,,0,1,0,861,204
1056,35.2,,,0,1,0,863,203
1059,35.3,,,0,1,0,860,201
1062,35.4,,,0,1,0,858,201
1065,35.5,,,0,1,0,859,202
1068,35.6,416,445,1,1,0,847,182
1071,35.7,418,455,1,1,0,857,193
1074,35.8,418,455,1,1,0,834,184
1077,35.9,418,455,1,1,0,825,185
1080,36.0,351,430,1,1,0,821,180
1083,36.1,,,0,1,0,816,175
1086,36.2,326,435,1,1,0,806,170
1089,36.3,326,435,1,1,0,797,168
1092,36.4,609,48,1,1,0,787,168
1095,36.5,609,47,1,1,0,782,168
1098,36.6,607,46,1,1,0,761,162
1101,36.7,607,46,1,1,0,780,165
1104,36.8,609,47,1,1,0,776,165
1107,36.9,610,46,1,1,0,776,165
1110,37.0,612,49,1,1,0,776,164
1113,37.1,,,0,1,0,776,164
1116,37.2,,,0,1,0,780,183
1119,37.3,,,0,1,0,756,180
1122,37.4,,,0,1,0,765,186
1125,37.5,,,0,1,0,763,187
1128,37.6,,,0,1,0,771,187
1131,37.7,325,180,1,1,0,747,191
1134,37.8,325,180,1,1,0,725,202
1137,37.9,,,0,1,0,712,213
1140,38.0,,,0,1,0,710,223
1143,38.1,,,0,1,0,712,228
1146,38.2,274,499,1,1,0,729,225
1149,38.3,,,0,1,0,746,221
1152,38.4,,,0,1,0,769,213
1155,38.5,,,0,1,0,790,200
1158,38.6,306,497,1,1,0,808,183
1161,38.7,310,496,1,1,0,829,170
1164,38.8,,,0,1,0,853,165
1167,38.9,,,0,1,0,877,171
1170,39.0,,,0,1,0,870,148
1173,39.1,,,0,1,0,849,138
1176,39.2,,,0,1,0,833,131
1179,39.3,,,0,1,0,833,123
1182,39.4,,,0,1,0,830,104
1185,39.5,,,0,1,0,853,112
1188,39.6,,,0,1,0,837,93
1191,39.7,,,0,1,0,841,117
1194,39.8,,,0,1,0,817,117
1197,39.9,,,0,1,0,818,135
1200,40.0,,,0,1,0,828,153
1203,40.1,,,0,1,0,806,164
1206,40.2,,,0,1,0,821,159
1209,40.3,,,0,1,0,798,168
1212,40.4,529,431,1,1,0,807,188
1215,40.5,559,422,1,1,0,803,198
1218,40.6,347,355,1,1,0,779,195
1221,40.7,392,351,1,1,0,762,181
1224,40.8,394,362,1,1,0,751,185
1227,40.9,394,362,1,1,0,750,185
1230,41.0,394,362,1,1,0,738,203
1233,41.1,394,362,1,1,0,755,187
1236,41.2,394,362,1,1,0,763,205
1239,41.3,394,362,1,1,0,771,221
1242,41.4,394,362,1,1,0,795,226
1245,41.5,381,347,1,1,0,809,217
1248,41.6,384,156,1,1,0,818,240
1251,41.7,403,302,1,1,0,807,227
1254,41.8,420,240,1,1,0,788,243
1257,41.9,429,235,1,1,0,789,257
1260,42.0,436,215,1,1,0,810,270
1263,42.1,445,196,1,1,0,834,266
1266,42.2,453,176,1,1,0,848,253
1269,42.3,461,156,1,1,0,856,255
1272,42.4,469,137,1,1,0,874,268
1275,42.5,477,117,1,1,0,892,261
1278,42.6,425,500,1,1,0,875,279
1281,42.7,506,420,1,1,0,871,287
1284,42.8,531,449,1,1,0,876,311
1287,42.9,508,2,1,1,0,880,319
1290,43.0,503,50,1,1,0,861,303
1293,43.1,503,1,1,1,0,871,321
1296,43.2,510,9,1,1,0,883,328
1299,43.3,501,9,1,1,0,867,331
1302,43.4,504,62,1,1,0,866,307
1305,43.5,504,62,1,1,0,854,312
1308,43.6,492,0,1,1,0,853,324
1311,43.7,506,13,1,1,0,875,334
1314,43.8,500,10,1,1,0,864,334
1317,43.9,575,471,1,1,0,855,319
1320,44.0,499,13,1,1,0,862,338
1323,44.1,505,20,1,1,0,871,344
1326,44.2,499,32,1,1,0,859,362
1329,44.3,512,31,1,1,0,882,356
1332,44.4,526,38,1,1,0,906,359
1335,44.5,538,39,1,1,0,928,355
1338,44.6,549,54,1,1,0,945,370
1341,44.7,561,56,1,1,0,967,367
1344,44.8,547,48,1,1,0,943,363
1347,44.9,543,60,1,1,0,933,381
1350,45.0,536,43,1,1,0,923,361
1353,45.1,549,44,1,1,0,947,356
1356,45.2,551,54,1,1,0,948,369
1359,45.3,552,71,1,1,0,947,392
1362,45.4,554,67,1,1,0,952,385
1365,45.5,549,73,1,1,0,941,396
1368,45.6,537,78,1,1,0,919,407
1371,45.7,528,82,1,1,0,903,416
1374,45.8,532,90,1,1,0,908,425
1377,45.9,536,104,1,1,0,913,443
1380,46.0,523,92,1,1,0,892,431
1383,46.1,529,78,1,1,0,905,411
1386,46.2,539,84,1,1,0,922,415
1389,46.3,540,99,1,1,0,922,434
1392,46.4,551,113,1,1,0,939,449
1395,46.5,549,105,1,1,0,936,439
1398,46.6,547,120,1,1,0,931,460
1401,46.7,539,125,1,1,0,916,470
1404,46.8,544,112,1,1,0,927,450
1407,46.9,553,126,1,1,0,941,467
1410,47.0,561,132,1,1,0,955,472
1413,47.1,550,131,1,1,0,934,475
1416,47.2,555,149,1,1,0,940,498
1419,47.3,555,139,1,1,0,942,484
1422,47.4,557,124,1,1,0,948,462
1425,47.5,556,139,1,1,0,945,483
1428,47.6,565,155,1,1,0,959,502
1431,47.7,560,161,1,1,0,949,512
