frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
540,9.009,2429,1658,1,1,0
546,9.109,2429,1658,1,1,0
552,9.209,2429,1658,1,1,0
558,9.309,2429,1658,1,1,0
564,9.409,2429,1658,1,1,0
570,9.51,2429,1658,1,1,0
576,9.61,2429,1658,1,1,0
582,9.71,2429,1658,1,1,0
588,9.81,2429,1658,1,1,0
594,9.91,2429,1658,1,1,0
600,10.01,2429,1658,1,1,0
606,10.11,2429,1658,1,1,0
612,10.21,2429,1658,1,1,0
618,10.31,2429,1658,1,1,0
624,10.41,2429,1658,1,1,0
630,10.511,2429,1658,1,1,0
636,10.611,2429,1658,1,1,0
642,10.711,2429,1658,1,1,0
648,10.811,2429,1658,1,1,0
654,10.911,2429,1658,1,1,0
660,11.011,2429,1658,1,1,0
666,11.111,2429,1658,1,1,0
672,11.211,2429,1658,1,1,0
678,11.311,2429,1658,1,1,0
684,11.411,2429,1658,1,1,0
690,11.511,2429,1658,1,1,0
696,11.612,2429,1658,1,1,0
702,11.712,2429,1658,1,1,0
708,11.812,2429,1658,1,1,0
714,11.912,2429,1658,1,1,0
720,12.012,2429,1658,1,1,0
726,12.112,2429,1658,1,1,0
732,12.212,2429,1658,1,1,0
738,12.312,2429,1658,1,1,0
744,12.412,2429,1658,1,1,0
750,12.513,2429,1658,1,1,0
756,12.613,2429,1658,1,1,0
762,12.713,2429,1658,1,1,0
768,12.813,2429,1658,1,1,0
774,12.913,2429,1658,1,1,0
780,13.013,2429,1658,1,1,0
786,13.113,2429,1658,1,1,0
792,13.213,2429,1658,1,1,0
798,13.313,2429,1658,1,1,0
804,13.413,2429,1658,1,1,0
810,13.514,2429,1658,1,1,0
816,13.614,2429,1658,1,1,0
822,13.714,2429,1658,1,1,0
828,13.814,2429,1658,1,1,0
834,13.914,2429,1658,1,1,0
840,14.014,2429,1658,1,1,0
846,14.114,2429,1658,1,1,0
852,14.214,2429,1658,1,1,0
858,14.314,2429,1658,1,1,0
864,14.414,2429,1658,1,1,0
870,14.514,2429,1658,1,1,0
876,14.615,2429,1658,1,1,0
882,14.715,2429,1658,1,1,0
888,14.815,2429,1658,1,1,0
894,14.915,2429,1658,1,1,0
900,15.015,2429,1658,1,1,0
906,15.115,2429,1658,1,1,0
912,15.215,2429,1658,1,1,0
918,15.315,2429,1658,1,1,0
924,15.415,2429,1658,1,1,0
930,15.515,2429,1658,1,1,0
936,15.616,2429,1658,1,1,0
942,15.716,2428,1662,1,1,0
948,15.816,2430,1652,1,1,0
954,15.916,2429,1655,1,1,0
960,16.016,2430,1654,1,1,0
966,16.116,2430,1652,1,1,0
972,16.216,2431,1651,1,1,0
978,16.316,2433,1645,1,1,0
984,16.416,2434,1642,1,1,0
990,16.517,2434,1643,1,1,0
996,16.617,2433,1647,1,1,0
1002,16.717,2434,1643,1,1,0
1008,16.817,2435,1639,1,1,0
1014,16.917,2435,1637,1,1,0
1020,17.017,2436,1636,1,1,0
1026,17.117,2435,1638,1,1,0
1032,17.217,2435,1637,1,1,0
1038,17.317,2434,1638,1,1,0
1044,17.417,2434,1639,1,1,0
1050,17.518,2433,1642,1,1,0
1056,17.618,2434,1642,1,1,0
1062,17.718,2434,1646,1,1,0
1068,17.818,2435,1645,1,1,0
1074,17.918,2436,1649,1,1,0
1080,18.018,2436,1644,1,1,0
1086,18.118,2436,1646,1,1,0
1092,18.218,2437,1642,1,1,0
1098,18.318,2438,1639,1,1,0
1104,18.418,2437,1642,1,1,0
1110,18.518,2437,1647,1,1,0
1116,18.619,2436,1649,1,1,0
1122,18.719,2435,1649,1,1,0
1128,18.819,2436,1646,1,1,0
1134,18.919,2437,1643,1,1,0
1140,19.019,2438,1642,1,1,0
1146,19.119,2439,1642,1,1,0
1152,19.219,2438,1638,1,1,0
1158,19.319,2438,1638,1,1,0
1164,19.419,2438,1635,1,1,0
1170,19.52,2437,1635,1,1,0
1176,19.62,2437,1633,1,1,0
1182,19.72,2437,1633,1,1,0
1188,19.82,2437,1632,1,1,0
1194,19.92,2438,1632,1,1,0
1200,20.02,2438,1631,1,1,0
1206,20.12,2438,1631,1,1,0
1212,20.22,2437,1632,1,1,0
1218,20.32,2438,1632,1,1,0
1224,20.42,2439,1632,1,1,0
1230,20.521,2439,1632,1,1,0
1236,20.621,2439,1633,1,1,0
1242,20.721,2439,1634,1,1,0
1248,20.821,2439,1634,1,1,0
1254,20.921,2438,1634,1,1,0
1260,21.021,2437,1637,1,1,0
1266,21.121,2437,1635,1,1,0
1272,21.221,2436,1635,1,1,0
1278,21.321,2436,1633,1,1,0
1284,21.421,2437,1634,1,1,0
1290,21.521,2436,1634,1,1,0
1296,21.622,2437,1633,1,1,0
1302,21.722,2438,1632,1,1,0
1308,21.822,2437,1632,1,1,0
1314,21.922,2437,1633,1,1,0
1320,22.022,2437,1632,1,1,0
1326,22.122,2438,1632,1,1,0
1332,22.222,2438,1632,1,1,0
1338,22.322,2438,1631,1,1,0
1344,22.422,2439,1632,1,1,0
1350,22.523,2438,1633,1,1,0
1356,22.623,2438,1632,1,1,0
1362,22.723,2439,1634,1,1,0
1368,22.823,2439,1632,1,1,0
1374,22.923,2438,1631,1,1,0
1380,23.023,2438,1631,1,1,0
1386,23.123,2438,1632,1,1,0
1392,23.223,2439,1632,1,1,0
1398,23.323,2439,1631,1,1,0
1404,23.423,2440,1630,1,1,0
1410,23.524,2439,1631,1,1,0
1416,23.624,2439,1631,1,1,0
1422,23.724,2438,1632,1,1,0
1428,23.824,2439,1632,1,1,0
1434,23.924,2440,1631,1,1,0
1440,24.024,2440,1631,1,1,0
1446,24.124,2439,1632,1,1,0
1452,24.224,2439,1631,1,1,0
1458,24.324,2439,1631,1,1,0
1464,24.424,2438,1631,1,1,0
1470,24.524,2438,1631,1,1,0
1476,24.625,2439,1630,1,1,0
1482,24.725,2439,1632,1,1,0
1488,24.825,2439,1631,1,1,0
1494,24.925,2440,1629,1,1,0
1500,25.025,2441,1629,1,1,0
1506,25.125,2442,1628,1,1,0
1512,25.225,2442,1627,1,1,0
1518,25.325,2443,1628,1,1,0
1524,25.425,2444,1626,1,1,0
1530,25.526,2443,1627,1,1,0
1536,25.626,2442,1627,1,1,0
1542,25.726,2441,1628,1,1,0
1548,25.826,2442,1627,1,1,0
1554,25.926,2443,1628,1,1,0
1560,26.026,2442,1628,1,1,0
1566,26.126,2443,1627,1,1,0
1572,26.226,2445,1627,1,1,0
1578,26.326,2448,1627,1,1,0
1584,26.426,2444,1628,1,1,0
1590,26.527,2447,1629,1,1,0
1596,26.627,2446,1628,1,1,0
1602,26.727,2445,1629,1,1,0
1608,26.827,2443,1629,1,1,0
1614,26.927,2442,1629,1,1,0
1710,28.529,2443,1629,1,1,0
1716,28.629,2444,1631,1,1,0
1722,28.729,2448,1634,1,1,0
1728,28.829,2449,1635,1,1,0
1734,28.929,2445,1633,1,1,0
1740,29.029,2445,1631,1,1,0
1746,29.129,2448,1634,1,1,0
1752,29.229,2446,1633,1,1,0
1758,29.329,2445,1634,1,1,0
1764,29.429,2442,1634,1,1,0
1770,29.53,2446,1638,1,1,0
1776,29.63,2448,1647,1,1,0
1782,29.73,2448,1656,1,1,0
1788,29.83,2462,1694,1,1,0
1794,29.93,2451,1680,1,1,0
1800,30.03,2446,1656,1,1,0
1806,30.13,2454,1705,1,1,0
1812,30.23,2399,1504,1,1,0
1818,30.33,2377,1435,1,1,0
1824,30.43,2470,1761,1,1,0
1830,30.53,2394,1486,1,1,0
1836,30.631,2427,1584,1,1,0
1842,30.731,2432,1594,1,1,0
1848,30.831,2431,1602,1,1,0
1854,30.931,2432,1610,1,1,0
1860,31.031,2434,1611,1,1,0
1866,31.131,2435,1611,1,1,0
1872,31.231,2433,1610,1,1,0
1878,31.331,2432,1604,1,1,0
1884,31.431,2430,1607,1,1,0
2160,36.036,2431,1599,1,1,0
2166,36.136,2429,1605,1,1,0
2172,36.236,2430,1597,1,1,0
2178,36.336,2426,1597,1,1,0
2184,36.436,2409,1564,1,1,0
2190,36.537,2409,1564,1,1,0
2196,36.637,2410,1577,1,1,0
2202,36.737,2425,1607,1,1,0
2208,36.837,2428,1605,1,1,0
2214,36.937,2431,1611,1,1,0
2220,37.037,2432,1615,1,1,0
2226,37.137,2432,1618,1,1,0
2232,37.237,2433,1619,1,1,0
2238,37.337,2433,1619,1,1,0
2244,37.437,2433,1619,1,1,0
2250,37.538,2433,1618,1,1,0
2256,37.638,2433,1619,1,1,0
2262,37.738,2434,1617,1,1,0
2268,37.838,2434,1616,1,1,0
2274,37.938,2435,1618,1,1,0
2280,38.038,2434,1619,1,1,0
2286,38.138,2434,1618,1,1,0
2292,38.238,2434,1617,1,1,0
2298,38.338,2435,1617,1,1,0
2304,38.438,2435,1615,1,1,0
2310,38.538,2435,1616,1,1,0
2316,38.639,2435,1617,1,1,0
2322,38.739,2435,1616,1,1,0
2328,38.839,2435,1614,1,1,0
2334,38.939,2435,1614,1,1,0
2340,39.039,2436,1611,1,1,0
2346,39.139,2436,1614,1,1,0
2352,39.239,2436,1615,1,1,0
2358,39.339,2436,1614,1,1,0
2364,39.439,2436,1614,1,1,0
2370,39.54,2436,1616,1,1,0
2376,39.64,2436,1616,1,1,0
2382,39.74,2437,1616,1,1,0
2388,39.84,2437,1616,1,1,0
2394,39.94,2437,1615,1,1,0
2400,40.04,2437,1615,1,1,0
2406,40.14,2437,1615,1,1,0
2412,40.24,2437,1614,1,1,0
2418,40.34,2437,1615,1,1,0
2424,40.44,2437,1614,1,1,0
2430,40.541,2438,1614,1,1,0
2436,40.641,2438,1612,1,1,0
2442,40.741,2437,1614,1,1,0
2448,40.841,2437,1614,1,1,0
2454,40.941,2437,1615,1,1,0
2460,41.041,2438,1613,1,1,0
2466,41.141,2437,1615,1,1,0
2472,41.241,2438,1614,1,1,0
2478,41.341,2438,1615,1,1,0
2484,41.441,2438,1616,1,1,0
2490,41.541,2438,1615,1,1,0
2496,41.642,2438,1614,1,1,0
2502,41.742,2438,1615,1,1,0
2508,41.842,2438,1614,1,1,0
2514,41.942,2437,1614,1,1,0
2520,42.042,2437,1613,1,1,0
2526,42.142,2437,1612,1,1,0
2532,42.242,2437,1610,1,1,0
2538,42.342,2437,1609,1,1,0
2544,42.442,2437,1609,1,1,0
2550,42.543,2436,1611,1,1,0
2556,42.643,2436,1613,1,1,0
2562,42.743,2436,1612,1,1,0
2568,42.843,2435,1614,1,1,0
2574,42.943,2435,1615,1,1,0
2580,43.043,2436,1613,1,1,0
2586,43.143,2436,1613,1,1,0
2592,43.243,2436,1613,1,1,0
2598,43.343,2436,1613,1,1,0
2604,43.443,2436,1612,1,1,0
2610,43.544,2437,1610,1,1,0
2616,43.644,2438,1608,1,1,0
2622,43.744,2439,1606,1,1,0
2628,43.844,2440,1604,1,1,0
2634,43.944,2441,1602,1,1,0
2640,44.044,2441,1602,1,1,0
2646,44.144,2440,1606,1,1,0
2652,44.244,2440,1605,1,1,0
2658,44.344,2441,1601,1,1,0
2664,44.444,2441,1602,1,1,0
2670,44.544,2440,1604,1,1,0
2676,44.645,2441,1600,1,1,0
2682,44.745,2441,1599,1,1,0
2688,44.845,2442,1594,1,1,0
2694,44.945,,,0,1,0
2700,45.045,,,0,1,0
2706,45.145,,,0,1,0
2712,45.245,320,2952,1,1,0
2718,45.345,,,0,1,0
2724,45.445,,,0,1,0
2730,45.546,,,0,1,0
2736,45.646,,,0,1,0
2742,45.746,,,0,1,0
2748,45.846,324,2925,1,1,0
2754,45.946,538,2850,1,1,0
2760,46.046,,,0,1,0
2766,46.146,,,0,1,0
2772,46.246,,,0,1,0
2778,46.346,,,0,1,0
2784,46.446,,,0,1,0
2970,49.55,,,0,1,0
2976,49.65,,,0,1,0
2982,49.75,,,0,1,0
2988,49.85,529,2846,1,1,0
2994,49.95,890,2718,1,1,0
3000,50.05,1131,2632,1,1,0
3006,50.15,1258,2586,1,1,0
3012,50.25,1223,2604,1,1,0
3018,50.35,1353,2569,1,1,0
3024,50.45,1336,2574,1,1,0
3030,50.55,1294,2581,1,1,0
3036,50.651,1348,2557,1,1,0
3042,50.751,1423,2529,1,1,0
3048,50.851,1365,2551,1,1,0
3054,50.951,1466,2515,1,1,0
3600,60.06,1468,2525,1,1,0
3606,60.16,1491,2519,1,1,0
3612,60.26,1473,2523,1,1,0
3618,60.36,1474,2520,1,1,0
3624,60.46,1470,2519,1,1,0
3630,60.56,1463,2518,1,1,0
3636,60.661,1454,2518,1,1,0
3642,60.761,1449,2519,1,1,0
3648,60.861,1454,2516,1,1,0
3654,60.961,1463,2513,1,1,0
3660,61.061,1476,2508,1,1,0
3666,61.161,1489,2504,1,1,0
3672,61.261,1493,2502,1,1,0
3678,61.361,1501,2500,1,1,0
3684,61.461,,,0,1,0
3690,61.562,,,0,1,0
3696,61.662,,,0,1,0
3702,61.762,,,0,1,0
