frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
0,0.0,,,0,1,0
3,0.1,,,0,1,0
6,0.2,1033,755,1,1,0
9,0.3,1033,755,1,1,0
12,0.4,,,0,1,0
15,0.501,,,0,1,0
18,0.601,1013,750,1,1,0
21,0.701,1013,750,1,1,0
24,0.801,569,578,1,1,0
27,0.901,414,502,1,1,1
30,1.001,1008,749,1,1,0
33,1.101,1008,749,1,1,0
36,1.201,715,571,1,1,0
39,1.301,715,571,1,1,0
42,1.401,1003,748,1,1,0
45,1.502,1003,748,1,1,0
48,1.602,424,627,1,1,0
51,1.702,378,615,1,1,1
54,1.802,397,608,1,1,0
57,1.902,378,615,1,1,1
60,2.002,561,698,1,1,0
63,2.102,562,689,1,1,1
66,2.202,393,605,1,1,0
69,2.302,378,615,1,1,1
72,2.402,397,608,1,1,0
75,2.502,378,612,1,1,1
78,2.603,397,608,1,1,0
81,2.703,370,607,1,1,1
84,2.803,393,605,1,1,0
87,2.903,393,605,1,1,0
180,6.006,193,71,1,1,0
183,6.106,882,295,1,1,1
186,6.206,803,88,1,1,0
189,6.306,967,288,1,1,1
192,6.406,719,42,1,1,0
195,6.506,1062,314,1,1,1
198,6.607,797,51,1,1,0
201,6.707,616,428,1,1,1
204,6.807,707,86,1,1,0
207,6.907,745,104,1,1,1
210,7.007,,,0,1,0
213,7.107,,,0,1,0
216,7.207,,,0,1,0
219,7.307,,,0,1,0
222,7.407,,,0,1,0
225,7.508,,,0,1,0
228,7.608,280,31,1,1,0
231,7.708,280,31,1,1,0
234,7.808,690,54,1,1,0
237,7.908,1021,256,1,1,1
240,8.008,825,68,1,1,0
243,8.108,666,401,1,1,1
246,8.208,1290,82,1,1,0
249,8.308,1290,82,1,1,0
252,8.408,1334,100,1,1,0
255,8.508,1348,97,1,1,0
258,8.609,1348,97,1,1,0
261,8.709,,,0,1,0
264,8.809,,,0,1,0
267,8.909,191,26,1,1,0
360,12.012,410,195,1,1,1
363,12.112,415,216,1,1,0
366,12.212,401,150,1,1,1
369,12.312,,,0,1,0
372,12.412,,,0,1,0
375,12.513,,,0,1,0
378,12.613,,,0,1,0
381,12.713,97,58,1,1,0
384,12.813,97,58,1,1,0
387,12.913,497,54,1,1,0
390,13.013,497,54,1,1,0
393,13.113,,,0,1,0
396,13.213,,,0,1,0
399,13.313,581,44,1,1,0
402,13.413,881,144,1,1,1
405,13.514,1263,43,1,1,0
408,13.614,1591,89,1,1,1
411,13.714,,,0,1,0
414,13.814,,,0,1,0
417,13.914,1206,47,1,1,0
420,14.014,1327,75,1,1,1
423,14.114,,,0,1,0
426,14.214,,,0,1,0
429,14.314,1221,0,1,1,0
432,14.414,1221,0,1,1,0
435,14.514,5,27,1,1,0
438,14.615,5,27,1,1,0
441,14.715,1671,95,1,1,0
444,14.815,1671,95,1,1,0
