frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
0,0.0,,,0,1,0,1593,113
3,0.1,,,0,1,0,,
6,0.2,,,0,1,0,1014,158
9,0.3,,,0,1,0,1029,146
12,0.4,,,0,1,0,1037,140
15,0.5,,,0,1,0,1046,121
18,0.6,,,0,1,0,1041,144
21,0.7,,,0,1,0,1054,124
24,0.8,,,0,1,0,1050,147
27,0.9,,,0,1,0,1057,168
30,1.0,,,0,1,0,,
33,1.1,,,0,1,0,1751,859
36,1.2,,,0,1,0,1768,852
39,1.3,,,0,1,0,1754,865
42,1.4,,,0,1,0,1777,874
45,1.5,,,0,1,0,1778,897
48,1.6,,,0,1,0,1784,921
51,1.7,,,0,1,0,1792,906
54,1.8,,,0,1,0,1803,928
57,1.9,,,0,1,0,1822,919
60,2.0,,,0,1,0,,
63,2.1,140,504,1,1,0,812,854
66,2.2,141,502,1,1,0,812,853
69,2.3,141,502,1,1,0,812,853
72,2.4,141,502,1,1,0,812,853
75,2.5,141,502,1,1,0,812,853
78,2.6,141,502,1,1,0,812,853
81,2.7,141,502,1,1,0,812,853
84,2.8,141,502,1,1,0,812,853
87,2.9,141,502,1,1,0,812,853
90,3.0,141,502,1,1,0,812,853
93,3.1,141,502,1,1,0,812,853
96,3.2,141,502,1,1,0,812,853
99,3.3,141,502,1,1,0,812,853
102,3.4,141,502,1,1,0,812,853
105,3.5,141,502,1,1,0,812,853
108,3.6,141,502,1,1,0,812,853
111,3.7,141,502,1,1,0,812,853
114,3.8,141,502,1,1,0,812,853
117,3.9,141,502,1,1,0,812,853
120,4.0,141,502,1,1,0,812,853
123,4.1,141,502,1,1,0,812,853
126,4.2,141,502,1,1,0,812,853
129,4.3,141,502,1,1,0,812,853
132,4.4,142,501,1,1,0,812,852
135,4.5,142,501,1,1,0,812,852
138,4.6,142,501,1,1,0,812,852
141,4.7,142,501,1,1,0,812,852
144,4.8,142,501,1,1,0,812,852
147,4.9,142,501,1,1,0,812,852
150,5.0,142,501,1,1,0,812,852
153,5.1,142,501,1,1,0,812,852
156,5.2,142,501,1,1,0,812,852
159,5.3,142,501,1,1,0,812,852
162,5.4,142,501,1,1,0,812,852
165,5.5,142,501,1,1,0,812,852
168,5.6,142,501,1,1,0,812,852
171,5.7,142,501,1,1,0,812,852
174,5.8,142,501,1,1,0,812,852
177,5.9,142,501,1,1,0,812,852
180,6.0,142,501,1,1,0,812,852
183,6.1,296,483,1,1,0,812,852
186,6.2,296,483,1,1,0,812,852
189,6.3,296,483,1,1,0,812,852
192,6.4,296,483,1,1,0,812,852
195,6.5,296,483,1,1,0,812,852
198,6.6,296,483,1,1,0,812,852
201,6.7,296,483,1,1,0,812,852
