frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
0,0.0,3359,1149,1,1,0,887,265
3,0.1,3718,975,1,1,1,1026,447
6,0.2,3089,1301,1,1,0,982,268
9,0.3,4028,799,1,1,1,1008,430
12,0.4,3089,1301,1,1,0,949,262
15,0.501,4028,799,1,1,1,1008,430
18,0.601,3089,1301,1,1,0,1030,262
21,0.701,4028,799,1,1,1,1008,430
24,0.801,2537,1636,1,1,0,1249,273
27,0.901,2994,1471,1,1,1,1208,393
30,1.001,,,0,1,0,1250,268
33,1.101,,,0,1,0,,
36,1.201,,,0,1,0,889,808
39,1.301,,,0,1,0,873,817
42,1.401,,,0,1,0,,
45,1.502,,,0,1,0,184,823
48,1.602,,,0,1,0,,
51,1.702,,,0,1,0,86,727
54,1.802,,,0,1,0,110,733
57,1.902,3153,946,1,1,0,132,744
60,2.002,,,0,1,0,154,755
63,2.102,,,0,1,0,173,771
66,2.202,,,0,1,0,189,787
69,2.302,,,0,1,0,203,802
72,2.402,,,0,1,0,215,816
75,2.502,4493,263,1,1,0,221,833
78,2.603,4361,333,1,1,0,230,845
81,2.703,4231,398,1,1,0,229,862
84,2.803,4139,445,1,1,0,228,874
87,2.903,4066,482,1,1,0,228,883
90,3.003,82,371,1,1,0,227,887
93,3.103,83,370,1,1,0,228,886
96,3.203,83,369,1,1,0,228,885
99,3.303,84,367,1,1,0,229,883
102,3.403,85,362,1,1,0,228,877
105,3.504,86,357,1,1,0,228,872
108,3.604,87,353,1,1,0,228,868
111,3.704,88,349,1,1,0,228,864
114,3.804,88,345,1,1,0,228,860
117,3.904,90,338,1,1,0,228,852
120,4.004,92,330,1,1,0,228,844
123,4.104,92,323,1,1,0,227,837
126,4.204,93,318,1,1,0,226,832
129,4.304,93,314,1,1,0,225,828
132,4.404,93,312,1,1,0,225,825
135,4.505,93,308,1,1,0,223,821
138,4.605,89,303,1,1,0,217,816
141,4.705,83,297,1,1,0,206,810
144,4.805,67,289,1,1,0,183,802
147,4.905,72,309,1,1,0,195,823
150,5.005,65,324,1,1,0,191,839
153,5.105,67,336,1,1,0,197,851
156,5.205,54,323,1,1,0,176,838
159,5.305,65,332,1,1,0,193,847
162,5.405,54,354,1,1,0,184,870
165,5.506,43,345,1,1,0,168,861
168,5.606,59,354,1,1,0,191,870
171,5.706,60,361,1,1,0,194,877
174,5.806,65,376,1,1,0,205,892
177,5.906,63,398,1,1,0,210,915
180,6.006,74,399,1,1,0,225,916
183,6.106,59,396,1,1,0,203,913
186,6.206,76,394,1,1,0,226,911
189,6.306,57,398,1,1,0,202,915
192,6.406,59,396,1,1,0,204,913
195,6.506,60,391,1,1,0,204,908
198,6.607,57,397,1,1,0,201,914
201,6.707,39,396,1,1,0,177,913
204,6.807,57,395,1,1,0,201,912
207,6.907,67,396,1,1,0,214,913
210,7.007,53,396,1,1,0,195,913
213,7.107,71,394,1,1,0,219,911
216,7.207,53,396,1,1,0,196,913
219,7.307,54,392,1,1,0,196,909
222,7.407,71,396,1,1,0,220,913
225,7.508,54,395,1,1,0,196,912
228,7.608,40,397,1,1,0,179,914
231,7.708,59,394,1,1,0,203,911
234,7.808,53,393,1,1,0,195,910
237,7.908,38,397,1,1,0,176,914
240,8.008,35,395,1,1,0,171,912
243,8.108,37,395,1,1,0,174,912
246,8.208,37,397,1,1,0,175,914
249,8.308,37,397,1,1,0,175,914
252,8.408,37,399,1,1,0,175,916
255,8.508,37,400,1,1,0,176,917
258,8.609,37,397,1,1,0,175,914
261,8.709,37,395,1,1,0,174,912
264,8.809,37,395,1,1,0,174,912
267,8.909,37,397,1,1,0,175,914
270,9.009,37,397,1,1,0,175,914
