frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
0,0.0,2176,1568,1,1,0,1109,207
3,0.1,2179,1569,1,1,0,1112,201
6,0.2,1002,1290,1,1,0,1129,205
9,0.3,570,1163,1,1,0,1119,198
12,0.4,570,1163,1,1,0,1124,194
15,0.5,570,1163,1,1,0,1126,178
18,0.6,570,1163,1,1,0,1131,181
21,0.7,570,1163,1,1,0,1124,188
24,0.8,570,1163,1,1,0,1111,192
27,0.9,570,1163,1,1,0,1097,195
30,1.0,2061,1528,1,1,0,1091,199
33,1.1,2084,1536,1,1,0,1095,198
36,1.2,2000,1582,1,1,1,833,933
39,1.3,2606,1732,1,1,0,695,978
42,1.4,2612,1734,1,1,0,696,971
45,1.5,2613,1734,1,1,0,689,977
48,1.6,2614,1734,1,1,0,678,987
51,1.7,2618,1735,1,1,0,672,989
54,1.8,2626,1737,1,1,0,667,985
57,1.9,2629,1738,1,1,0,661,987
60,2.0,2632,1739,1,1,0,657,988
63,2.1,2621,1736,1,1,0,674,984
66,2.2,2621,1736,1,1,0,,
69,2.3,2847,1797,1,1,0,1240,954
72,2.4,2849,1797,1,1,0,1234,956
75,2.5,2849,1798,1,1,0,1231,956
78,2.6,2849,1797,1,1,0,1236,956
81,2.7,2847,1797,1,1,0,1245,956
84,2.8,2846,1797,1,1,0,1249,956
87,2.9,2844,1796,1,1,0,1258,954
90,3.0,2849,1797,1,1,0,1234,955
93,3.1,2852,1798,1,1,0,1210,953
96,3.2,2855,1799,1,1,0,1195,952
99,3.3,2858,1800,1,1,0,1179,951
102,3.4,2859,1800,1,1,0,1176,952
105,3.5,2855,1799,1,1,0,1200,954
108,3.6,2853,1798,1,1,0,1211,955
111,3.7,2852,1798,1,1,0,1199,945
114,3.8,2855,1799,1,1,0,1196,952
117,3.9,2858,1800,1,1,0,1196,961
120,4.0,2867,1803,1,1,0,1195,985
123,4.1,2861,1801,1,1,0,1219,984
126,4.2,2856,1800,1,1,0,1230,976
129,4.3,2865,1802,1,1,0,1208,987
132,4.4,2862,1802,1,1,0,1223,989
135,4.5,2867,1803,1,1,0,1204,989
138,4.6,2872,1804,1,1,0,1182,989
141,4.7,2875,1805,1,1,0,1159,980
144,4.8,2883,1807,1,1,0,1146,988
147,4.9,2891,1810,1,1,0,1124,989
150,5.0,2882,1807,1,1,0,1147,987
153,5.1,956,1275,1,1,0,1136,986
156,5.2,1120,1324,1,1,0,1130,962
159,5.3,788,1227,1,1,0,1144,976
162,5.4,816,1235,1,1,0,1141,955
165,5.5,872,1252,1,1,0,1133,969
168,5.6,925,1267,1,1,0,1149,952
171,5.7,865,1252,1,1,0,1125,946
174,5.8,919,1267,1,1,0,1117,930
177,5.9,972,1283,1,1,0,1133,922
270,9.0,2848,1796,1,1,0,1153,913
273,9.1,2846,1795,1,1,0,1174,917
276,9.2,2844,1795,1,1,0,1174,913
279,9.3,2844,1795,1,1,0,1176,913
282,9.4,2844,1795,1,1,0,1174,913
285,9.5,2844,1795,1,1,0,1174,913
288,9.6,2844,1795,1,1,0,1174,913
291,9.7,2843,1795,1,1,0,1174,911
294,9.8,2844,1795,1,1,0,1174,913
297,9.9,2844,1795,1,1,0,1174,913
300,10.0,2844,1795,1,1,0,1174,913
303,10.1,2844,1795,1,1,0,1174,913
306,10.2,2843,1795,1,1,0,1174,911
309,10.3,2843,1795,1,1,0,1174,911
312,10.4,2844,1795,1,1,0,1174,913
315,10.5,2844,1795,1,1,0,1174,912
318,10.6,2843,1795,1,1,0,1174,911
321,10.7,2843,1794,1,1,0,1174,910
324,10.8,2843,1794,1,1,0,1174,910
327,10.9,2843,1794,1,1,0,1174,910
330,11.0,2843,1794,1,1,0,1174,910
333,11.1,2843,1794,1,1,0,1174,910
336,11.2,2843,1794,1,1,0,1174,910
339,11.3,2843,1794,1,1,0,1174,910
342,11.4,2843,1794,1,1,0,1174,910
345,11.5,2843,1794,1,1,0,1174,910
348,11.6,2843,1794,1,1,0,1174,910
351,11.7,2843,1794,1,1,0,1174,910
354,11.8,2843,1794,1,1,0,1174,910
357,11.9,2843,1794,1,1,0,1174,910
360,12.0,2843,1794,1,1,0,1174,910
363,12.1,2843,1794,1,1,0,1174,910
366,12.2,2843,1794,1,1,0,1174,910
369,12.3,2843,1794,1,1,0,1174,910
372,12.4,2843,1794,1,1,0,1174,910
375,12.5,2843,1794,1,1,0,1174,910
378,12.6,2843,1794,1,1,0,1174,910
381,12.7,2843,1794,1,1,0,1174,910
384,12.8,2843,1794,1,1,0,1174,910
387,12.9,2843,1794,1,1,0,1174,910
390,13.0,2843,1794,1,1,0,1174,910
393,13.1,2843,1794,1,1,0,1174,910
396,13.2,2843,1794,1,1,0,1174,910
399,13.3,2843,1794,1,1,0,1174,910
402,13.4,2843,1794,1,1,0,1174,910
405,13.5,2843,1794,1,1,0,1174,910
408,13.6,2843,1794,1,1,0,1174,910
411,13.7,2843,1794,1,1,0,1174,910
414,13.8,2843,1794,1,1,0,1174,910
417,13.9,2843,1794,1,1,0,1174,910
420,14.0,2843,1794,1,1,0,1174,910
423,14.1,2843,1794,1,1,0,1174,910
426,14.2,2843,1794,1,1,0,1174,910
429,14.3,2843,1794,1,1,0,1174,910
432,14.4,2843,1794,1,1,0,1174,910
435,14.5,2843,1794,1,1,0,1174,910
438,14.6,2843,1794,1,1,0,1174,910
441,14.7,2843,1794,1,1,0,1174,910
444,14.8,2843,1794,1,1,0,1174,910
447,14.9,2843,1794,1,1,0,1174,910
450,15.0,2843,1794,1,1,0,1174,910
453,15.1,2843,1794,1,1,0,1174,910
456,15.2,2843,1794,1,1,0,1174,910
459,15.3,2843,1794,1,1,0,1174,910
462,15.4,2843,1794,1,1,0,1174,910
465,15.5,2843,1794,1,1,0,1174,910
468,15.6,2843,1794,1,1,0,1174,910
471,15.7,2843,1794,1,1,0,1174,910
474,15.8,2843,1794,1,1,0,1174,910
477,15.9,,,0,1,0,1174,910
480,16.0,2843,1794,1,1,0,1174,910
483,16.1,2843,1794,1,1,0,1174,910
486,16.2,2843,1794,1,1,0,1174,910
