source_rank,attempt_id,object_name,competition,ytid,section,source_sha256,width,height,avg_frame_rate,header_nb_frames,n_packets,n_decoded,first_pts,last_pts,decode_status
1,a04,nba__3MBv6PIsCBg_s1293.mp4,nba,3MBv6PIsCBg,1293,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,1920,1080,721080000/12030017,8012,8012,7793,0.0,130.013211,DECODED
2,a05,nba__3MBv6PIsCBg_s3699.mp4,nba,3MBv6PIsCBg,3699,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,1920,1080,360450000/6013507,8010,7935,7793,0.0,130.013211,DECODED
3,a09,nba__IeaneIKx1Ig_s90.mp4,nba,IeaneIKx1Ig,90,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,1920,1080,176355000/2942189,7838,7838,7793,0.0,130.013211,DECODED
4,a10,nba__IeaneIKx1Ig_s4464.mp4,nba,IeaneIKx1Ig,4464,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,1920,1080,141192000/2355553,7844,7844,7793,0.0,130.013211,DECODED
5,a11,nba__IeaneIKx1Ig_s6651.mp4,nba,IeaneIKx1Ig,6651,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,1920,1080,702810000/11725213,7809,7809,7793,0.0,130.0299,DECODED
6,a12,nba__IeaneIKx1Ig_s11025.mp4,nba,IeaneIKx1Ig,11025,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,1920,1080,733410000/12235723,8149,8149,7793,0.0,129.996533,DECODED
7,a01,ncaa_basketball__-n4iviRLtsU_s90.mp4,ncaa_basketball,-n4iviRLtsU,90,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,1920,1080,355770000/5935429,7906,7906,7793,0.0,129.996533,DECODED
8,a02,ncaa_basketball__-n4iviRLtsU_s2704.mp4,ncaa_basketball,-n4iviRLtsU,2704,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,1920,1080,721080000/12030017,8012,8012,7794,0.0,130.0299,DECODED
9,a03,ncaa_basketball__-n4iviRLtsU_s4011.mp4,ncaa_basketball,-n4iviRLtsU,4011,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,1920,1080,147186000/2455553,8177,8177,7793,0.0,130.013222,DECODED
10,a14,ncaa_basketball__RtiZgPwcwNA_s2720.mp4,ncaa_basketball,RtiZgPwcwNA,2720,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,1920,1080,30000/1001,4044,4044,3897,0.0,130.063267,DECODED
11,a24,ncaa_basketball__iDogCL8td5Q_s2282.mp4,ncaa_basketball,iDogCL8td5Q,2282,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,1920,1080,727290000/12133621,8081,8054,7767,0.0,129.996533,DECODED
12,a06,9sq-YMlIo9Q_s2346.mp4,unlabelled,9sq-YMlIo9Q,2346,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1920,1080,30000/1001,4007,4007,3957,0.0,132.0319,DECODED
13,a13,RIrGQJ_jsGQ_s1410.mp4,unlabelled,RIrGQJ_jsGQ,1410,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,1920,1080,30/1,4051,4051,3991,0.0,133.066667,DECODED
14,a15,UCVSlzgun0o_s2298.mp4,unlabelled,UCVSlzgun0o,2298,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1920,1080,30000/1001,3949,3949,3927,0.0,130.997533,DECODED
15,a16,UzaYBYy3GZg_s1378.mp4,unlabelled,UzaYBYy3GZg,1378,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,1920,1080,30000/1001,4006,3979,3931,0.0,132.098633,DECODED
16,a17,Vm0FqeGo-8g_s1317.mp4,unlabelled,Vm0FqeGo-8g,1317,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1920,1080,30000/1001,3948,3921,3901,0.0,131.0309,DECODED
17,a18,X5w3V6rh26s_s90.mp4,unlabelled,X5w3V6rh26s,90,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1920,1080,30000/1001,4195,4167,4020,0.0,135.0349,DECODED
18,a19,Y1cgaIWW8gk_s1437.mp4,unlabelled,Y1cgaIWW8gk,1437,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1920,1080,30/1,4051,4051,3991,0.0,133.0,DECODED
19,a20,_fl2i6vToTM_s90.mp4,unlabelled,_fl2i6vToTM,90,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,1920,1080,727200000/12132119,8080,7861,7853,0.0,130.997533,DECODED
20,a21,_fl2i6vToTM_s2496.mp4,unlabelled,_fl2i6vToTM,2496,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,1920,1080,710640000/11855843,7896,7896,7853,0.0,130.997533,DECODED
