frame_key,game,section,competition,width,height,sheet_scale,label,cx,cy,diameter,decided_by,source
12a12dda6f5a4f62765428be8935f836151f729cba9f61c501fa76bfd1143a77,spBCthmSgks,nba__spBCthmSgks_s2700.mp4,nba,1280,720,1.0,VISIBLE,872.5,344.5,27.0,ADJUDICATED,g400_stage1
1a65f88cf1520a93f057127cc27bfa43042273dae462952cfd136b533c556ec9,yZ5u2sOpiNU,nba__yZ5u2sOpiNU_s2652.mp4,nba,1920,1080,1.0,VISIBLE,995.0,331.0,23.5,ADJUDICATED,g400_stage1
0746f934c5033313912857a75def3cbcbdb788df30511f21c60d34c00423ac8b,3gBeJyl7Szg,nba__3gBeJyl7Szg_s2302.mp4,nba,1280,720,1.0,VISIBLE,1040.0,371.0,22.0,ADJUDICATED,g400_stage1
0e57a267d711ef73b1298a36a868f8b5d3c6cfffcd3ebcd947835d2a538fa206,pGrVjtS7Xqg,nba__pGrVjtS7Xqg_s3128.mp4,nba,1920,1080,1.0,VISIBLE,1280.0,152.0,30.0,AGREED,g400_stage1
06c833af5a9f2193620e7940ec49b1ee714775ec9802b44615f7e4852c9c348e,FnbFGnX4Qgo,nba__FnbFGnX4Qgo_s2822.mp4,nba,1920,1080,1.0,VISIBLE,688.0,258.0,27.0,ADJUDICATED,g400_stage1
1c5bf1ecfc05baefc75b2badb39851755973658158679cae6140d6acf509b519,H1-Ns9IU-JM,nba__H1-Ns9IU-JM_s2906.mp4,nba,1920,1080,1.0,VISIBLE,1703.0,581.0,27.5,ADJUDICATED,g400_stage1
0e1c3340aa20f8875f6db9f3375803b9503d90de4e8a2e8e688d603f38acbbf5,Ktu6yFS9iMo,nba__Ktu6yFS9iMo_s2532.mp4,nba,1280,720,1.0,VISIBLE,654.5,46.5,25.0,AGREED,g400_stage1
3c7538e1555b95c92a5c1e632e336974262ab6b15fe5794f062371c63ac00575,Ge4uewCFUFQ,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,ncaa_basketball,1280,720,1.0,VISIBLE,1051.5,326.5,22.5,ADJUDICATED,g400_stage1
082ca7619ae6cade00728666b1e288da7dbd0fb12f054903a19e54f9467e46df,7blRl4zVfrY,ncaa_basketball__7blRl4zVfrY_s2356.mp4,ncaa_basketball,1280,720,1.0,VISIBLE,510.75,585.75,32.5,AGREED,g400_stage1
033833a1647685ecd6b012db9b6ca88b76c0048783008491f45ea30ae2241a93,qTXrSRHHR2M,ncaa_basketball__qTXrSRHHR2M_s2262.mp4,ncaa_basketball,1280,720,1.0,VISIBLE,316.75,434.5,20.75,AGREED,g400_stage1
07c32f0c1352ce05c4cb92a4491cd21ab57aac9ab36d4d4b9343407bcd22cfdb,KZK9rv9TnGE,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,ncaa_basketball,1280,720,1.0,VISIBLE,855.5,322.5,24.0,AGREED,g400_stage1
41a51cd4fdf664e3bbbfd0da84ff730956e6b35a18296c00b298be5bbfd4f6a9,jHcR5UxPGuE,basketball__acb-jHcR5UxPGuE_s1393.mp4,acb,1280,720,1.0,VISIBLE,944.0,210.0,20.5,AGREED,g400_stage1
51eea5c7d1aeddf072ee10e051bb5489a2c01631f50bba80c126f16e05d9ef51,OHJgVogFtNE,basketball__acb-OHJgVogFtNE_s2920.mp4,acb,1920,1080,1.0,VISIBLE,1292.0,559.0,28.0,ADJUDICATED,g400_stage1
2a9a56d523ae3dd2c8ec40c0b44b6afd40c1c91c2f2c72702b7c9eda0be9aa27,spBCthmSgks,nba__spBCthmSgks_s2700.mp4,nba,1280,720,1.0,VISIBLE,827.25,78.0,22.75,AGREED,g400_stage1
2537bfcdafca775c6aa63fc446b32a15036587b0bdb6e50feda3fc530cc37f0d,yZ5u2sOpiNU,nba__yZ5u2sOpiNU_s2652.mp4,nba,1920,1080,1.0,VISIBLE,912.5,1027.0,150.0,ADJUDICATED,g400_stage1
