frame_key,rater,round,label,box_x,box_y,box_w,box_h,cx,cy,width,height,reason
3d5a0bd19341d7474eb9199438050413ec8a5d2b9f545a322cfe2422e6ab002a,sol,1,ABSENT,,,,,,,1280,720,player closeup no ball
138e033d63aa5131e292bda284aa6d10092ec7e09b5e4fc48f3ec82f5219ac49,sol,1,ABSENT,,,,,,,1920,1080,player closeup no ball
0abe8cfee64d8785dd7f946e961f3ffd2e1ba5a996a6d167a8aab91c9da5d2d4,sol,1,ABSENT,,,,,,,1920,1080,portrait no game ball
0b011222e482f5ce54b665c69767d1aa42740eff3e217b85ac66c113c9723a17,sol,1,ABSENT,,,,,,,1920,1080,crowd shot no ball
07809652362f91987384405e9c51fea6940afeed400231c7f093ef7ea14d9138,sol,1,ABSENT,,,,,,,1920,1080,player closeup no ball
182e5023504d632abb890b078010582cd0c60d0ea87cec0c2430e687bcf32714,sol,1,ABSENT,,,,,,,1920,1080,players standing no ball
1042d52e1cbc9688492147745ce84a07ceb06cb6d39696f0c09935b6046483b1,sol,1,ABSENT,,,,,,,1920,1080,graphic ball only
03b1809325899f65d68023d84bf9d600f7f860c164c3f7c988da874a64c5174e,sol,1,ABSENT,,,,,,,1920,1080,wide shot no ball
23b1ef6e2b1ea2c84d887cf25e8ab2da2a9bf2c8c5139896e4c96b0241799f1f,sol,1,ABSENT,,,,,,,1920,1080,timeout huddle no ball
12a12dda6f5a4f62765428be8935f836151f729cba9f61c501fa76bfd1143a77,sol,1,VISIBLE,831,284,29,29,845.5,298.5,1280,720,referee holding ball
1a65f88cf1520a93f057127cc27bfa43042273dae462952cfd136b533c556ec9,sol,1,VISIBLE,973,324,24,23,985.0,335.5,1920,1080,ball above shooter hands
2b17699de39421ce6a2b24e934f659f8042f2a084ecf3d8d8f6f8a42d6086f5f,sol,1,ABSENT,,,,,,,1280,720,broadcast graphic no ball
05f397d61bd02ea0eea485196a89649b1eda5cd20110eff32184f1c93fc4df75,sol,1,ABSENT,,,,,,,1920,1080,ball not visible in play
0189696726ffe1d468ce24b965d2b023380ef81c1c88cd093544a7866bcc3a46,sol,1,ABSENT,,,,,,,1920,1080,player closeup no ball
0746f934c5033313912857a75def3cbcbdb788df30511f21c60d34c00423ac8b,sol,1,VISIBLE,1027,356,22,22,1038.0,367.0,1280,720,ball beside dribbler
0e57a267d711ef73b1298a36a868f8b5d3c6cfffcd3ebcd947835d2a538fa206,sol,1,VISIBLE,1265,135,31,31,1280.5,150.5,1920,1080,ball above backboard
29d0046be8b967e949be19019bf9cb46df968745a7dd1ae6b9b391a48d6c52e3,sol,1,ABSENT,,,,,,,1920,1080,challenge graphic no ball
06c833af5a9f2193620e7940ec49b1ee714775ec9802b44615f7e4852c9c348e,sol,1,VISIBLE,897,401,27,27,910.5,414.5,1920,1080,ball near lane player
1c5bf1ecfc05baefc75b2badb39851755973658158679cae6140d6acf509b519,sol,1,VISIBLE,1674,535,27,28,1687.5,549.0,1920,1080,ball beside dribbler
17c2b594ca858921bde630c4f79b07396ac95f3dfc0c410e3217f03ab59b0799,sol,1,VISIBLE,457,269,17,18,465.5,278.0,1280,720,ball held in traffic
0e1c3340aa20f8875f6db9f3375803b9503d90de4e8a2e8e688d603f38acbbf5,sol,1,VISIBLE,642,34,25,25,654.5,46.5,1280,720,ball airborne above court
3c7538e1555b95c92a5c1e632e336974262ab6b15fe5794f062371c63ac00575,sol,1,VISIBLE,1040,315,23,23,1051.5,326.5,1280,720,ball at dribblers hand
25bbe8b42d586538ad7a462e1c9cbb23a0e040051c9266d61ed9de56c6b3dc3d,sol,1,ABSENT,,,,,,,1280,720,player closeup no ball
082ca7619ae6cade00728666b1e288da7dbd0fb12f054903a19e54f9467e46df,sol,1,VISIBLE,495,566,37,36,513.5,584.0,1280,720,ball bouncing near baseline
12261437a3cf37d68762ce14890fb0b0f89d682c0cef38470fdc6b18e751bf63,sol,1,UNKNOWN,,,,,,,1280,720,ball obscured in player cluster
033833a1647685ecd6b012db9b6ca88b76c0048783008491f45ea30ae2241a93,sol,1,VISIBLE,307,426,19,19,316.5,435.5,1280,720,ball held by handler
057f9368228506e76a63dc008a03a35ae7d32f64db094895aca4677a9b994b96,sol,1,ABSENT,,,,,,,1280,720,crowd celebration no ball
0e65af112bdfe9412638ae3f999de34495aef752ac5d84c1e28163428a6d777a,sol,1,VISIBLE,737,203,16,16,745.0,211.0,1280,720,ball above advancing player
07c32f0c1352ce05c4cb92a4491cd21ab57aac9ab36d4d4b9343407bcd22cfdb,sol,1,VISIBLE,844,311,23,23,855.5,322.5,1280,720,ball bouncing at midcourt
0b80a9c5446c2dc44a2af9e5c777885937a1a9c1d9d58c15544948b2974409d9,sol,1,ABSENT,,,,,,,1920,1080,players watching offscreen ball
41a51cd4fdf664e3bbbfd0da84ff730956e6b35a18296c00b298be5bbfd4f6a9,sol,2,VISIBLE,927,202,24,22,939.0,213.0,1280,720,ball above rim
51eea5c7d1aeddf072ee10e051bb5489a2c01631f50bba80c126f16e05d9ef51,sol,2,VISIBLE,1247,536,30,32,1262.0,552.0,1920,1080,ball held at hip
2b2846330888352b3177d549d8813b2354b3e2ad4e8fd5feaff6193a860a531c,sol,2,ABSENT,,,,,,,1920,1080,portrait frame no ball
19515e710e7e8261947e845c3ecd196656295030f4ddfd9fd45f6a95eb09bca1,sol,2,ABSENT,,,,,,,1920,1080,dunk scene no ball visible
2716dc44218a91ff03c2ae818c583c0ea800adec43ca0a258dce3b13e18a627c,sol,2,ABSENT,,,,,,,1920,1080,player closeup no ball
2b4f6c368a81a27c6ac51c2ab8af4b21da20cec4def5672ad5e8f05f00545501,sol,2,ABSENT,,,,,,,1920,1080,player closeup no ball
1304b23cb1fa4b6cd187047742bd3a520b8e944758b86abb464911faba48c0a5,sol,2,ABSENT,,,,,,,1920,1080,broadcast graphic no game ball
2a4d9f8c8208e3bf91bef9ce8851a08d5b6566e243120e977d2510011852aa5d,sol,2,ABSENT,,,,,,,1920,1080,player closeup no ball
39c240e19a625ac1d819fe85d1cad942511cb3c08c0af0dfdb1c8eaae9b87f13,sol,2,ABSENT,,,,,,,1920,1080,timeout bench no ball
2a9a56d523ae3dd2c8ec40c0b44b6afd40c1c91c2f2c72702b7c9eda0be9aa27,sol,2,VISIBLE,815,66,23,21,826.5,76.5,1280,720,ball in flight
2537bfcdafca775c6aa63fc446b32a15036587b0bdb6e50feda3fc530cc37f0d,sol,2,VISIBLE,769,978,239,102,888.5,1029.0,1920,1080,ball held at frame border
3bc321be3c6168ec65d9077261229e229891fbea0a61c47d360ae4a1545cc854,sol,2,ABSENT,,,,,,,1280,720,player closeup no ball
1d2bf98d9be1dd4f8b59b8ce554e8d9545e9db775614f62fe70de5e0ee670e47,sol,2,ABSENT,,,,,,,1920,1080,wide play no ball visible
194783bc010e4781d0e0bb88dba61c304708c47b3a27ecfff7ac23b7028817fe,sol,2,VISIBLE,949,350,25,27,961.5,363.5,1920,1080,ball held near chest
0ef480c1dc0b450f69540f7d403dd41809a4e363f3afe1aa6f8399f886f012a4,sol,2,VISIBLE,229,551,24,25,241.0,563.5,1280,720,ball on dribble
12bed787d4c9f3b1897d6af52758c4fee75ffe366b7c224442bb52c7757c4e59,sol,2,VISIBLE,725,621,30,29,740.0,635.5,1920,1080,ball on dribble
4707c6921618ca6e5e29d9ddc85bb4ee9bba1e3028178798b31e7164d7040de0,sol,2,ABSENT,,,,,,,1920,1080,split closeup no ball
191c03d25116d7ad48ae6d9c4289f7435a39e3081a495d51edc5f76d31654038,sol,2,VISIBLE,953,588,91,101,998.5,638.5,1920,1080,ball held for inbound
21e7d20982ca27d24be926b992c39d706262ad7ce8443959e954f2a8b918b34c,sol,2,VISIBLE,1104,389,32,31,1120.0,404.5,1920,1080,ball on dribble
3caa6b932fb3020efab07332b92f5a4e4fed507c41928fde1b240e5a7ed5c9bc,sol,2,ABSENT,,,,,,,1280,720,team graphic no game ball
5cd4d5db412b7c8f1d2aa44007893284cb7a264ebba138e38be6248572279c17,sol,2,ABSENT,,,,,,,1280,720,player closeup no ball
40cd78f1e635413922331a25f673520a40979096dfe940167a66547a5ae860a4,sol,2,VISIBLE,477,297,23,24,488.5,309.0,1280,720,ball held by passer
472bac9e64a4646a9eefc52f1b9a810c8a41e0afcb06757a64d8653d9682a672,sol,2,ABSENT,,,,,,,1280,720,player closeup no ball
0ccf703fa4e22eaa003182451999539dacc875bc8c4c29fbfc1eeef30a93dfb2,sol,2,UNKNOWN,,,,,,,1280,720,ball obscured in scramble
