draw_kind,section_id,coverage_status,sealed_start_frame,sealed_end_frame_exclusive,bounded_rows,excluded_overrun_rows,rows,candidate_rows,sealed_window_source_frames,all_decoded_frames,decoded_frames_with_candidate,all_evaluated_ticks,evaluated_ticks_with_candidate,zero_output_evaluated_ticks,candidate_rows_per_row,candidate_frames_per_decoded_frame,candidate_ticks_per_evaluated_tick
1080p30,9sq-YMlIo9Q_s2346,COMPLETE,118,418,507,0,507,132,300,300,82,100,82,18,0.260355,0.273333,0.82
720p60,acb-jHcR5UxPGuE_s1393,COMPLETE,232,832,254,61,254,50,600,600,27,85,27,58,0.19685,0.045,0.317647
1080p30,9sq-YMlIo9Q_s90,COMPLETE,234,534,222,152,222,81,300,300,53,70,53,17,0.364865,0.176667,0.757143
720p60,acb-jHcR5UxPGuE_s90,COMPLETE,465,1065,200,0,200,4,600,600,3,100,3,97,0.02,0.005,0.03
1080p30,RIrGQJ_jsGQ_s90,UNKNOWN,363,663,0,0,0,0,300,300,0,0,0,0,,0,
720p60,3gBeJyl7Szg_s2302,COMPLETE,697,1297,598,0,598,79,600,600,62,100,62,38,0.132107,0.103333,0.62
1080p30,UCVSlzgun0o_s2298,COMPLETE,468,768,210,0,210,42,300,300,36,100,36,64,0.2,0.12,0.36
720p60,3gBeJyl7Szg_s90,COMPLETE,930,1530,385,0,385,54,600,600,40,100,40,60,0.14026,0.066667,0.4
1080p30,UCVSlzgun0o_s90,COMPLETE,595,895,297,0,297,18,300,300,17,100,17,83,0.060606,0.056667,0.17
720p60,Kh7Fj4ogPN4_s3606,COMPLETE,1161,1761,379,0,379,55,600,600,41,100,41,59,0.145119,0.068333,0.41
1080p30,UzaYBYy3GZg_s90,COMPLETE,725,1025,305,0,305,33,300,300,32,100,32,68,0.108197,0.106667,0.32
720p60,Kh7Fj4ogPN4_s5950,COMPLETE,1392,1992,281,0,281,90,600,600,53,100,53,47,0.320285,0.088333,0.53
1080p30,Vm0FqeGo-8g_s1317,COMPLETE,819,1119,399,0,399,130,300,300,62,100,62,38,0.325815,0.206667,0.62
720p60,Ktu6yFS9iMo_s2532,COMPLETE,1625,2225,574,0,574,62,600,600,53,100,53,47,0.108014,0.088333,0.53
1080p30,Vm0FqeGo-8g_s90,COMPLETE,968,1268,368,0,368,42,300,300,36,100,36,64,0.11413,0.12,0.36
720p60,Ktu6yFS9iMo_s6195,COMPLETE,1857,2457,393,0,393,23,600,600,16,100,16,84,0.058524,0.026667,0.16
1080p30,X5w3V6rh26s_s90,COMPLETE,1088,1388,345,61,345,90,300,300,46,90,46,44,0.26087,0.153333,0.511111
720p60,L7o4UCIIqS4_s2656,COMPLETE,2089,2689,174,35,174,45,600,600,33,90,33,57,0.258621,0.055,0.366667
1080p30,Y1cgaIWW8gk_s1437,COMPLETE,1191,1491,276,0,276,69,300,300,39,100,39,61,0.25,0.13,0.39
720p60,L7o4UCIIqS4_s5222,COMPLETE,2321,2921,115,0,115,16,600,600,16,100,16,84,0.13913,0.026667,0.16
