draw_kind,section_id,status,sealed_start_frame,sealed_end_frame_exclusive,bounded_rows,excluded_overrun_rows,bounded_evaluated_ticks,excluded_overrun_evaluated_ticks,source_decoded_frames_in_window,sealed_window_source_frames,window_overrun_frames,producer_attempted_ticks,receipt_evaluated_ticks,trace_attempt_ticks,receipt_equals_trace,trace_subset_of_receipt,emitting_ticks,zero_output_evaluated_ticks,suspended_rows,rows,receipt_only_ticks,trace_only_ticks,schedule
1080p30,9sq-YMlIo9Q_s2346,COMPLETE,118,418,507,0,100,0,300,300,0,100,100,100,1,1,100,0,0,507,0,0,COMPLETE
720p60,acb-jHcR5UxPGuE_s1393,COMPLETE,232,832,254,61,85,15,600,600,0,115,85,85,1,1,53,32,17,254,0,0,COMPLETE
1080p30,9sq-YMlIo9Q_s90,COMPLETE,234,534,222,152,70,30,300,300,0,130,70,70,1,1,69,1,0,222,0,0,COMPLETE
720p60,acb-jHcR5UxPGuE_s90,COMPLETE,465,1065,200,0,100,0,600,600,0,100,100,100,1,1,100,0,0,200,0,0,COMPLETE
720p60,3gBeJyl7Szg_s2302,COMPLETE,697,1297,598,0,100,0,600,600,0,100,100,100,1,1,100,0,0,598,0,0,COMPLETE
1080p30,UCVSlzgun0o_s2298,COMPLETE,468,768,210,0,100,0,300,300,0,100,100,100,1,1,98,2,0,210,0,0,COMPLETE
720p60,3gBeJyl7Szg_s90,COMPLETE,930,1530,385,0,100,0,600,600,0,100,100,100,1,1,95,5,0,385,0,0,COMPLETE
1080p30,UCVSlzgun0o_s90,COMPLETE,595,895,297,0,100,0,300,300,0,100,100,100,1,1,97,3,0,297,0,0,COMPLETE
720p60,Kh7Fj4ogPN4_s3606,COMPLETE,1161,1761,379,0,100,0,600,600,0,100,100,100,1,1,100,0,75,379,0,0,COMPLETE
1080p30,UzaYBYy3GZg_s90,COMPLETE,725,1025,305,0,100,0,300,300,0,100,100,100,1,1,100,0,0,305,0,0,COMPLETE
720p60,Kh7Fj4ogPN4_s5950,COMPLETE,1392,1992,281,0,100,0,600,600,0,100,100,100,1,1,100,0,0,281,0,0,COMPLETE
1080p30,Vm0FqeGo-8g_s1317,COMPLETE,819,1119,399,0,100,0,300,300,0,100,100,100,1,1,73,27,0,399,0,0,COMPLETE
720p60,Ktu6yFS9iMo_s2532,COMPLETE,1625,2225,574,0,100,0,600,600,0,100,100,100,1,1,100,0,0,574,0,0,COMPLETE
1080p30,Vm0FqeGo-8g_s90,COMPLETE,968,1268,368,0,100,0,300,300,0,100,100,100,1,1,100,0,0,368,0,0,COMPLETE
720p60,Ktu6yFS9iMo_s6195,COMPLETE,1857,2457,393,0,100,0,600,600,0,100,100,100,1,1,100,0,0,393,0,0,COMPLETE
1080p30,X5w3V6rh26s_s90,COMPLETE,1088,1388,345,61,90,10,300,300,0,130,90,90,1,1,81,9,0,345,0,0,COMPLETE
720p60,L7o4UCIIqS4_s2656,COMPLETE,2089,2689,174,35,90,10,600,600,0,115,90,90,1,1,73,17,25,174,0,0,COMPLETE
1080p30,Y1cgaIWW8gk_s1437,COMPLETE,1191,1491,276,0,100,0,300,300,0,100,100,100,1,1,65,35,0,276,0,0,COMPLETE
720p60,L7o4UCIIqS4_s5222,COMPLETE,2321,2921,115,0,100,0,600,600,0,100,100,100,1,1,69,31,0,115,0,0,COMPLETE
1080p30,Y1cgaIWW8gk_s2784,COMPLETE,1331,1631,454,0,100,0,300,300,0,100,100,100,1,1,100,0,141,454,0,0,COMPLETE
720p60,oL9Uaie2v2A_s2438,COMPLETE,2553,3153,124,543,25,75,600,600,0,175,25,25,1,1,25,0,0,124,0,0,COMPLETE
1080p30,qrWmO434a0k_s2804,COMPLETE,1452,1752,253,145,70,30,300,300,0,130,70,70,1,1,62,8,0,253,0,0,COMPLETE
720p60,oL9Uaie2v2A_s5960,COMPLETE,2785,3385,384,0,100,0,600,600,0,100,100,100,1,1,100,0,0,384,0,0,COMPLETE
1080p30,tFnl0NVn6FA_s2774,COMPLETE,1574,1874,507,0,100,0,300,300,0,100,100,100,1,1,100,0,0,507,0,0,COMPLETE
1080p30,tFnl0NVn6FA_s90,COMPLETE,1708,2008,310,0,100,0,300,300,0,100,100,100,1,1,100,0,0,310,0,0,COMPLETE
1080p30,tZeqmc_-_sA_s2574,COMPLETE,1815,2115,589,0,100,0,300,300,0,100,100,100,1,1,100,0,0,589,0,0,COMPLETE
720p60,FyMWTVsJvv8_s4332,COMPLETE,3945,4545,286,262,55,45,600,600,0,145,55,55,1,1,55,0,0,286,0,0,COMPLETE
720p60,Ge4uewCFUFQ_s2382,COMPLETE,4177,4777,204,0,100,0,600,600,0,100,100,100,1,1,99,1,0,204,0,0,COMPLETE
720p60,Ge4uewCFUFQ_s4674,COMPLETE,4410,5010,376,0,100,0,600,600,0,100,100,100,1,1,100,0,0,376,0,0,COMPLETE
720p60,IpR4pT8iN0Y_s2432,COMPLETE,4642,5242,107,0,100,0,600,600,0,100,100,100,1,1,71,29,16,107,0,0,COMPLETE
720p60,KZK9rv9TnGE_s1474,COMPLETE,4873,5473,485,0,100,0,600,600,0,100,100,100,1,1,100,0,0,485,0,0,COMPLETE
720p60,KZK9rv9TnGE_s4242,COMPLETE,5105,5705,219,0,100,0,600,600,0,100,100,100,1,1,100,0,0,219,0,0,COMPLETE
720p60,KZK9rv9TnGE_s90,COMPLETE,5337,5937,337,0,100,0,600,600,0,100,100,100,1,1,98,2,0,337,0,0,COMPLETE
720p60,dAy3tnlu3EQ_s4326,COMPLETE,5570,6170,519,0,100,0,600,600,0,100,100,100,1,1,100,0,0,519,0,0,COMPLETE
