draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,position_source,repeated_coordinate,rows,target_weight_1
1080p30,9sq-YMlIo9Q_s2346,118,418,CLAMP,0,54,0
1080p30,9sq-YMlIo9Q_s2346,118,418,CLAMP,1,191,0
1080p30,9sq-YMlIo9Q_s2346,118,418,DETECTION,0,132,132
1080p30,9sq-YMlIo9Q_s2346,118,418,PREDICTION,0,128,0
1080p30,9sq-YMlIo9Q_s2346,118,418,SUBPIXEL,0,1,0
1080p30,9sq-YMlIo9Q_s2346,118,418,SUBPIXEL,1,1,0
720p60,acb-jHcR5UxPGuE_s1393,232,832,CLAMP,0,23,0
720p60,acb-jHcR5UxPGuE_s1393,232,832,CLAMP,1,71,0
720p60,acb-jHcR5UxPGuE_s1393,232,832,DETECTION,0,50,50
720p60,acb-jHcR5UxPGuE_s1393,232,832,PREDICTION,0,82,0
720p60,acb-jHcR5UxPGuE_s1393,232,832,SUBPIXEL,1,28,0
1080p30,9sq-YMlIo9Q_s90,234,534,CLAMP,0,5,0
1080p30,9sq-YMlIo9Q_s90,234,534,CLAMP,1,17,0
1080p30,9sq-YMlIo9Q_s90,234,534,DETECTION,0,81,81
1080p30,9sq-YMlIo9Q_s90,234,534,PREDICTION,0,82,0
1080p30,9sq-YMlIo9Q_s90,234,534,SUBPIXEL,0,3,0
1080p30,9sq-YMlIo9Q_s90,234,534,SUBPIXEL,1,34,0
720p60,acb-jHcR5UxPGuE_s90,465,1065,CLAMP,0,5,0
720p60,acb-jHcR5UxPGuE_s90,465,1065,CLAMP,1,26,0
720p60,acb-jHcR5UxPGuE_s90,465,1065,DETECTION,0,4,4
720p60,acb-jHcR5UxPGuE_s90,465,1065,PREDICTION,0,105,0
720p60,acb-jHcR5UxPGuE_s90,465,1065,SUBPIXEL,1,60,0
720p60,3gBeJyl7Szg_s2302,697,1297,CLAMP,0,29,0
720p60,3gBeJyl7Szg_s2302,697,1297,CLAMP,1,411,0
720p60,3gBeJyl7Szg_s2302,697,1297,DETECTION,0,79,79
720p60,3gBeJyl7Szg_s2302,697,1297,PREDICTION,0,38,0
720p60,3gBeJyl7Szg_s2302,697,1297,SUBPIXEL,1,41,0
1080p30,UCVSlzgun0o_s2298,468,768,CLAMP,0,12,0
1080p30,UCVSlzgun0o_s2298,468,768,CLAMP,1,57,0
1080p30,UCVSlzgun0o_s2298,468,768,DETECTION,0,42,42
1080p30,UCVSlzgun0o_s2298,468,768,PREDICTION,0,79,0
1080p30,UCVSlzgun0o_s2298,468,768,SUBPIXEL,0,2,0
1080p30,UCVSlzgun0o_s2298,468,768,SUBPIXEL,1,18,0
720p60,3gBeJyl7Szg_s90,930,1530,CLAMP,0,32,0
720p60,3gBeJyl7Szg_s90,930,1530,CLAMP,1,167,0
720p60,3gBeJyl7Szg_s90,930,1530,DETECTION,0,54,54
720p60,3gBeJyl7Szg_s90,930,1530,PREDICTION,0,94,0
720p60,3gBeJyl7Szg_s90,930,1530,SUBPIXEL,0,2,0
720p60,3gBeJyl7Szg_s90,930,1530,SUBPIXEL,1,36,0
1080p30,UCVSlzgun0o_s90,595,895,CLAMP,0,33,0
1080p30,UCVSlzgun0o_s90,595,895,CLAMP,1,145,0
1080p30,UCVSlzgun0o_s90,595,895,DETECTION,0,18,18
1080p30,UCVSlzgun0o_s90,595,895,PREDICTION,0,52,0
1080p30,UCVSlzgun0o_s90,595,895,SUBPIXEL,0,3,0
1080p30,UCVSlzgun0o_s90,595,895,SUBPIXEL,1,46,0
720p60,Kh7Fj4ogPN4_s3606,1161,1761,CLAMP,0,5,0
720p60,Kh7Fj4ogPN4_s3606,1161,1761,CLAMP,1,22,0
720p60,Kh7Fj4ogPN4_s3606,1161,1761,DETECTION,0,55,55
720p60,Kh7Fj4ogPN4_s3606,1161,1761,PREDICTION,0,242,0
720p60,Kh7Fj4ogPN4_s3606,1161,1761,SUBPIXEL,0,2,0
720p60,Kh7Fj4ogPN4_s3606,1161,1761,SUBPIXEL,1,53,0
1080p30,UzaYBYy3GZg_s90,725,1025,CLAMP,0,19,0
1080p30,UzaYBYy3GZg_s90,725,1025,CLAMP,1,62,0
1080p30,UzaYBYy3GZg_s90,725,1025,DETECTION,0,33,33
1080p30,UzaYBYy3GZg_s90,725,1025,PREDICTION,0,165,0
1080p30,UzaYBYy3GZg_s90,725,1025,SUBPIXEL,0,4,0
1080p30,UzaYBYy3GZg_s90,725,1025,SUBPIXEL,1,22,0
720p60,Kh7Fj4ogPN4_s5950,1392,1992,CLAMP,0,8,0
720p60,Kh7Fj4ogPN4_s5950,1392,1992,CLAMP,1,106,0
720p60,Kh7Fj4ogPN4_s5950,1392,1992,DETECTION,0,90,90
720p60,Kh7Fj4ogPN4_s5950,1392,1992,PREDICTION,0,66,0
720p60,Kh7Fj4ogPN4_s5950,1392,1992,SUBPIXEL,1,11,0
1080p30,Vm0FqeGo-8g_s1317,819,1119,CLAMP,0,22,0
1080p30,Vm0FqeGo-8g_s1317,819,1119,CLAMP,1,70,0
1080p30,Vm0FqeGo-8g_s1317,819,1119,DETECTION,0,130,130
1080p30,Vm0FqeGo-8g_s1317,819,1119,PREDICTION,0,161,0
1080p30,Vm0FqeGo-8g_s1317,819,1119,SUBPIXEL,0,2,0
1080p30,Vm0FqeGo-8g_s1317,819,1119,SUBPIXEL,1,14,0
720p60,Ktu6yFS9iMo_s2532,1625,2225,CLAMP,0,66,0
720p60,Ktu6yFS9iMo_s2532,1625,2225,CLAMP,1,398,0
720p60,Ktu6yFS9iMo_s2532,1625,2225,DETECTION,0,62,62
720p60,Ktu6yFS9iMo_s2532,1625,2225,PREDICTION,0,34,0
720p60,Ktu6yFS9iMo_s2532,1625,2225,SUBPIXEL,0,3,0
720p60,Ktu6yFS9iMo_s2532,1625,2225,SUBPIXEL,1,11,0
1080p30,Vm0FqeGo-8g_s90,968,1268,CLAMP,0,32,0
1080p30,Vm0FqeGo-8g_s90,968,1268,CLAMP,1,155,0
1080p30,Vm0FqeGo-8g_s90,968,1268,DETECTION,0,42,42
1080p30,Vm0FqeGo-8g_s90,968,1268,PREDICTION,0,104,0
1080p30,Vm0FqeGo-8g_s90,968,1268,SUBPIXEL,0,1,0
1080p30,Vm0FqeGo-8g_s90,968,1268,SUBPIXEL,1,34,0
720p60,Ktu6yFS9iMo_s6195,1857,2457,CLAMP,0,41,0
720p60,Ktu6yFS9iMo_s6195,1857,2457,CLAMP,1,210,0
720p60,Ktu6yFS9iMo_s6195,1857,2457,DETECTION,0,23,23
720p60,Ktu6yFS9iMo_s6195,1857,2457,PREDICTION,0,93,0
720p60,Ktu6yFS9iMo_s6195,1857,2457,SUBPIXEL,0,2,0
720p60,Ktu6yFS9iMo_s6195,1857,2457,SUBPIXEL,1,24,0
1080p30,X5w3V6rh26s_s90,1088,1388,CLAMP,0,29,0
1080p30,X5w3V6rh26s_s90,1088,1388,CLAMP,1,136,0
1080p30,X5w3V6rh26s_s90,1088,1388,DETECTION,0,90,90
1080p30,X5w3V6rh26s_s90,1088,1388,PREDICTION,0,87,0
1080p30,X5w3V6rh26s_s90,1088,1388,SUBPIXEL,1,3,0
720p60,L7o4UCIIqS4_s2656,2089,2689,CLAMP,0,11,0
720p60,L7o4UCIIqS4_s2656,2089,2689,CLAMP,1,30,0
720p60,L7o4UCIIqS4_s2656,2089,2689,DETECTION,0,45,45
720p60,L7o4UCIIqS4_s2656,2089,2689,PREDICTION,0,72,0
720p60,L7o4UCIIqS4_s2656,2089,2689,SUBPIXEL,0,1,0
