frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred,ball_x2d_px,ball_y2d_px
2672,89.067,,,0,1,0,1711,136
2675,89.167,,,0,1,0,,
2678,89.267,,,0,1,0,1594,177
2681,89.367,,,0,1,0,,
2684,89.467,,,0,1,0,543,453
2687,89.567,,,0,1,0,547,467
2690,89.667,,,0,1,0,546,477
2693,89.767,,,0,1,0,,
2696,89.867,,,0,1,0,60,269
2699,89.967,,,0,1,0,,
2702,90.067,,,0,1,0,953,643
2705,90.167,,,0,1,0,,
2708,90.267,,,0,1,0,259,483
2711,90.367,,,0,1,0,,
2714,90.467,,,0,1,0,961,138
2717,90.567,,,0,1,0,,
2720,90.667,,,0,1,0,1189,117
2723,90.767,,,0,1,0,,
2726,90.867,3678,988,1,1,0,325,712
2729,90.967,2199,358,1,1,0,330,734
2732,91.067,2199,358,1,1,0,,
2735,91.167,,,0,1,0,1265,614
2738,91.267,,,0,1,0,1281,626
2741,91.367,,,0,1,0,1281,650
2744,91.467,,,0,1,0,1270,653
2747,91.567,,,0,1,0,1251,657
2750,91.667,,,0,1,0,1227,658
2753,91.767,,,0,1,0,,
2756,91.867,,,0,1,0,1322,590
2759,91.967,,,0,1,0,,
2762,92.067,,,0,1,0,1031,258
2765,92.167,,,0,1,0,1028,248
2768,92.267,,,0,1,0,1030,249
2771,92.367,,,0,1,0,1032,255
2774,92.467,,,0,1,0,1022,256
2777,92.567,,,0,1,0,,
2780,92.667,,,0,1,0,816,800
2783,92.767,,,0,1,0,840,802
2786,92.867,,,0,1,0,849,796
2789,92.967,,,0,1,0,856,776
2792,93.067,,,0,1,0,835,763
2795,93.167,,,0,1,0,,
2798,93.267,2836,1250,1,1,0,81,764
2801,93.367,3719,870,1,1,1,97,772
2804,93.467,1388,24,1,1,0,388,765
2807,93.567,1378,35,1,1,1,445,663
2810,93.667,,,0,1,0,194,744
2813,93.767,,,0,1,0,,
2816,93.867,3348,167,1,1,0,1749,411
2819,93.967,3302,156,1,1,1,1701,262
2822,94.067,,,0,1,0,1537,414
2825,94.167,,,0,1,0,,
2828,94.267,,,0,1,0,985,853
2831,94.367,,,0,1,0,,
2834,94.467,,,0,1,0,1208,430
2837,94.567,,,0,1,0,,
2840,94.667,,,0,1,0,1675,763
2843,94.767,,,0,1,0,,
2846,94.867,,,0,1,0,898,204
2849,94.967,,,0,1,0,894,190
2942,98.067,,,0,1,0,,
2945,98.167,,,0,1,0,,
2948,98.267,2768,505,1,1,0,53,579
2951,98.367,2105,252,1,1,1,91,812
2954,98.467,,,0,1,0,1846,691
2957,98.567,,,0,1,0,,
2960,98.667,,,0,1,0,164,535
2963,98.767,,,0,1,0,,
2966,98.867,,,0,1,0,379,294
2969,98.967,,,0,1,0,362,281
2972,99.067,,,0,1,0,,
2975,99.167,,,0,1,0,39,472
2978,99.267,,,0,1,0,38,496
2981,99.367,,,0,1,0,,
2984,99.467,275,1065,1,1,0,957,290
2987,99.567,1967,1403,1,1,1,980,459
2990,99.667,,,0,1,0,960,227
2993,99.767,,,0,1,0,855,490
2996,99.867,,,0,1,0,1784,145
2999,99.967,,,0,1,0,911,468
3002,100.067,,,0,1,0,1506,457
3005,100.167,,,0,1,0,967,447
3008,100.267,,,0,1,0,1296,293
3011,100.367,,,0,1,0,1023,426
3014,100.467,,,0,1,0,1271,215
3017,100.567,,,0,1,0,1079,405
3020,100.667,,,0,1,0,1300,229
3023,100.767,,,0,1,0,,
3026,100.867,,,0,1,0,1022,181
3029,100.967,,,0,1,0,,
3032,101.067,,,0,1,0,571,105
3035,101.167,,,0,1,0,,
3038,101.267,,,0,1,0,473,869
3041,101.367,,,0,1,0,,
3044,101.467,,,0,1,0,1645,721
3047,101.567,,,0,1,0,,
3050,101.667,,,0,1,0,1680,622
3053,101.767,,,0,1,0,,
3056,101.867,,,0,1,0,590,832
3059,101.967,,,0,1,0,,
